gndr,ddrssln1,cntr,mddlntl,ncm,lstnm,nmbrcrdtcrds,phn,stt,wnrrntflg,ct,g,frstnm,mplr,pstlcd,nmbrchldrn,ddrssln2,crdtrtng,ntwrth,gncd,nmbrcrs,mrtlstts
,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,Canada,,307402.0,lqlslgqsvyfxqnzuwbfg,9.0,1-268-630-3843,NE,O,Concord,40.0,Mdwdjpdfmbqjaygkfqzqx,eBay,DODDIDDHXS,5.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,318.0,3348923.0,lql7512,4.0,M
m,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,United States of America,,,Wskjvrujdwku,4.0,1-915-548-9541,AR,R,Colorado Springs,8.0,Ccbccgvldfvoqtzestvkwunn,Boise,Oqnzttrldq,1.0,ucxdpiwilpxxhv,613.0,331799.0,Wsk7513,4.0,D
,,,v,432425.0,Ffshsiomkzjonhxjhunfsao,4.0,1-536-880-0961,IL,R,Mobile,10.0,nyakrhdyxravdnhgbtol,MDU Resources Group,Lwbawk,1.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,786.0,1167013.0,Ffs7514,4.0,U
,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,United States of America,F,122041.0,Kvvverfkpazpzzkrqniixrhnw,10.0,1-494-335-6022,VA,O,Thousand Oaks,24.0,NDNBTVCLKSC,Freescale Semiconductor,Ppsrzjdtg,3.0,,,3960216.0,Kvv7515,0.0,U
f,,United States of America,G,302205.0,mpzqnwnrmaozfsstcqtrc,5.0,1-814-158-3550,ID,O,Rochester,18.0,Zmstbluqkipzaojfsomtbdddguq,Superior Energy Services,,4.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,623.0,242246.0,mpz7516,1.0,M
F,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,United States of America,s,367555.0,Jhcbaxyzijphmmvpampdgvgisnab,1.0,1-420-580-0795,TX,O,Garden Grove,79.0,dpqgvuaoijmkxsesvililpxcrwqe,Monsanto,,1.0,Havgczldcpfmwfzj,845.0,1217660.0,Jhc7517,1.0,S
M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,United States of America,l,106025.0,dbqcukoddoiwg,7.0,1-924-305-1666,New Brunswick,U,Tampa,36.0,IHUGYGSRDWILVOFBAKUR,Newfield Exploration,Rxdsunq,5.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,645.0,1229655.0,dbq7518,4.0,M
m,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Canada,,106690.0,Xchoxlbkffuvox,1.0,1-450-082-2122,Alberta,O,Fullerton,21.0,aefotdcronamhkzsfpvifmobgchmsp,Loews,JXHVEEOU,2.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,495.0,1157831.0,Xch7519,2.0,W
m,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,Canada,Z,29373.0,oirfujtvl,8.0,1-573-009-1404,PA,O,Washington,4.0,jdeyqkerjerjpht,Apache,XHJQCDPOO,2.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,371.0,,oir7520,2.0,M
M,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,United States of America,O,168189.0,Fqbovz,1.0,1-603-897-9894,Nova Scotia,R,Norfolk,72.0,Lwihnxoihqqrvjydsijd,Robert Half International,rapkjpmvp,3.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,462.0,,Fqb7521,2.0,S
,Dmyivtczopuqajpnjqvvgbhxynvduub,United States of America,,264756.0,qextfjyytqwbmdrlykbfnhvqrmota,7.0,1-947-161-6502,RI,U,Sydney,1.0,nmnervucuk,Viacom,Slskxm,,Rirmrpvlknyho,375.0,3467922.0,qex7522,,S
,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Canada,,44480.0,Hpiedhvkedqqdxsoedt,10.0,1-586-826-9847,OR,U,Winnipeg,98.0,hgjkxxbf,Robert Half International,FXHXLG,2.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,516.0,46859.0,Hpi7523,1.0,S
,Esuycdxsjfbrqbtluspxsehk,Canada,,87207.0,Fjdafgbcrml,,1-217-243-2668,CA,R,Wilmington,35.0,Zangtryzlhmxo,CSX,ovlziicdezok,5.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,703.0,2937668.0,Fjd7524,1.0,
,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,United States of America,,238434.0,Cgtcmbl,7.0,1-857-211-5728,MO,O,El Monte,99.0,FFJGEQD,Country Financial Services,jsxcpvao,2.0,Rpzwirgfyiw,734.0,2388613.0,Cgt7525,4.0,W
M,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,United States of America,,,Lwxudfgcqawccntqaucdaeym,4.0,1-089-966-6281,Prince Edward Island,U,Sterling Heights,49.0,Pdcxrihnl,Procter & Gamble,Ykerbceq,2.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,469.0,3116283.0,Lwx7526,0.0,M
,vnyndcximwxhecv,United States of America,,391354.0,epyxtfsrijhddstgaxkbgmlayjtk,2.0,,Quebec,O,Pembroke Pines,72.0,Zckhcacwaelzutaodqalxyjrkh,Ingles Markets,VVMSNWEBT,0.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,595.0,2671950.0,epy7527,3.0,S
m,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,United States of America,M,419165.0,Affcha,1.0,1-231-342-6874,KS,O,Philadelphia,41.0,sqrosgqnpifxjx,Forest Laboratories,bibueqwbejem,0.0,Acdrcqabtcdgmgl,410.0,3899593.0,Aff7528,3.0,U
,,Canada,S,396509.0,mfcestd,10.0,,NV,O,Glendale,54.0,Erqzkkllazeobgthnmgsbtj,Dentsply International,gehpynlk,2.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,475.0,2537332.0,mfc7529,3.0,W
,GVSBHGBDDVJFNNOZNNPJWCOI,United States of America,S,145161.0,Slfbmvc,2.0,1-602-637-1838,TN,R,El Monte,11.0,Lcziayaozecoqqluasolkmmcldm,RadioShack,Piwlxtg,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,733236.0,Slf7530,0.0,
,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,United States of America,,263206.0,Cxuousxqyrfgjvpvuopyfguqva,3.0,1-003-982-8627,WY,O,Warwick,0.0,Gcnczmuxviqaxtsdzmzhtro,Century Aluminum,Ujlshmosjkid,5.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,519.0,,Cxu7531,2.0,W
,BIQIOQOHLQSTBRUFOI,United States of America,F,190371.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,5.0,1-136-358-6852,British Columbia,U,Milwaukee,27.0,Rsoobsqytvjycob,,cwburwnupuj,3.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,841.0,3397276.0,GZO7532,3.0,D
,Llfaqkbemnoy,United States of America,A,203968.0,DRWTVTDSG,6.0,1-123-528-2965,LA,O,Phoenix,95.0,Pjvadgt,FPL Group,CNEZMHTKIAEV,1.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,540.0,2444257.0,DRW7533,3.0,U
f,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,United States of America,N,428323.0,setksinlvlrjwnfu,10.0,1-136-565-2501,HI,R,Anchorage,35.0,GUBKOKITTSKVYM,Lockheed Martin,kixvppuqtd,3.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,540.0,71520.0,set7534,1.0,U
,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,United States of America,,159980.0,Pyoixliri,6.0,1-317-986-1984,NY,O,Madison,96.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Sanmina-SCI,jrhynxfi,1.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,1911091.0,Pyo7535,4.0,M
M,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,Canada,,266852.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,6.0,1-265-603-1262,TX,O,Fontana,96.0,Kuteauo,Iron Mountain,dnhtjyu,0.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,424.0,988775.0,FSH7536,0.0,W
,,United States of America,,206973.0,Tdxyljuxporjhdumcvfmv,2.0,,AZ,R,Charlotte,49.0,Hkfofpndygljbeo,OfficeMax,YKOVOTYB,5.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,623.0,3919363.0,Tdx7537,5.0,M
,atydogjpqphuwhegtbukkqiaeakrtrn,Canada,O,258221.0,Sbnxcsrozzcufdoyvckpplofysx,4.0,1-156-668-6882,ME,O,Richmond,,Kengxgsu,AMR,WNNMWJ,1.0,XHQNMCEJKXOQYVSZVESLKC,792.0,428918.0,Sbn7538,5.0,S
f,Hlotorcbtobuceb,United States of America,C,428508.0,Piqizouhxiw,6.0,1-164-648-3203,NH,O,Santa Clarita,27.0,Plywuoa,Kohl's,Oktkljv,4.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,718.0,58134.0,Piq7539,4.0,S
M,gsrdigbqfwrahybxrtm,,,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,6.0,1-839-795-1027,KY,O,Yellow Knife,98.0,zfcwsxpjzyqelkxg,Cigna,,0.0,Toumjfbsumpgfuskpydjeibaxi,401.0,3703767.0,IXD7540,4.0,M
,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,United States of America,,58953.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,2.0,1-958-412-4252,Prince Edward Island,R,Oxnard,,Yxvczhqjwgnhowiu,West,GXFLSISZUY,5.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,557.0,433859.0,wsn7541,4.0,M
M,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,United States of America,A,409682.0,Jkpmtcj,7.0,1-392-335-1020,British Columbia,O,Huntington Beach,56.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,Monsanto,gzexcrngivl,5.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,393.0,3002044.0,Jkp7542,5.0,W
M,,United States of America,,340191.0,CCFFVCOHCLUUXZIQTCFCUHEYN,10.0,1-912-050-7605,CT,,Durham,94.0,Vfrdst,Reliant Energy,yzoikhwrd,4.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,557.0,1124168.0,CCF7543,2.0,M
,RELJYREDKQEKGOORBLRKOUIC,United States of America,,238216.0,yljvuglvt,5.0,1-075-551-9919,WA,O,Naperville,98.0,Hqcswumjvwbemosmy,Idearc,Gdbktega,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,465.0,2081541.0,ylj7544,4.0,U
F,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Canada,V,113171.0,ZBBXAWVJAAL,6.0,1-013-611-2674,ND,O,Albuquerque,8.0,Ectbhkmbvwkwdbn,Neiman Marcus,Kdcqzpvf,1.0,hkyochorqgtokxgozmoncalaaiw,,1897076.0,ZBB7545,0.0,M
m,Yewxbqpnfgh,United States of America,,234797.0,fqekemquvstw,10.0,1-656-865-7544,ID,,Newark,90.0,Bdbgqpllbnrmiirpct,O'Reilly Automotive,Tbwgwtmgcu,,Datdnghoiymltcayulgkgxywi,485.0,235172.0,fqe7546,5.0,W
,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,United States of America,,225322.0,Wpwhilrlzng,2.0,1-879-870-7379,Quebec,,Miami,34.0,Ftszluaxcsoxdfbmdd,Cliffs Natural Resources,Mwmfs,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,303.0,639573.0,Wpw7547,4.0,M
,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,Canada,,192689.0,vpzxgcwljllsq,4.0,1-366-625-9813,ID,O,London,25.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,Health Management Associates,goelqgcts,2.0,,846.0,2667082.0,vpz7548,1.0,W
,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Canada,,348685.0,Yfzmtcvxc,1.0,1-359-462-7089,AL,O,Worcester,50.0,Kkiolpmrgzmnjanqc,Chevron,ucwygjzs,4.0,,621.0,2598634.0,Yfz7549,5.0,
,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,United States of America,,401229.0,douvwdwiwrxoivzaojazinrhswjv,,,UT,O,Jacksonville,85.0,unzegilpp,Exide Technologies,fjlfqftwg,4.0,,331.0,1074671.0,dou7550,3.0,D
M,hfuyqlsmbesrylepu,United States of America,,38597.0,FDJOVRSOCWEIKZ,9.0,1-153-396-8333,MS,R,Nashua,60.0,xetqkitwlh,Convergys,Tocujgaiaq,4.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,401.0,2272997.0,FDJ7551,5.0,M
,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,United States of America,,,ufutrfkevxnbupjcetrpltw,0.0,1-144-623-1308,AK,R,Newport News,95.0,TWRRGULRYKYUWZYBQQFMIFFKVK,Dominion Resources,kurjmmgixxfd,2.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,644.0,702000.0,ufu7552,2.0,S
m,qgjnvpwvmgsqzcanzncon,United States of America,H,161204.0,bbgzmquoeecumw,5.0,1-269-220-8046,VT,R,Corona,8.0,Yqfljvgkfucafpjpamdtcppiipc,Sentry Insurance Group,cnsavindoi,1.0,NBSHKLXYVUUWXEQSGXR,769.0,1289800.0,bbg7553,4.0,M
f,HNBGLUDIOAJRCCIXGDUQOO,,v,202650.0,Znkkdbkvxcxeuackyodqlkpl,2.0,1-052-524-0130,LA,O,Lincoln,31.0,mjeasoritwctufyojamzbeeoo,Cintas,MQBSAUVQRPYE,4.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,481.0,1007390.0,Znk7554,3.0,M
F,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,Canada,T,,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,7.0,1-335-871-6660,CT,O,Toronto,51.0,Udxaujgiratgthwkvdibgvwfo,Medtronic,vadbnvz,2.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,732.0,124290.0,CGQ7555,1.0,U
,dnlleihfh,United States of America,,492433.0,addxtssyhezwro,2.0,1-637-394-8083,UT,O,Fayetteville,24.0,GHFUKZPOKMXWZF,Pride International,Ljurvnigr,4.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,802.0,1820002.0,add7556,4.0,M
,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,Canada,J,344858.0,Anwyusqezrjppzkaevffwljm,5.0,1-706-795-4208,IN,O,Charlotte,78.0,ybtkiifyhbgchnuctnhnqspk,A. Schulman,BQDMQVFTNBRJ,4.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,329.0,2200347.0,Anw7557,2.0,M
m,Wsjaujjdexc,United States of America,,197290.0,Hvtanebvipbdd,0.0,1-622-347-5699,WI,R,Tulsa,56.0,Fhkymmgjsbmpduuffgavhfcxm,Oneok,jkcul,0.0,nqcozjievwzk,839.0,3669569.0,Hvt7558,5.0,W
,Ojberg,United States of America,d,283654.0,Yqjaammjlhgpw,,1-042-017-9368,WA,,Winston-Salem,50.0,DEZDTMSMWKALBRPALCFIME,Danaher,Nelny,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,539.0,2140537.0,Yqj7559,2.0,U
F,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,United States of America,,317423.0,Ztnstwpjxatqveppicohpzilnn,4.0,1-829-935-5979,LA,R,Thousand Oaks,52.0,phoxfeiqoldgmnojmzunmargkla,Del Monte Foods,Qsggz,5.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,561.0,3258909.0,Ztn7560,4.0,M
F,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,United States of America,,399126.0,bnizllrrofn,2.0,1-076-726-5283,VT,O,Lubbock,14.0,Upuabfflh,American Electric Power,Drofa,5.0,Lfrjkyblujmbxigmylpsxieswspmei,814.0,1825422.0,bni7561,4.0,W
,Xwtkpxqgohxwxnv,United States of America,,398180.0,swxorhmdydwbrtdqxroghsddlpbdgi,7.0,,CT,R,Winnipeg,29.0,owagfolbfwjzeg,TJX,Ssovhtmt,0.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,305.0,1845263.0,swx7562,5.0,M
f,Qpvmtkxxfef,United States of America,P,,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,4.0,1-284-129-5920,RI,O,Laredo,50.0,Qdmppehqxloc,Philip Morris International,Tnprhljfrlj,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,457.0,1463114.0,DSA7563,2.0,S
,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,United States of America,,485429.0,BXZUTWBUFSGPPXKR,8.0,1-128-308-8886,SC,O,Overland Park,67.0,jqbetxkci,Cincinnati Financial,Bkxujhonjgjk,1.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,349.0,2354683.0,BXZ7564,4.0,U
,KRYAIAJGKHBKXBLC,United States of America,,118018.0,pczqycbwefse,0.0,1-145-469-5971,British Columbia,O,Calgary,22.0,Wsmywgbvwspgdwhmdxsqjwqb,Stryker,mrjrjhgnwcdu,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,590.0,436677.0,pcz7565,2.0,M
m,,United States of America,,309693.0,Zqaknviqngvemehvpzrcgkcvre,0.0,1-727-684-7767,CO,O,Peoria,20.0,ocgwi,Kansas City Southern,Yusezkfgs,4.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,533.0,2383335.0,Zqa7566,5.0,U
,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Canada,z,90718.0,Htltlfnvjctvvdvulpkhcbyfi,9.0,1-776-201-2472,TN,O,Durham,75.0,Pcotdnngmurhkcd,IDT,RKXTQAO,0.0,IBQIDE,686.0,2574739.0,Htl7567,4.0,W
F,VBDCWYVK,United States of America,L,280645.0,afwafvxxdr,10.0,1-767-942-1278,CA,O,Pueblo,60.0,bvcosqzcleknjzvkygbawlc,Vornado Realty Trust,UBQSATXZO,0.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,582.0,1596838.0,afw7568,2.0,U
,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,United States of America,,231559.0,Wnakgzhqfhtavtvegjtdmdosnjr,0.0,1-723-062-7266,WY,O,Las Cruces,,ECLENELTSXGTNWOP,Dollar General,BHRNWQLFVFA,4.0,Lrebujnrg,807.0,591965.0,Wna7569,,S
,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,United States of America,,36898.0,Mlheqxaigtvjaynkffyqkpu,3.0,,SD,O,Chula Vista,48.0,Xdwexmrjat,Safeway,Ktmzav,5.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,819.0,3071440.0,Mlh7570,3.0,S
,Gwxymofcy,United States of America,,396786.0,Gorjnqxjtefmomsbmtnogaerx,5.0,1-145-314-0862,British Columbia,R,San Diego,91.0,xjwnvwdryqpcehelwzfhkkiuus,Apache,Nfpchgfj,0.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,311.0,2683081.0,Gor7571,2.0,M
f,Qynjnmfgwxpmrw,United States of America,,344365.0,ENXOMNHFVPYQSABETPUEKRKCL,3.0,1-735-104-7772,NJ,O,Chicago,98.0,RNBABCYAFMQPBOHXNUXMXNU,Lowe's,Wuywecohosfi,5.0,Hxutrprq,734.0,3850483.0,ENX7572,2.0,U
,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,United States of America,,1205.0,fgrdzzudzmwlluff,1.0,,AK,O,Worcester,51.0,Eyrtrqkljywvbcice,Lithia Motors,tibxlojrqiha,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,432.0,1870617.0,fgr7573,4.0,W
m,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,United States of America,a,276666.0,Yshzkx,3.0,1-518-116-1411,OH,O,Honolulu,22.0,Opybrukftspofebjmspkjsgtobzsp,CH2M Hill,ogmes,0.0,JRHXPUUHAFHDPF,394.0,1249534.0,Ysh7574,5.0,S
,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,United States of America,I,497953.0,Mosqjrkdycyygfsljqadgfqoldb,1.0,1-696-359-4829,New Brunswick,O,Albuquerque,57.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,Tellabs,JUBKXDKP,0.0,yvntcqjqqmbftwetvbqgclcdbxspvk,658.0,3789880.0,Mos7575,0.0,U
