last_name,email,address,phone,address_id,customer_id,city_id,first_name,address2,district,postal_code,create_date,store_id,active
WOODS,FLORENCE.WOODS@sakilacustomer.org,1532 Dzerzinsk Way,330838016880,111,107,334,FLORENCE,,Buenos Aires,9599,2006-02-14 22:04:36,1,1
COLE,TRACY.COLE@sakilacustomer.org,1002 Ahmadnagar Manor,371490777743,112,108,213,TRACY,,Mxico,93026,2006-02-14 22:04:36,1,1
WEST,EDNA.WEST@sakilacustomer.org,682 Junan Way,622255216127,113,109,273,EDNA,,North West,30418,2006-02-14 22:04:36,2,1
JORDAN,TIFFANY.JORDAN@sakilacustomer.org,804 Elista Drive,379804592943,114,110,159,TIFFANY,,Hubei,61069,2006-02-14 22:04:36,2,1
OWENS,CARMEN.OWENS@sakilacustomer.org,1378 Alvorada Avenue,272234298332,115,111,102,CARMEN,,Distrito Federal,75834,2006-02-14 22:04:36,1,1
REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,793 Cam Ranh Avenue,824370924746,116,112,292,ROSA,,California,87057,2006-02-14 22:04:36,2,1
FISHER,CINDY.FISHER@sakilacustomer.org,1079 Tel Aviv-Jaffa Boulevard,358178933857,117,113,132,CINDY,,Sucre,10885,2006-02-14 22:04:36,2,1
ELLIS,GRACE.ELLIS@sakilacustomer.org,442 Rae Bareli Place,886636413768,118,114,148,GRACE,,Nordrhein-Westfalen,24321,2006-02-14 22:04:36,2,1
HARRISON,WENDY.HARRISON@sakilacustomer.org,1107 Nakhon Sawan Avenue,867546627903,119,115,365,WENDY,,Mxico,75149,2006-02-14 22:04:36,1,1
GIBSON,VICTORIA.GIBSON@sakilacustomer.org,544 Malm Parkway,386759646229,120,116,403,VICTORIA,,Central Java,63502,2006-02-14 22:04:36,1,1
MCDONALD,EDITH.MCDONALD@sakilacustomer.org,1967 Sincelejo Place,577812616052,121,117,176,EDITH,,Gujarat,73644,2006-02-14 22:04:36,1,1
CRUZ,KIM.CRUZ@sakilacustomer.org,333 Goinia Way,909029256431,122,118,185,KIM,,Texas,78625,2006-02-14 22:04:36,1,1
MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,1987 Coacalco de Berriozbal Loop,787654415858,123,119,476,SHERRY,,al-Qalyubiya,96065,2006-02-14 22:04:36,1,1
ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,241 Mosul Lane,765345144779,124,120,147,SYLVIA,,Risaralda,76157,2006-02-14 22:04:36,2,1
GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,211 Chiayi Drive,665993880048,125,121,164,JOSEPHINE,,Uttar Pradesh,58186,2006-02-14 22:04:36,1,1
MURRAY,THELMA.MURRAY@sakilacustomer.org,1175 Tanauan Way,937222955822,126,122,305,THELMA,,Lima,64615,2006-02-14 22:04:36,1,1
FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,117 Boa Vista Way,677976133614,127,123,566,SHANNON,,Uttar Pradesh,6804,2006-02-14 22:04:36,2,1
WELLS,SHEILA.WELLS@sakilacustomer.org,848 Tafuna Manor,614935229095,128,124,281,SHEILA,,Ktahya,45142,2006-02-14 22:04:36,1,0
WEBB,ETHEL.WEBB@sakilacustomer.org,569 Baicheng Lane,490211944645,129,125,85,ETHEL,,Gauteng,60304,2006-02-14 22:04:36,1,1
SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,1666 Qomsheh Drive,582835362905,130,126,410,ELLEN,,So Paulo,66255,2006-02-14 22:04:36,1,1
STEVENS,ELAINE.STEVENS@sakilacustomer.org,801 Hagonoy Drive,237426099212,131,127,484,ELAINE,,Smolensk,8439,2006-02-14 22:04:36,2,1
TUCKER,MARJORIE.TUCKER@sakilacustomer.org,1050 Garden Grove Avenue,973047364353,132,128,236,MARJORIE,,Slaskie,4999,2006-02-14 22:04:36,1,1
PORTER,CARRIE.PORTER@sakilacustomer.org,1854 Tieli Street,509492324775,133,129,302,CARRIE,,Shandong,15819,2006-02-14 22:04:36,1,1
HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,758 Junan Lane,935448624185,134,130,190,CHARLOTTE,,Gois,82639,2006-02-14 22:04:36,1,1
HICKS,MONICA.HICKS@sakilacustomer.org,1752 So Leopoldo Parkway,252265130067,135,131,345,MONICA,,Taka-Karpatia,14014,2006-02-14 22:04:36,2,1
CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,898 Belm Manor,707169393853,136,132,87,ESTHER,,Free State,49757,2006-02-14 22:04:36,2,1
HENRY,PAULINE.HENRY@sakilacustomer.org,261 Saint Louis Way,321944036800,137,133,541,PAULINE,,Coahuila de Zaragoza,83401,2006-02-14 22:04:36,1,1
BOYD,EMMA.BOYD@sakilacustomer.org,765 Southampton Drive,23712411567,138,134,421,EMMA,,al-Qalyubiya,4285,2006-02-14 22:04:36,1,1
MASON,JUANITA.MASON@sakilacustomer.org,943 Johannesburg Avenue,90921003005,139,135,417,JUANITA,,Maharashtra,5892,2006-02-14 22:04:36,2,1
MORALES,ANITA.MORALES@sakilacustomer.org,788 Atinsk Street,146497509724,140,136,211,ANITA,,Karnataka,81691,2006-02-14 22:04:36,2,1
KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,1749 Daxian Place,963369996279,141,137,29,RHONDA,,Gelderland,11044,2006-02-14 22:04:36,2,1
WARREN,HAZEL.WARREN@sakilacustomer.org,1587 Sullana Lane,468060467018,142,138,207,HAZEL,,Inner Mongolia,85769,2006-02-14 22:04:36,1,1
DIXON,AMBER.DIXON@sakilacustomer.org,1029 Dzerzinsk Manor,33173584456,143,139,542,AMBER,,Ynlin,57519,2006-02-14 22:04:36,1,1
RAMOS,EVA.RAMOS@sakilacustomer.org,1666 Beni-Mellal Place,9099941466,144,140,123,EVA,,Tennessee,13377,2006-02-14 22:04:36,1,1
REYES,DEBBIE.REYES@sakilacustomer.org,928 Jaffna Loop,581852137991,145,141,172,DEBBIE,,Hiroshima,93762,2006-02-14 22:04:36,1,1
BURNS,APRIL.BURNS@sakilacustomer.org,483 Ljubertsy Parkway,581174211853,146,142,149,APRIL,,Scotland,60562,2006-02-14 22:04:36,1,1
GORDON,LESLIE.GORDON@sakilacustomer.org,374 Bat Yam Boulevard,923261616249,147,143,266,LESLIE,,Kilis,97700,2006-02-14 22:04:36,1,1
SHAW,CLARA.SHAW@sakilacustomer.org,1027 Songkhla Manor,563660187896,148,144,340,CLARA,,Minsk,30861,2006-02-14 22:04:36,1,1
HOLMES,LUCILLE.HOLMES@sakilacustomer.org,999 Sanaa Loop,918032330119,149,145,491,LUCILLE,,Gauteng,3439,2006-02-14 22:04:36,1,1
RICE,JAMIE.RICE@sakilacustomer.org,879 Newcastle Way,206841104594,150,146,499,JAMIE,,Michigan,90732,2006-02-14 22:04:36,1,1
ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,1337 Lincoln Parkway,597815221267,151,147,555,JOANNE,,Saitama,99457,2006-02-14 22:04:36,2,1
HUNT,ELEANOR.HUNT@sakilacustomer.org,1952 Pune Lane,354615066969,152,148,442,ELEANOR,,Saint-Denis,92150,2006-02-14 22:04:36,1,1
BLACK,VALERIE.BLACK@sakilacustomer.org,782 Mosul Street,885899703621,153,149,94,VALERIE,,Massachusetts,25545,2006-02-14 22:04:36,1,1
DANIELS,DANIELLE.DANIELS@sakilacustomer.org,781 Shimonoseki Drive,632316273199,154,150,202,DANIELLE,,Michoacn de Ocampo,95444,2006-02-14 22:04:36,2,1
PALMER,MEGAN.PALMER@sakilacustomer.org,1560 Jelets Boulevard,189446090264,155,151,291,MEGAN,,Shandong,77777,2006-02-14 22:04:36,2,1
MILLS,ALICIA.MILLS@sakilacustomer.org,1963 Moscow Place,761379480249,156,152,354,ALICIA,,Assam,64863,2006-02-14 22:04:36,1,1
NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,456 Escobar Way,719202533520,157,153,232,SUZANNE,,Jakarta Raya,36061,2006-02-14 22:04:36,2,1
GRANT,MICHELE.GRANT@sakilacustomer.org,798 Cianjur Avenue,499408708580,158,154,590,MICHELE,,Shanxi,76990,2006-02-14 22:04:36,2,1
KNIGHT,GAIL.KNIGHT@sakilacustomer.org,185 Novi Sad Place,904253967161,159,155,72,GAIL,,Bern,41778,2006-02-14 22:04:36,1,1
FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,1367 Yantai Manor,889538496300,160,156,381,BERTHA,,Ondo & Ekiti,21294,2006-02-14 22:04:36,1,1
ROSE,DARLENE.ROSE@sakilacustomer.org,1386 Nakhon Sawan Boulevard,368899174225,161,157,420,DARLENE,,Pyongyang-si,53502,2006-02-14 22:04:36,2,1
STONE,VERONICA.STONE@sakilacustomer.org,369 Papeete Way,170117068815,162,158,187,VERONICA,,North Carolina,66639,2006-02-14 22:04:36,1,1
HAWKINS,JILL.HAWKINS@sakilacustomer.org,1440 Compton Place,931059836497,163,159,307,JILL,,North Austria,81037,2006-02-14 22:04:36,1,1
DUNN,ERIN.DUNN@sakilacustomer.org,1623 Baha Blanca Manor,149981248346,164,160,310,ERIN,,Moskova,81511,2006-02-14 22:04:36,2,1
PERKINS,GERALDINE.PERKINS@sakilacustomer.org,97 Shimoga Avenue,177167004331,165,161,533,GERALDINE,,Tel Aviv,44660,2006-02-14 22:04:36,1,1
HUDSON,LAUREN.HUDSON@sakilacustomer.org,1740 Le Mans Loop,168476538960,166,162,297,LAUREN,,Pays de la Loire,22853,2006-02-14 22:04:36,2,1
SPENCER,CATHY.SPENCER@sakilacustomer.org,1287 Xiangfan Boulevard,819416131190,167,163,253,CATHY,,Gifu,57844,2006-02-14 22:04:36,1,1
GARDNER,JOANN.GARDNER@sakilacustomer.org,842 Salzburg Lane,697151428760,168,164,529,JOANN,,Adana,3313,2006-02-14 22:04:36,2,1
STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,154 Tallahassee Loop,935508855935,169,165,199,LORRAINE,,Xinxiang,62250,2006-02-14 22:04:36,2,1
