Phone,City,MaritalStatus,NumberCreditCards,State,Employer,CreditRating,Gender,MiddleInitial,LastName,AgencyID,OwnOrRentFlag,AddressLine1,FirstName,Country,NumberChildren,AddressLine2,NumberCars,Age,NetWorth,Income,PostalCode
1-462-774-1277,Omaha,U,8.0,KY,Family Dollar Stores,843.0,m,,Mckeegan,Mck19,R,2798 1st east,arlyne,United States of America,3.0,,3.0,86.0,2784776.0,77290.0,V6t 1q8
1-702-382-2898,Costa Mesa,U,,PA,,,M,P,WINTERS,WIN20,R,11358 elle lee street,Rong-chin,United States of America,0.0,,2.0,59.0,288747.0,395066.0,94467
1-909-554-7120,Berkeley,U,0.0,MD,Sun Microsystems,300.0,,,BITTMAN,BIT21,O,21074 MALLORY LOWER,Darlleen,United States of America,3.0,,5.0,94.0,876575.0,119283.0,94321
1-752-296-7940,St. Louis,U,8.0,TX,Costco Wholesale,795.0,f,V,luzarraga,luz22,O,16124 weyland park,Radoslav,United States of America,1.0,,1.0,,2041224.0,330991.0,C2a 4w7
1-995-554-5056,Colorado Springs,,5.0,IN,Illinois Tool Works,367.0,,S,donovan,don23,U,23822 marvin crescent,Aryn,United States of America,0.0,,4.0,5.0,2231509.0,,35808
1-090-303-3807,Fontana,M,1.0,MD,Southern Union,507.0,,T,Giallo,Gia24,O,2203 valita boulevard,Allisan,United States of America,5.0,,1.0,23.0,3206409.0,252031.0,M5f 1v6
1-492-968-0932,St. Catharines,M,9.0,KY,Moog,362.0,M,,SPRUELL,SPR25,O,11538 COLLINWOOD AVENUE,Ammamaria,United States of America,1.0,,3.0,61.0,3850037.0,101800.0,99539
1-960-227-2020,Hayward,D,7.0,CA,Old Republic International,527.0,F,,SKALSKI,SKA26,O,7818 EAST STREET,Mari,United States of America,1.0,,0.0,,528440.0,436977.0,95055
1-431-122-8597,Palmdale,S,0.0,FL,,354.0,m,,Gargul,Gar27,O,10013 shaw road,Anica,United States of America,,,0.0,51.0,597140.0,495334.0,93686
1-822-836-7200,Phoenix,M,1.0,Newfoundland,Great Plains Energy,511.0,,,Dore,Dor28,O,6802 AMES STREET,Melba,United States of America,1.0,,1.0,97.0,146931.0,274685.0,75218
1-530-117-0497,Gary,,7.0,TX,Broadcom,412.0,,X,DIOGO,DIO29,,22501 SUMMIT RUE,Tracee,United States of America,2.0,,2.0,52.0,353495.0,320820.0,91174
1-051-257-2719,Beaumont,S,1.0,WA,Discover Financial Services,583.0,m,,Merrick,Mer30,O,291 frances rue,CANADIAN,Canada,0.0,,4.0,98.0,295647.0,195835.0,49515
1-171-989-1363,Nashua,U,5.0,MN,UAL,710.0,,R,Atchison,Atc31,O,16264 sanders east,Oue,United States of America,3.0,,5.0,47.0,408941.0,108085.0,16506
1-042-705-3246,San Jose,M,9.0,WY,Charles Schwab,380.0,m,X,Plamondon,Pla32,O,16068 cantey way,wallie,United States of America,1.0,,2.0,47.0,362523.0,260185.0,94383
1-098-328-2026,Nashua,M,2.0,NY,Coach,796.0,F,E,SELCHOW,SEL33,R,21170 EDLOE BOULEVARD,Andromache,United States of America,0.0,,0.0,9.0,2102359.0,258323.0,T6d 1b3
1-209-754-5635,Fort Smith,M,2.0,SC,DaVita,818.0,f,Z,shane,sha34,U,885 CROSBY LANE,THOR,United States of America,3.0,,1.0,85.0,3480265.0,79476.0,25339
1-498-781-3456,Lancaster,M,3.0,MS,Marshall & Ilsley Corp.,766.0,,,MERWIN,MER35,U,12235 jay street,SALAH,United States of America,3.0,,5.0,81.0,3648900.0,102156.0,V6o 1v4
1-615-241-0440,Colorado Springs,M,2.0,UT,Cablevision Systems,359.0,,,conrad,con36,O,20340 LOMBARD CRESCENT,HOR-LAM,United States of America,3.0,,2.0,0.0,1161790.0,221481.0,01852
1-995-449-5200,Washington,S,2.0,PA,Barnes & Noble,401.0,M,,onsiteteam,ons37,R,22074 dexter upper,Vania,United States of America,5.0,,1.0,28.0,2050587.0,41836.0,78230
1-295-673-4452,Lowell,U,0.0,OK,EMC,609.0,M,,Summerlin,Sum38,O,1540 MURIE RUE,Niel,Canada,1.0,,1.0,65.0,3579198.0,72389.0,93770
1-914-675-2986,Frederick,S,2.0,WY,Fluor,630.0,,F,grooms,gro39,O,7075 glen loch drive,ziad,United States of America,0.0,,3.0,20.0,889494.0,66486.0,m4l 1n4
,Mesa,M,9.0,RI,Dollar General,671.0,,I,dilkie,dil40,O,11237 balmoral way,Claude,United States of America,1.0,Apt. 382,3.0,55.0,2205682.0,200185.0,22335
1-825-739-0336,Lakewood,U,10.0,HI,Lear,715.0,,,DOLSON,DOL41,O,8316 GARDEN BROOK NORTH,AVTAR,United States of America,2.0,,0.0,76.0,1140117.0,289215.0,V6C 1T4
1-956-713-3802,Cleveland,M,9.0,VA,J.P. Morgan Chase & Co.,707.0,,,Posthumus,Pos42,O,2240 clifton lower,Donny,United States of America,1.0,,4.0,1.0,1421319.0,322484.0,M6t 1h3
1-814-932-1579,Grand Rapids,M,0.0,OK,Affinia Group Intermediate,329.0,,,Machika,Mac43,O,20907 NOTINGHAM LOWER,Cocos,United States of America,2.0,,4.0,3.0,3525204.0,83458.0,95263
1-135-443-7282,Peoria,D,8.0,Prince Edward Island,,601.0,,,chenoweth,che44,R,601 carroll lower,ruud,United States of America,3.0,,0.0,100.0,468976.0,,v5b 1p5
1-720-975-0667,Inglewood,W,2.0,SD,Goldman Sachs Group,623.0,,,holbrooks,hol45,O,18267 state drive,Belvia,United States of America,1.0,,5.0,81.0,1685443.0,492407.0,32318
1-871-598-3505,Akron,S,2.0,OH,E*Trade Financial,376.0,f,,pfieffer,pfi46,O,9270 LEAF SOUTH,ATHAR,United States of America,4.0,,4.0,76.0,337564.0,346630.0,93872
1-607-222-4809,Charlottetown,W,0.0,MA,Pfizer,560.0,,Y,elkington,elk47,O,18582 PERIMETER BOULEVARD,Cherey,Canada,3.0,,1.0,51.0,84777.0,9572.0,92824
1-965-046-0642,Bellevue,,4.0,MD,Safeway,693.0,F,,Labenek,Lab48,O,9612 park stream upper,RAZ,United States of America,5.0,,1.0,,3146477.0,265369.0,e4a 1r2
1-155-441-3579,Dover,S,0.0,Saskatchewan,Simon Property Group,346.0,,Y,laferriere,laf49,U,2803 clearwater north,kishore,United States of America,2.0,,1.0,58.0,495277.0,104172.0,H7G 1V4
,Fullerton,M,0.0,WA,Trinity Industries,342.0,,I,Norment,Nor50,O,11103 BISSONNET WEST,Nelleke,United States of America,3.0,,0.0,52.0,746904.0,65550.0,85039
1-544-132-7237,Denver,M,8.0,OH,Solutia,563.0,,,hagar,hag51,R,4652 outervale lane,sibby,Canada,0.0,,2.0,91.0,1219620.0,,v6m 1q3
1-821-089-2089,Dallas,M,4.0,WY,,391.0,m,,Betcher,Bet52,O,341 dunbar west,ericha,United States of America,3.0,,2.0,17.0,1718910.0,,X7j 1r1
1-135-391-9787,San Jose,S,8.0,NJ,A.O. Smith,381.0,m,,Van der,Van53,O,16176 vernon drive,Janson,United States of America,4.0,,4.0,6.0,,66244.0,B8b 1z5
1-776-182-6215,Bellevue,S,9.0,ND,AptarGroup,539.0,F,,O'LEARY,O'L54,U,23131 clint way,Dorotea,United States of America,3.0,,0.0,89.0,2636424.0,426954.0,t5d 1v4
1-079-780-7761,San Buenaventura,M,0.0,NC,Coca-Cola,497.0,m,,anderson,and55,O,11640 baltic upper,Denice,United States of America,4.0,,5.0,99.0,1326305.0,126891.0,V6t 1r2
1-504-346-4393,St. Louis,M,,WV,Kimberly-Clark,661.0,,,starks,sta56,O,20796 dolores drive,Myron,Canada,2.0,,4.0,77.0,2241997.0,454196.0,91177
1-985-538-4351,Pueblo,S,0.0,GA,Visteon,558.0,,,CHASSE,CHA57,R,14359 COMMERCE WEST,Barby,United States of America,3.0,Apt. 275,5.0,,1542891.0,163940.0,T5c 1t1
1-254-097-9398,Regina,W,,Ontario,TECO Energy,534.0,R,,ASING,ASI58,O,21448 hampton boulevard,Ariella,Canada,1.0,,,90.0,797918.0,365213.0,35862
1-545-924-9552,Saskatoon,M,6.0,MA,Bemis,373.0,f,,askins,ask59,U,7637 pershing way,ADEY,United States of America,0.0,,0.0,82.0,347654.0,428739.0,96820
1-984-233-8818,Jackson,M,8.0,CA,Wyeth,382.0,,K,Kikuta,Kik60,O,11529 arcana boulevard,GAYEL,United States of America,0.0,,4.0,,2456397.0,142444.0,75238
1-528-691-1642,St. Petersburg,S,10.0,SD,United Technologies,475.0,F,,Chane,Cha61,O,2700 windwood north,Man,United States of America,3.0,,3.0,15.0,1284229.0,416168.0,85769
,Scottsdale,D,3.0,Saskatchewan,Clorox,539.0,m,U,KILLEN,KIL62,O,22279 gramercy road,Klara,United States of America,0.0,,2.0,,618787.0,291420.0,H5i 1o9
1-171-807-8213,Charlotte,M,6.0,RI,Discovery Communications,711.0,f,,kinley,kin63,O,9828 west east,Abdalla,United States of America,5.0,,4.0,96.0,1171606.0,413501.0,90849
1-056-241-7009,Waterbury,M,1.0,NC,Williams-Sonoma,606.0,,,MALAHER,MAL64,O,5935 mcafee park,bal,United States of America,,,4.0,38.0,3983261.0,,43644
1-389-414-0570,Chesapeake,W,0.0,SD,Manitowoc,494.0,,J,Odum,Odu65,O,12460 CLAYTON STREET,Romy,United States of America,3.0,,3.0,10.0,2328568.0,419143.0,99213
1-583-542-1656,Hialeah,M,3.0,IL,Henry Schein,309.0,,,DI NINNO,DI 66,O,275 3rd drive,KORAL,United States of America,5.0,,1.0,72.0,2078600.0,155057.0,72226
1-269-712-0672,Charleston,M,3.0,OR,Trinity Industries,630.0,,K,STUBBLEFIELD,STU67,O,6907 FERNCLIFF CRESCENT,YUKIHIKO,United States of America,5.0,,2.0,97.0,2986155.0,313859.0,V6Z 1Q9
1-670-102-0463,Salem,S,10.0,Ontario,Pepsi Bottling,330.0,,,HAMBALI,HAM68,O,885 crosby lane,Khanh,United States of America,1.0,,4.0,48.0,1864039.0,265907.0,20082
1-699-726-3895,Sacramento,S,9.0,FL,UGI,710.0,m,,LIBRARIAN,LIB69,O,2344 kalani west,Darnell,Canada,0.0,,,97.0,1293721.0,283481.0,35827
1-640-666-2876,Santa Clarita,M,7.0,NM,Greif,475.0,M,,ohsone,ohs70,R,22870 LA CIENEGA STREET,feridoun,United States of America,0.0,,4.0,73.0,3850114.0,200635.0,99692
1-540-639-1311,Sherbrooke,U,3.0,NE,Equifax,596.0,,O,HUMMEL,HUM71,O,8478 green avenue,Magdy,United States of America,1.0,APT. 143,0.0,71.0,1618743.0,434519.0,V6c 1q5
1-285-874-8492,Colorado Springs,W,9.0,MI,,670.0,,,BRADD,BRA72,O,23639 purdue rue,jiri,United States of America,1.0,,5.0,93.0,3383487.0,392315.0,80158
1-121-904-0040,Berkeley,U,,New Brunswick,Freescale Semiconductor,722.0,,X,Boarder,Boa73,O,19202 ansley park,AILA,United States of America,3.0,,5.0,53.0,2981876.0,493829.0,t6d 1b6
1-017-842-3201,San Buenaventura,U,7.0,NJ,Aleris International,587.0,,,Mcnally,Mcn74,O,11319 devonshire rue,Vincenzo,United States of America,2.0,,3.0,32.0,2109339.0,97489.0,33120
1-215-859-3206,New Haven,S,4.0,ND,,609.0,F,,MARKOVICH,MAR75,O,23665 deerwood park,Minnnie,United States of America,3.0,,4.0,1.0,791803.0,,99742
1-764-520-7470,Shreveport,S,7.0,Saskatchewan,World Fuel Services,401.0,f,,Willekes,Wil76,O,4855 union north,alfonzo,United States of America,1.0,,0.0,39.0,3523678.0,383046.0,V6N 1T1
1-414-130-0162,Lansing,M,0.0,KS,R.R. Donnelley & Sons,335.0,m,S,Deacetis,Dea77,,9466 SHADOWBRIAR WEST,Swandi,United States of America,0.0,,4.0,77.0,1681902.0,1190.0,44104
1-970-240-9990,Pembroke Pines,U,7.0,SD,Brinker International,569.0,,,Houk,Hou78,O,3504 regency avenue,Anya,United States of America,5.0,,5.0,18.0,3851455.0,85733.0,14605
1-408-684-6459,Palmdale,M,9.0,FL,Temple-Inland,,,,Goyette,Goy79,R,7281 northland lower,Enrika,Canada,2.0,,0.0,70.0,2339382.0,387890.0,80076
1-330-353-5908,Savannah,S,7.0,Saskatchewan,Psychiatric Solutions,679.0,f,Z,Mok-fung,Mok80,O,12481 hayden lower,SONJA,United States of America,0.0,,2.0,26.0,,16808.0,V6I 1V6
1-766-726-2675,Amarillo,M,10.0,FL,Nash-Finch,356.0,,I,Rundle,Run81,,2328 gracie avenue,Liem,United States of America,4.0,,,,2065016.0,304589.0,97307
1-938-425-7509,Anchorage,S,9.0,UT,AMR,308.0,o,,BELLEY,BEL82,R,4737 campbell street,COLLETTE,United States of America,5.0,,2.0,58.0,2454049.0,48506.0,46237
1-527-308-8874,Louisville,M,4.0,WY,Spartan Stores,412.0,,Y,BAER,BAE83,O,2401 stratmore lower,SIAMACK,United States of America,4.0,,0.0,43.0,2423395.0,,V6B 1S6
1-810-590-0635,Hilo,D,4.0,NH,Cigna,618.0,f,,MAULDIN,MAU84,O,21477 JUNIPER CRESCENT,Toshihiro,United States of America,3.0,,2.0,65.0,1342045.0,358862.0,H2d 1x1
1-274-548-2512,Sudbury,S,5.0,AR,General Cable,429.0,,,Koohgoli,Koo85,O,19214 YAUPON BOULEVARD,Casey,United States of America,3.0,,5.0,24.0,861756.0,477614.0,95108
1-649-754-4601,Orlando,S,3.0,CT,Dun & Bradstreet,819.0,,,Lauriston,Lau86,O,7785 rusk boulevard,Daryn,United States of America,1.0,,3.0,79.0,1215349.0,175414.0,80050
1-905-932-1785,Missoula,M,7.0,VT,Casey's General Stores,552.0,F,L,Mangum,Man87,O,18002 cantrell upper,Adrianna,Canada,1.0,,0.0,48.0,3981554.0,427598.0,90122
1-031-004-7697,Abilene,S,9.0,Manitoba,Jack in the Box,587.0,,,PIERCY,PIE88,O,23341 brookside upper,Cortney,United States of America,4.0,,0.0,69.0,3865937.0,368207.0,43614
1-994-812-4796,Saskatoon,S,6.0,NJ,Assurant,304.0,M,,Buscaglia,Bus89,O,20494 ROSS WEST,Duane,United States of America,1.0,,3.0,91.0,2804700.0,449944.0,61110
1-176-513-4041,Irvine,,4.0,KY,Psychiatric Solutions,795.0,,,BABIONE,BAB90,U,17552 SAVANNAH NORTH,Tele,United States of America,5.0,,5.0,75.0,3283558.0,166247.0,70174
1-072-244-6337,Reno,S,2.0,GA,Danaher,830.0,M,,Burkard,Bur91,O,4462 pace crescent,Ophelia,United States of America,3.0,APT. 373,1.0,85.0,450524.0,391165.0,90324
1-924-669-9328,Sacramento,M,3.0,NJ,Clorox,709.0,,,Kinsella,Kin92,R,7161 tallowood upper,lorine,United States of America,3.0,,5.0,76.0,,165854.0,s7d 1n1
1-598-488-3541,Topeka,S,8.0,SC,Boyd Gaming,493.0,,,POMMAINVILLE,POM93,O,3489 silver sage west,Viole,United States of America,1.0,,2.0,68.0,,326181.0,93829
1-295-539-3868,Rancho Cucamonga,M,,TN,Eaton,680.0,M,,BOATWRIGHT,BOA94,O,12481 hayden lower,Nani,United States of America,,,3.0,95.0,633760.0,173387.0,89116
1-554-020-0267,Hilo,M,,WY,Dynegy,800.0,,R,Ronald,Ron95,R,13210 3RD DRIVE,cherey,United States of America,5.0,,1.0,15.0,3634954.0,301127.0,94315
1-793-621-4566,Saint John,M,4.0,Ontario,AmeriCredit,614.0,,A,weihs,wei96,R,8899 starling lane,Redgie,United States of America,5.0,,1.0,17.0,799268.0,487230.0,T5b 1u9
1-787-267-4261,Torrance,,6.0,DC,SLM,763.0,M,P,Helpb,Hel97,R,11480 fennel south,Yousef,Canada,0.0,,4.0,94.0,39093.0,425747.0,T6b 1a5
1-668-247-1597,Santa Clara,S,3.0,Alberta,NV Energy,561.0,m,,moghe,mog98,O,7266 cherry upper,Damaris,United States of America,4.0,,4.0,70.0,2705353.0,401946.0,60699
1-901-346-8890,Torrance,S,4.0,ME,Landstar System,569.0,,,bozicevich,boz99,O,10678 ENGLEWOOD WEST,Ilyssa,United States of America,2.0,,1.0,29.0,3565153.0,425422.0,V6p 1s8
1-451-273-3803,Stockton,M,5.0,MA,Pacific Life,634.0,,R,Zaharychuk,Zah100,O,21181 2ND RUE,Moselle,United States of America,1.0,,4.0,52.0,2832204.0,208890.0,v6i 1p1
1-129-499-9136,Paterson,U,10.0,NV,Textron,488.0,F,,Andric,And101,O,22963 hanover road,Dulsea,United States of America,3.0,,5.0,51.0,2194345.0,67880.0,79423
1-899-319-0772,Mesa,W,5.0,WA,Pfizer,788.0,,L,Bamfo,Bam102,O,8268 cliffbrook boulevard,Lyndsie,Canada,3.0,,2.0,24.0,3737140.0,133412.0,H5j 1o6
1-053-396-0441,Anchorage,D,8.0,WY,Cigna,333.0,,,frondozo,fro103,O,5118 montview court,KESLEY,United States of America,4.0,,3.0,98.0,464753.0,144829.0,93761
1-239-665-9540,Miami,M,,NJ,Ameren,601.0,,J,Caron,Car104,U,17442 tallowood upper,LAUREL,United States of America,1.0,,1.0,59.0,596696.0,,76150
1-605-888-3403,Great Falls,U,2.0,LA,Consolidated Edison,595.0,f,V,muchow,muc105,O,4038 WEDGEWOOD STREET,Steen,Canada,4.0,,3.0,49.0,1504753.0,143682.0,99717
1-630-604-2543,Erie,U,10.0,TX,Occidental Petroleum,433.0,,,gateau,gat106,O,20334 anaconda avenue,noel,United States of America,1.0,,0.0,1.0,3049281.0,350020.0,60608
1-851-862-7928,Hollywood,U,10.0,SC,Sherwin-Williams,403.0,F,M,Schaefer,Sch107,O,5385 young west,Tracey,United States of America,,,0.0,79.0,247478.0,435103.0,v6w 1u4
1-065-415-5724,Tulsa,,3.0,TX,Affiliated Computer Services,615.0,,,pomerleau,pom108,R,2747 SINCLAIR LANE,Sarajane,United States of America,5.0,,1.0,6.0,2750301.0,207768.0,T5b 1t6
1-408-512-1007,Tucson,M,1.0,MN,Valassis Communications,735.0,F,K,cucuzzella,cuc109,O,8622 BROWNWAY PARK,Geoffrey,United States of America,4.0,,0.0,70.0,721333.0,407512.0,23298
1-083-902-4184,Anchorage,S,1.0,ID,,668.0,q,Z,SUGARMAN,SUG110,O,18048 GREEN NORTH,loralyn,United States of America,0.0,,3.0,23.0,669440.0,403366.0,32803
1-568-403-7081,Sandy,M,,MI,Smithfield Foods,349.0,,,Pepe,Pep111,O,18994 country boulevard,andrei,Canada,5.0,,3.0,78.0,2473979.0,384095.0,64122
1-824-389-0618,Boston,S,,OK,,654.0,f,,Chandrashekar,Cha112,,16063 ashland road,javad,United States of America,,SUITE 7,4.0,79.0,3545170.0,288969.0,T6b 1h2
1-174-210-2058,Vancouver,U,6.0,UT,TD Ameritrade,361.0,m,U,SEIFERS,SEI113,O,19309 mcfarlin north,Karna,United States of America,3.0,Apt. 971,2.0,72.0,1494871.0,233665.0,22222
1-425-503-7952,Akron,S,1.0,PA,Comerica,427.0,F,S,GARTLEY,GAR114,U,2454 cliffbrook west,Jocelyn,Canada,0.0,,4.0,31.0,436164.0,147236.0,T6a 1d2
1-012-389-9089,Lancaster,W,1.0,New Brunswick,Steel Dynamics,322.0,M,,Touchette,Tou115,O,15865 strand west,Elvera,United States of America,3.0,,0.0,86.0,1069481.0,452557.0,v5d 1n9
1-909-472-6704,Concord,S,9.0,UT,Coca-Cola Enterprises,792.0,M,V,Kurdziel,Kur116,R,13776 east boulevard,Nessy,United States of America,0.0,,2.0,,,179305.0,23321
1-622-167-5411,Chesapeake,U,2.0,VA,News Corp.,478.0,,,Herod,Her117,O,10570 WEIZMANN LOWER,lona,Canada,0.0,,3.0,87.0,2957261.0,205817.0,90505
1-164-511-9338,Flint,M,1.0,NH,,477.0,,P,MCVICAR,MCV118,O,15278 walnut hill road,RHEA,United States of America,5.0,,,92.0,228459.0,262711.0,19066
1-804-532-9163,Chattanooga,M,6.0,VT,Stater Bros. Holdings,449.0,F,,LABFIVE,LAB119,O,23007 WAKEFOREST WAY,Josefa,Canada,5.0,,1.0,4.0,67267.0,84810.0,v6s 1r3
1-197-370-0297,Billings,U,2.0,FL,BorgWarner,466.0,,,butta,but120,O,9088 rivas way,alikee,United States of America,4.0,,2.0,8.0,1087978.0,96441.0,78769
1-337-042-5687,Scottsdale,M,2.0,NC,CB Richard Ellis Group,483.0,m,,Projects,Pro121,O,18798 ullrich road,dolorita,United States of America,5.0,,0.0,97.0,3885967.0,462762.0,53769
1-056-138-5321,Oshawa,D,4.0,VA,Zimmer Holdings,588.0,,,Irc,Irc122,O,18517 HULEN LOWER,Marilyn,United States of America,4.0,,5.0,,3271101.0,141890.0,H7E 1U6
1-776-191-2031,Naperville,,2.0,DC,Mohawk Industries,313.0,,G,Zivkovic,Ziv123,O,11474 dodd lane,robertson,Canada,5.0,,5.0,40.0,,156610.0,e7o 1k1
1-280-696-2706,Tampa,U,1.0,NC,Berkshire Hathaway,647.0,,H,simser,sim124,R,9375 wood south,Ilsa,United States of America,4.0,,1.0,95.0,1999133.0,164752.0,90374
1-857-581-6346,Jackson,S,2.0,MS,Saks,430.0,,I,keifer,kei125,O,20479 wise avenue,Pen,United States of America,5.0,,1.0,92.0,1100786.0,278949.0,63169
,Hay River,W,8.0,SC,Gardner Denver,467.0,f,P,arvin,arv126,O,19918 ROGERS NORTH,AUBRETTE,United States of America,5.0,,0.0,67.0,563992.0,,16515
1-716-343-0884,Irvine,M,7.0,KS,Hasbro,399.0,F,,Praeuner,Pra127,O,9284 coffey lower,Cole,United States of America,2.0,,3.0,24.0,962397.0,463736.0,85309
1-101-776-2496,Idaho Falls,M,5.0,VT,CBS,654.0,m,C,lue,lue128,O,2929 north crescent,liva,United States of America,3.0,,2.0,26.0,1064169.0,,92158
1-769-028-0589,Moreno Valley,S,3.0,IL,Synnex,378.0,f,,Przybycien,Prz129,O,15404 queen street,Ayaz,United States of America,0.0,,2.0,62.0,2100059.0,86667.0,33152
1-005-833-8970,Ontario,W,10.0,FL,Belden,338.0,f,J,penn,pen130,O,1619 greenspoint road,YETTY,United States of America,1.0,,5.0,37.0,99025.0,193470.0,83729
1-884-215-4243,Concord,S,10.0,MI,Broadcom,695.0,,S,Guay,Gua131,R,21477 WARREN PARK,Mary-michelle,United States of America,0.0,,5.0,71.0,3865481.0,406379.0,B8b 1z6
,Phoenix,M,7.0,Newfoundland,Reynolds American,614.0,F,,brennand,bre132,U,6503 ROBBINS STREET,agretha,Canada,3.0,,1.0,29.0,804544.0,480595.0,53717
1-725-177-7815,Coral Springs,S,7.0,ME,Wells Fargo,307.0,f,X,Savanh,Sav133,O,3958 GLEN LOCH BOULEVARD,LOTTY,United States of America,5.0,,4.0,89.0,3143356.0,181718.0,t5c 1w7
1-277-496-5396,Oxnard,M,2.0,AL,Retail Ventures,331.0,,Z,ABBATANTUONO,ABB134,O,13640 ethridge lower,Kassey,United States of America,3.0,,0.0,11.0,,468310.0,37245
1-756-463-2201,Brownsville,S,2.0,IN,AT&T,638.0,M,N,OP,OP135,O,3981 imperial lower,Adria,United States of America,0.0,,2.0,20.0,2311953.0,354987.0,94401
1-261-338-7463,Memphis,W,3.0,NH,Wynn Resorts,703.0,,,Mersinger,Mer136,O,13210 3rd drive,audivox,Canada,5.0,,3.0,75.0,3120608.0,284539.0,B8a 1y3
1-811-086-4675,Flint,S,7.0,DC,Eastman Kodak,302.0,F,,rutt,rut137,O,9297 THROCKMORTON SOUTH,SUE,United States of America,5.0,,0.0,95.0,2058270.0,213725.0,t6b 1k2
1-338-771-1185,Lafayette,U,,DC,Aramark,522.0,,I,bemis,bem138,O,8935 YOUNG UPPER,Lorenza,United States of America,3.0,,2.0,0.0,1511983.0,74195.0,85306
1-554-231-5318,Greensboro,M,,MD,ENSCO International,,,,Pennington,Pen139,O,3797 RUTGERS PARK,Enzo,United States of America,1.0,,5.0,73.0,439080.0,169295.0,V6R 1R7
1-733-886-5227,Sterling Heights,W,5.0,Prince Edward Island,Auto-Owners Insurance,833.0,M,Y,torok,tor140,R,8285 tamarind crescent,claudina,United States of America,0.0,,1.0,39.0,921255.0,307832.0,68513
