prospect_gncd,prospect_frstnm,prospect_ntwrth,prospect_mplr,prospect_nmbrcrdtcrds,prospect_lstnm,prospect_ddrssln2,prospect_mrtlstts,prospect_gndr,prospect_phn,prospect_nmbrchldrn,prospect_g,prospect_ct,prospect_cntr,prospect_nmbrcrs,prospect_stt,prospect_ncm,prospect_crdtrtng,prospect_wnrrntflg
dgc7511,Zaijioc,490443.0,Interstate Bakeries,3.0,dgcnbxfhc,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,M,m,,1.0,72.0,Greensboro,United States of America,5.0,Saskatchewan,210038.0,,O
lql7512,Mdwdjpdfmbqjaygkfqzqx,3348923.0,eBay,9.0,lqlslgqsvyfxqnzuwbfg,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,M,,1-268-630-3843,5.0,40.0,Concord,Canada,4.0,NE,307402.0,318.0,O
Wsk7513,Ccbccgvldfvoqtzestvkwunn,331799.0,Boise,4.0,Wskjvrujdwku,ucxdpiwilpxxhv,D,m,1-915-548-9541,1.0,8.0,Colorado Springs,United States of America,4.0,AR,,613.0,R
Ffs7514,nyakrhdyxravdnhgbtol,1167013.0,MDU Resources Group,4.0,Ffshsiomkzjonhxjhunfsao,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,U,,1-536-880-0961,1.0,10.0,Mobile,,4.0,IL,432425.0,786.0,R
Kvv7515,NDNBTVCLKSC,3960216.0,Freescale Semiconductor,10.0,Kvvverfkpazpzzkrqniixrhnw,,U,,1-494-335-6022,3.0,24.0,Thousand Oaks,United States of America,0.0,VA,122041.0,,O
mpz7516,Zmstbluqkipzaojfsomtbdddguq,242246.0,Superior Energy Services,5.0,mpzqnwnrmaozfsstcqtrc,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,M,f,1-814-158-3550,4.0,18.0,Rochester,United States of America,1.0,ID,302205.0,623.0,O
Jhc7517,dpqgvuaoijmkxsesvililpxcrwqe,1217660.0,Monsanto,1.0,Jhcbaxyzijphmmvpampdgvgisnab,Havgczldcpfmwfzj,S,F,1-420-580-0795,1.0,79.0,Garden Grove,United States of America,1.0,TX,367555.0,845.0,O
dbq7518,IHUGYGSRDWILVOFBAKUR,1229655.0,Newfield Exploration,7.0,dbqcukoddoiwg,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,M,M,1-924-305-1666,5.0,36.0,Tampa,United States of America,4.0,New Brunswick,106025.0,645.0,U
Xch7519,aefotdcronamhkzsfpvifmobgchmsp,1157831.0,Loews,1.0,Xchoxlbkffuvox,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,W,m,1-450-082-2122,2.0,21.0,Fullerton,Canada,2.0,Alberta,106690.0,495.0,O
oir7520,jdeyqkerjerjpht,,Apache,8.0,oirfujtvl,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,M,m,1-573-009-1404,2.0,4.0,Washington,Canada,2.0,PA,29373.0,371.0,O
Fqb7521,Lwihnxoihqqrvjydsijd,,Robert Half International,1.0,Fqbovz,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,S,M,1-603-897-9894,3.0,72.0,Norfolk,United States of America,2.0,Nova Scotia,168189.0,462.0,R
qex7522,nmnervucuk,3467922.0,Viacom,7.0,qextfjyytqwbmdrlykbfnhvqrmota,Rirmrpvlknyho,S,,1-947-161-6502,,1.0,Sydney,United States of America,,RI,264756.0,375.0,U
Hpi7523,hgjkxxbf,46859.0,Robert Half International,10.0,Hpiedhvkedqqdxsoedt,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,S,,1-586-826-9847,2.0,98.0,Winnipeg,Canada,1.0,OR,44480.0,516.0,U
Fjd7524,Zangtryzlhmxo,2937668.0,CSX,,Fjdafgbcrml,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,,1-217-243-2668,5.0,35.0,Wilmington,Canada,1.0,CA,87207.0,703.0,R
Cgt7525,FFJGEQD,2388613.0,Country Financial Services,7.0,Cgtcmbl,Rpzwirgfyiw,W,,1-857-211-5728,2.0,99.0,El Monte,United States of America,4.0,MO,238434.0,734.0,O
Lwx7526,Pdcxrihnl,3116283.0,Procter & Gamble,4.0,Lwxudfgcqawccntqaucdaeym,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,M,M,1-089-966-6281,2.0,49.0,Sterling Heights,United States of America,0.0,Prince Edward Island,,469.0,U
epy7527,Zckhcacwaelzutaodqalxyjrkh,2671950.0,Ingles Markets,2.0,epyxtfsrijhddstgaxkbgmlayjtk,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,S,,,0.0,72.0,Pembroke Pines,United States of America,3.0,Quebec,391354.0,595.0,O
Aff7528,sqrosgqnpifxjx,3899593.0,Forest Laboratories,1.0,Affcha,Acdrcqabtcdgmgl,U,m,1-231-342-6874,0.0,41.0,Philadelphia,United States of America,3.0,KS,419165.0,410.0,O
mfc7529,Erqzkkllazeobgthnmgsbtj,2537332.0,Dentsply International,10.0,mfcestd,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,W,,,2.0,54.0,Glendale,Canada,3.0,NV,396509.0,475.0,O
Slf7530,Lcziayaozecoqqluasolkmmcldm,733236.0,RadioShack,2.0,Slfbmvc,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,,1-602-637-1838,2.0,11.0,El Monte,United States of America,0.0,TN,145161.0,,R
Cxu7531,Gcnczmuxviqaxtsdzmzhtro,,Century Aluminum,3.0,Cxuousxqyrfgjvpvuopyfguqva,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,W,,1-003-982-8627,5.0,0.0,Warwick,United States of America,2.0,WY,263206.0,519.0,O
GZO7532,Rsoobsqytvjycob,3397276.0,,5.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,D,,1-136-358-6852,3.0,27.0,Milwaukee,United States of America,3.0,British Columbia,190371.0,841.0,U
DRW7533,Pjvadgt,2444257.0,FPL Group,6.0,DRWTVTDSG,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,U,,1-123-528-2965,1.0,95.0,Phoenix,United States of America,3.0,LA,203968.0,540.0,O
set7534,GUBKOKITTSKVYM,71520.0,Lockheed Martin,10.0,setksinlvlrjwnfu,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,U,f,1-136-565-2501,3.0,35.0,Anchorage,United States of America,1.0,HI,428323.0,540.0,R
Pyo7535,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,1911091.0,Sanmina-SCI,6.0,Pyoixliri,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,M,,1-317-986-1984,1.0,96.0,Madison,United States of America,4.0,NY,159980.0,,O
FSH7536,Kuteauo,988775.0,Iron Mountain,6.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,W,M,1-265-603-1262,0.0,96.0,Fontana,Canada,0.0,TX,266852.0,424.0,O
Tdx7537,Hkfofpndygljbeo,3919363.0,OfficeMax,2.0,Tdxyljuxporjhdumcvfmv,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,M,,,5.0,49.0,Charlotte,United States of America,5.0,AZ,206973.0,623.0,R
Sbn7538,Kengxgsu,428918.0,AMR,4.0,Sbnxcsrozzcufdoyvckpplofysx,XHQNMCEJKXOQYVSZVESLKC,S,,1-156-668-6882,1.0,,Richmond,Canada,5.0,ME,258221.0,792.0,O
Piq7539,Plywuoa,58134.0,Kohl's,6.0,Piqizouhxiw,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,S,f,1-164-648-3203,4.0,27.0,Santa Clarita,United States of America,4.0,NH,428508.0,718.0,O
IXD7540,zfcwsxpjzyqelkxg,3703767.0,Cigna,6.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,Toumjfbsumpgfuskpydjeibaxi,M,M,1-839-795-1027,0.0,98.0,Yellow Knife,,4.0,KY,,401.0,O
wsn7541,Yxvczhqjwgnhowiu,433859.0,West,2.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,M,,1-958-412-4252,5.0,,Oxnard,United States of America,4.0,Prince Edward Island,58953.0,557.0,R
Jkp7542,Grkknjyfgbhtyrhxzeaoeoyirwfa,3002044.0,Monsanto,7.0,Jkpmtcj,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,W,M,1-392-335-1020,5.0,56.0,Huntington Beach,United States of America,5.0,British Columbia,409682.0,393.0,O
CCF7543,Vfrdst,1124168.0,Reliant Energy,10.0,CCFFVCOHCLUUXZIQTCFCUHEYN,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,M,M,1-912-050-7605,4.0,94.0,Durham,United States of America,2.0,CT,340191.0,557.0,
ylj7544,Hqcswumjvwbemosmy,2081541.0,Idearc,5.0,yljvuglvt,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,U,,1-075-551-9919,5.0,98.0,Naperville,United States of America,4.0,WA,238216.0,465.0,O
ZBB7545,Ectbhkmbvwkwdbn,1897076.0,Neiman Marcus,6.0,ZBBXAWVJAAL,hkyochorqgtokxgozmoncalaaiw,M,F,1-013-611-2674,1.0,8.0,Albuquerque,Canada,0.0,ND,113171.0,,O
fqe7546,Bdbgqpllbnrmiirpct,235172.0,O'Reilly Automotive,10.0,fqekemquvstw,Datdnghoiymltcayulgkgxywi,W,m,1-656-865-7544,,90.0,Newark,United States of America,5.0,ID,234797.0,485.0,
Wpw7547,Ftszluaxcsoxdfbmdd,639573.0,Cliffs Natural Resources,2.0,Wpwhilrlzng,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,M,,1-879-870-7379,2.0,34.0,Miami,United States of America,4.0,Quebec,225322.0,303.0,
vpz7548,Qrdnpjquwnixfocqhsrlkcxmelwijl,2667082.0,Health Management Associates,4.0,vpzxgcwljllsq,,W,,1-366-625-9813,2.0,25.0,London,Canada,1.0,ID,192689.0,846.0,O
Yfz7549,Kkiolpmrgzmnjanqc,2598634.0,Chevron,1.0,Yfzmtcvxc,,,,1-359-462-7089,4.0,50.0,Worcester,Canada,5.0,AL,348685.0,621.0,O
dou7550,unzegilpp,1074671.0,Exide Technologies,,douvwdwiwrxoivzaojazinrhswjv,,D,,,4.0,85.0,Jacksonville,United States of America,3.0,UT,401229.0,331.0,O
FDJ7551,xetqkitwlh,2272997.0,Convergys,9.0,FDJOVRSOCWEIKZ,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,M,M,1-153-396-8333,4.0,60.0,Nashua,United States of America,5.0,MS,38597.0,401.0,R
ufu7552,TWRRGULRYKYUWZYBQQFMIFFKVK,702000.0,Dominion Resources,0.0,ufutrfkevxnbupjcetrpltw,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,S,,1-144-623-1308,2.0,95.0,Newport News,United States of America,2.0,AK,,644.0,R
bbg7553,Yqfljvgkfucafpjpamdtcppiipc,1289800.0,Sentry Insurance Group,5.0,bbgzmquoeecumw,NBSHKLXYVUUWXEQSGXR,M,m,1-269-220-8046,1.0,8.0,Corona,United States of America,4.0,VT,161204.0,769.0,R
Znk7554,mjeasoritwctufyojamzbeeoo,1007390.0,Cintas,2.0,Znkkdbkvxcxeuackyodqlkpl,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,M,f,1-052-524-0130,4.0,31.0,Lincoln,,3.0,LA,202650.0,481.0,O
CGQ7555,Udxaujgiratgthwkvdibgvwfo,124290.0,Medtronic,7.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,U,F,1-335-871-6660,2.0,51.0,Toronto,Canada,1.0,CT,,732.0,O
add7556,GHFUKZPOKMXWZF,1820002.0,Pride International,2.0,addxtssyhezwro,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,M,,1-637-394-8083,4.0,24.0,Fayetteville,United States of America,4.0,UT,492433.0,802.0,O
Anw7557,ybtkiifyhbgchnuctnhnqspk,2200347.0,A. Schulman,5.0,Anwyusqezrjppzkaevffwljm,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,M,,1-706-795-4208,4.0,78.0,Charlotte,Canada,2.0,IN,344858.0,329.0,O
Hvt7558,Fhkymmgjsbmpduuffgavhfcxm,3669569.0,Oneok,0.0,Hvtanebvipbdd,nqcozjievwzk,W,m,1-622-347-5699,0.0,56.0,Tulsa,United States of America,5.0,WI,197290.0,839.0,R
Yqj7559,DEZDTMSMWKALBRPALCFIME,2140537.0,Danaher,,Yqjaammjlhgpw,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,U,,1-042-017-9368,,50.0,Winston-Salem,United States of America,2.0,WA,283654.0,539.0,
Ztn7560,phoxfeiqoldgmnojmzunmargkla,3258909.0,Del Monte Foods,4.0,Ztnstwpjxatqveppicohpzilnn,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,M,F,1-829-935-5979,5.0,52.0,Thousand Oaks,United States of America,4.0,LA,317423.0,561.0,R
bni7561,Upuabfflh,1825422.0,American Electric Power,2.0,bnizllrrofn,Lfrjkyblujmbxigmylpsxieswspmei,W,F,1-076-726-5283,5.0,14.0,Lubbock,United States of America,4.0,VT,399126.0,814.0,O
swx7562,owagfolbfwjzeg,1845263.0,TJX,7.0,swxorhmdydwbrtdqxroghsddlpbdgi,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,M,,,0.0,29.0,Winnipeg,United States of America,5.0,CT,398180.0,305.0,R
DSA7563,Qdmppehqxloc,1463114.0,Philip Morris International,4.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,S,f,1-284-129-5920,4.0,50.0,Laredo,United States of America,2.0,RI,,457.0,O
BXZ7564,jqbetxkci,2354683.0,Cincinnati Financial,8.0,BXZUTWBUFSGPPXKR,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,U,,1-128-308-8886,1.0,67.0,Overland Park,United States of America,4.0,SC,485429.0,349.0,O
pcz7565,Wsmywgbvwspgdwhmdxsqjwqb,436677.0,Stryker,0.0,pczqycbwefse,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,M,,1-145-469-5971,0.0,22.0,Calgary,United States of America,2.0,British Columbia,118018.0,590.0,O
Zqa7566,ocgwi,2383335.0,Kansas City Southern,0.0,Zqaknviqngvemehvpzrcgkcvre,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,U,m,1-727-684-7767,4.0,20.0,Peoria,United States of America,5.0,CO,309693.0,533.0,O
Htl7567,Pcotdnngmurhkcd,2574739.0,IDT,9.0,Htltlfnvjctvvdvulpkhcbyfi,IBQIDE,W,,1-776-201-2472,0.0,75.0,Durham,Canada,4.0,TN,90718.0,686.0,O
afw7568,bvcosqzcleknjzvkygbawlc,1596838.0,Vornado Realty Trust,10.0,afwafvxxdr,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,U,F,1-767-942-1278,0.0,60.0,Pueblo,United States of America,2.0,CA,280645.0,582.0,O
Wna7569,ECLENELTSXGTNWOP,591965.0,Dollar General,0.0,Wnakgzhqfhtavtvegjtdmdosnjr,Lrebujnrg,S,,1-723-062-7266,4.0,,Las Cruces,United States of America,,WY,231559.0,807.0,O
Mlh7570,Xdwexmrjat,3071440.0,Safeway,3.0,Mlheqxaigtvjaynkffyqkpu,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,S,,,5.0,48.0,Chula Vista,United States of America,3.0,SD,36898.0,819.0,O
Gor7571,xjwnvwdryqpcehelwzfhkkiuus,2683081.0,Apache,5.0,Gorjnqxjtefmomsbmtnogaerx,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,M,,1-145-314-0862,0.0,91.0,San Diego,United States of America,2.0,British Columbia,396786.0,311.0,R
ENX7572,RNBABCYAFMQPBOHXNUXMXNU,3850483.0,Lowe's,3.0,ENXOMNHFVPYQSABETPUEKRKCL,Hxutrprq,U,f,1-735-104-7772,5.0,98.0,Chicago,United States of America,2.0,NJ,344365.0,734.0,O
fgr7573,Eyrtrqkljywvbcice,1870617.0,Lithia Motors,1.0,fgrdzzudzmwlluff,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,W,,,1.0,51.0,Worcester,United States of America,4.0,AK,1205.0,432.0,O
Ysh7574,Opybrukftspofebjmspkjsgtobzsp,1249534.0,CH2M Hill,3.0,Yshzkx,JRHXPUUHAFHDPF,S,m,1-518-116-1411,0.0,22.0,Honolulu,United States of America,5.0,OH,276666.0,394.0,O
Mos7575,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,3789880.0,Tellabs,1.0,Mosqjrkdycyygfsljqadgfqoldb,yvntcqjqqmbftwetvbqgclcdbxspvk,U,,1-696-359-4829,0.0,57.0,Albuquerque,United States of America,0.0,New Brunswick,497953.0,658.0,O
czu7576,kpofwgtomgijnm,3874445.0,Phillips-Van Heusen,3.0,czuvw,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,M,,1-352-678-5471,2.0,38.0,Oakland,Canada,1.0,IL,156048.0,348.0,O
Ghr7577,Biflzgcqpqpbahquomftmjffohpwuy,437353.0,Wells Fargo,8.0,Ghrlcuscpesuzsdwqfwwbgh,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,M,,1-906-600-9749,5.0,68.0,Billings,United States of America,1.0,AZ,63617.0,598.0,O
Rwk7578,ybdlwlwxispyswbiegrbsqqtywxr,2669917.0,Vornado Realty Trust,9.0,Rwkdeshuwhwvmvmdnckmuvdt,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,U,,1-093-018-2851,2.0,93.0,Pueblo,United States of America,2.0,NY,244849.0,505.0,O
Uwi7579,Capzcewdt,1466537.0,New York Times,7.0,Uwinnbtdd,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,S,,1-302-096-9321,3.0,48.0,Sherbrooke,United States of America,4.0,WA,123585.0,839.0,R
VXZ7580,XKBLVBCCYKMIXABVTOTVPZCJRII,991860.0,Adobe Systems,2.0,VXZTLDNZPYIFIKTIJRXS,CYQWJKJB,S,,1-915-044-3154,1.0,96.0,Sacramento,United States of America,1.0,GA,391134.0,672.0,U
Ayk7581,wmknfemsztimaphftadowlmbnp,,Valmont Industries,3.0,Aykkkc,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,M,f,1-040-274-3474,5.0,58.0,Charlotte,United States of America,5.0,AZ,426759.0,696.0,O
lho7582,DHLVITRFJDXLTPAGMPMJ,1816368.0,UAL,5.0,lhodktal,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,W,M,1-678-397-2739,3.0,63.0,El Paso,United States of America,5.0,NV,451737.0,448.0,O
rzi7583,Jdpqutldftwykfyhukveiaimoyyk,565246.0,AFLAC,9.0,rziprpcfwnirtuvrbfnuepq,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,S,,1-679-345-9939,1.0,18.0,Mesa,United States of America,2.0,TN,180822.0,549.0,O
Wds7584,Qiwemtdba,1899339.0,VeraSun Energy,0.0,Wdsuorykxmvfxupyyjl,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,W,,1-093-616-0613,2.0,40.0,Simi Valley,United States of America,4.0,AL,205843.0,705.0,O
Xsj7585,JQKEDISZ,3873239.0,Magellan Health Services,6.0,Xsjypvyfoqbiq,ccfzcxohrhrcnypedmhjovjyjrxi,M,M,1-546-131-8988,3.0,29.0,St. Catharines,United States of America,4.0,TX,470985.0,387.0,O
Lux7586,Gfuwa,767547.0,Emcor Group,7.0,Luxkby,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,U,,1-477-186-7432,1.0,21.0,Washington,United States of America,2.0,WV,318225.0,359.0,
wxw7587,CTTUYHUUMMDTX,1027999.0,Peabody Energy,9.0,wxwhwasadsmxchyhlgrvnurte,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,M,f,1-965-848-6954,2.0,41.0,Chula Vista,Canada,2.0,ND,326044.0,494.0,O
pfz7588,Wvtqm,3428495.0,State Farm Insurance Cos.,10.0,pfzjoarqopfjtzjalxxxeq,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,M,m,1-622-866-0937,1.0,56.0,Montpelier,United States of America,1.0,Saskatchewan,,345.0,
hlx7589,xuwgpsvzcpxtoerndtr,1827180.0,Humana,10.0,hlxshqpvshstjerwclb,REHWDWEP,M,M,1-040-217-2014,0.0,33.0,Mesa,United States of America,2.0,VA,187282.0,402.0,O
nyb7590,Hnnzpokbygacjjgybkskf,2070007.0,News Corp.,3.0,nybiaaw,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,M,,1-101-684-2373,0.0,96.0,New Haven,United States of America,2.0,ND,,579.0,O
Ltt7591,qsnivsknktiwjpqwnrlgftnmsrxkjc,,Torchmark,2.0,Lttvvpjjavydrmbt,DIMPFMEBDNHBCT,,,1-386-426-5849,0.0,35.0,Indianapolis,United States of America,2.0,ND,,569.0,O
gsz7592,pygsfvfpeofkdcugfvxdsqgmcgebfp,3596263.0,Rock-Tenn,9.0,gszunimggpyfjzmivbwizzftuen,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,W,,1-598-816-0126,4.0,40.0,Stockton,United States of America,0.0,MS,306946.0,745.0,O
Kwp7593,Zgxsuo,3719999.0,AGCO,1.0,Kwpztgkknktyvdks,DVYTEPWCABNSGPTLJEMPQLTEWM,D,,1-770-379-7700,,10.0,Louisville,,0.0,WY,99663.0,320.0,U
AGM7594,ganifmdaqbltccwbqijtkypcetuq,3058439.0,,4.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,M,,,4.0,59.0,Atlanta,United States of America,2.0,MA,482013.0,591.0,R
Ocn7595,IYCOMORWDFSEKN,2592932.0,United Stationers,10.0,Ocnds,,M,m,1-628-245-6238,0.0,70.0,Milwaukee,United States of America,1.0,AK,180476.0,,U
Cmw7596,vdvdlfz,1471273.0,McCormick,5.0,Cmweamsabhudajyhpsohkpzcy,qlgnszfowrbrkuurrmjrfnfaeulhneecv,M,F,1-813-787-2611,5.0,69.0,Fort Smith,United States of America,4.0,PA,285682.0,417.0,
Dit7597,Sbwymtnwzhffkwjczlsnvrtcv,,National Life Group,8.0,Ditjvpiidkjkvxssfnctzcczb,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,M,,1-362-897-1162,5.0,96.0,Knoxville,United States of America,0.0,MA,455032.0,338.0,R
Rmm7598,qjjwbffbgxilxyarhjwdvo,2410816.0,Hasbro,9.0,Rmmasnivkq,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,S,,1-952-919-4878,,9.0,Idaho Falls,United States of America,3.0,DC,356141.0,340.0,O
