City,LastName,Income,State,Phone,NumberCreditCards,Country,MaritalStatus,AddressLine1,Age,AddressLine2,Gender,OwnOrRentFlag,NumberCars,NetWorth,Employer,PostalCode,NumberChildren,CreditRating,AgencyID,FirstName,MiddleInitial
Greensboro,dgcnbxfhc,210038.0,Saskatchewan,,3.0,United States of America,M,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,72.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,m,O,5.0,490443.0,Interstate Bakeries,NCEVKLQEEWTA,1.0,,dgc7511,Zaijioc,
Concord,lqlslgqsvyfxqnzuwbfg,307402.0,NE,1-268-630-3843,9.0,Canada,M,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,40.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,,O,4.0,3348923.0,eBay,DODDIDDHXS,5.0,318.0,lql7512,Mdwdjpdfmbqjaygkfqzqx,
Colorado Springs,Wskjvrujdwku,,AR,1-915-548-9541,4.0,United States of America,D,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,8.0,ucxdpiwilpxxhv,m,R,4.0,331799.0,Boise,Oqnzttrldq,1.0,613.0,Wsk7513,Ccbccgvldfvoqtzestvkwunn,
Mobile,Ffshsiomkzjonhxjhunfsao,432425.0,IL,1-536-880-0961,4.0,,U,,10.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,,R,4.0,1167013.0,MDU Resources Group,Lwbawk,1.0,786.0,Ffs7514,nyakrhdyxravdnhgbtol,v
Thousand Oaks,Kvvverfkpazpzzkrqniixrhnw,122041.0,VA,1-494-335-6022,10.0,United States of America,U,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,24.0,,,O,0.0,3960216.0,Freescale Semiconductor,Ppsrzjdtg,3.0,,Kvv7515,NDNBTVCLKSC,F
Rochester,mpzqnwnrmaozfsstcqtrc,302205.0,ID,1-814-158-3550,5.0,United States of America,M,,18.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,f,O,1.0,242246.0,Superior Energy Services,,4.0,623.0,mpz7516,Zmstbluqkipzaojfsomtbdddguq,G
Garden Grove,Jhcbaxyzijphmmvpampdgvgisnab,367555.0,TX,1-420-580-0795,1.0,United States of America,S,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,79.0,Havgczldcpfmwfzj,F,O,1.0,1217660.0,Monsanto,,1.0,845.0,Jhc7517,dpqgvuaoijmkxsesvililpxcrwqe,s
Tampa,dbqcukoddoiwg,106025.0,New Brunswick,1-924-305-1666,7.0,United States of America,M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,36.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,M,U,4.0,1229655.0,Newfield Exploration,Rxdsunq,5.0,645.0,dbq7518,IHUGYGSRDWILVOFBAKUR,l
Fullerton,Xchoxlbkffuvox,106690.0,Alberta,1-450-082-2122,1.0,Canada,W,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,21.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,m,O,2.0,1157831.0,Loews,JXHVEEOU,2.0,495.0,Xch7519,aefotdcronamhkzsfpvifmobgchmsp,
Washington,oirfujtvl,29373.0,PA,1-573-009-1404,8.0,Canada,M,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,4.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,m,O,2.0,,Apache,XHJQCDPOO,2.0,371.0,oir7520,jdeyqkerjerjpht,Z
Norfolk,Fqbovz,168189.0,Nova Scotia,1-603-897-9894,1.0,United States of America,S,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,72.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,M,R,2.0,,Robert Half International,rapkjpmvp,3.0,462.0,Fqb7521,Lwihnxoihqqrvjydsijd,O
Sydney,qextfjyytqwbmdrlykbfnhvqrmota,264756.0,RI,1-947-161-6502,7.0,United States of America,S,Dmyivtczopuqajpnjqvvgbhxynvduub,1.0,Rirmrpvlknyho,,U,,3467922.0,Viacom,Slskxm,,375.0,qex7522,nmnervucuk,
Winnipeg,Hpiedhvkedqqdxsoedt,44480.0,OR,1-586-826-9847,10.0,Canada,S,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,98.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,,U,1.0,46859.0,Robert Half International,FXHXLG,2.0,516.0,Hpi7523,hgjkxxbf,
Wilmington,Fjdafgbcrml,87207.0,CA,1-217-243-2668,,Canada,,Esuycdxsjfbrqbtluspxsehk,35.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,R,1.0,2937668.0,CSX,ovlziicdezok,5.0,703.0,Fjd7524,Zangtryzlhmxo,
El Monte,Cgtcmbl,238434.0,MO,1-857-211-5728,7.0,United States of America,W,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,99.0,Rpzwirgfyiw,,O,4.0,2388613.0,Country Financial Services,jsxcpvao,2.0,734.0,Cgt7525,FFJGEQD,
Sterling Heights,Lwxudfgcqawccntqaucdaeym,,Prince Edward Island,1-089-966-6281,4.0,United States of America,M,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,49.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,M,U,0.0,3116283.0,Procter & Gamble,Ykerbceq,2.0,469.0,Lwx7526,Pdcxrihnl,
Pembroke Pines,epyxtfsrijhddstgaxkbgmlayjtk,391354.0,Quebec,,2.0,United States of America,S,vnyndcximwxhecv,72.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,,O,3.0,2671950.0,Ingles Markets,VVMSNWEBT,0.0,595.0,epy7527,Zckhcacwaelzutaodqalxyjrkh,
Philadelphia,Affcha,419165.0,KS,1-231-342-6874,1.0,United States of America,U,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,41.0,Acdrcqabtcdgmgl,m,O,3.0,3899593.0,Forest Laboratories,bibueqwbejem,0.0,410.0,Aff7528,sqrosgqnpifxjx,M
Glendale,mfcestd,396509.0,NV,,10.0,Canada,W,,54.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,,O,3.0,2537332.0,Dentsply International,gehpynlk,2.0,475.0,mfc7529,Erqzkkllazeobgthnmgsbtj,S
El Monte,Slfbmvc,145161.0,TN,1-602-637-1838,2.0,United States of America,,GVSBHGBDDVJFNNOZNNPJWCOI,11.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,R,0.0,733236.0,RadioShack,Piwlxtg,2.0,,Slf7530,Lcziayaozecoqqluasolkmmcldm,S
Warwick,Cxuousxqyrfgjvpvuopyfguqva,263206.0,WY,1-003-982-8627,3.0,United States of America,W,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,0.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,,O,2.0,,Century Aluminum,Ujlshmosjkid,5.0,519.0,Cxu7531,Gcnczmuxviqaxtsdzmzhtro,
Milwaukee,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,190371.0,British Columbia,1-136-358-6852,5.0,United States of America,D,BIQIOQOHLQSTBRUFOI,27.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,,U,3.0,3397276.0,,cwburwnupuj,3.0,841.0,GZO7532,Rsoobsqytvjycob,F
Phoenix,DRWTVTDSG,203968.0,LA,1-123-528-2965,6.0,United States of America,U,Llfaqkbemnoy,95.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,,O,3.0,2444257.0,FPL Group,CNEZMHTKIAEV,1.0,540.0,DRW7533,Pjvadgt,A
Anchorage,setksinlvlrjwnfu,428323.0,HI,1-136-565-2501,10.0,United States of America,U,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,35.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,f,R,1.0,71520.0,Lockheed Martin,kixvppuqtd,3.0,540.0,set7534,GUBKOKITTSKVYM,N
Madison,Pyoixliri,159980.0,NY,1-317-986-1984,6.0,United States of America,M,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,96.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,O,4.0,1911091.0,Sanmina-SCI,jrhynxfi,1.0,,Pyo7535,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,
Fontana,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,266852.0,TX,1-265-603-1262,6.0,Canada,W,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,96.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,M,O,0.0,988775.0,Iron Mountain,dnhtjyu,0.0,424.0,FSH7536,Kuteauo,
Charlotte,Tdxyljuxporjhdumcvfmv,206973.0,AZ,,2.0,United States of America,M,,49.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,R,5.0,3919363.0,OfficeMax,YKOVOTYB,5.0,623.0,Tdx7537,Hkfofpndygljbeo,
Richmond,Sbnxcsrozzcufdoyvckpplofysx,258221.0,ME,1-156-668-6882,4.0,Canada,S,atydogjpqphuwhegtbukkqiaeakrtrn,,XHQNMCEJKXOQYVSZVESLKC,,O,5.0,428918.0,AMR,WNNMWJ,1.0,792.0,Sbn7538,Kengxgsu,O
Santa Clarita,Piqizouhxiw,428508.0,NH,1-164-648-3203,6.0,United States of America,S,Hlotorcbtobuceb,27.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,f,O,4.0,58134.0,Kohl's,Oktkljv,4.0,718.0,Piq7539,Plywuoa,C
Yellow Knife,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,KY,1-839-795-1027,6.0,,M,gsrdigbqfwrahybxrtm,98.0,Toumjfbsumpgfuskpydjeibaxi,M,O,4.0,3703767.0,Cigna,,0.0,401.0,IXD7540,zfcwsxpjzyqelkxg,
Oxnard,wsnjomkxbtybfnmtcjhvmblfwamnwd,58953.0,Prince Edward Island,1-958-412-4252,2.0,United States of America,M,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,R,4.0,433859.0,West,GXFLSISZUY,5.0,557.0,wsn7541,Yxvczhqjwgnhowiu,
Huntington Beach,Jkpmtcj,409682.0,British Columbia,1-392-335-1020,7.0,United States of America,W,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,56.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,M,O,5.0,3002044.0,Monsanto,gzexcrngivl,5.0,393.0,Jkp7542,Grkknjyfgbhtyrhxzeaoeoyirwfa,A
Durham,CCFFVCOHCLUUXZIQTCFCUHEYN,340191.0,CT,1-912-050-7605,10.0,United States of America,M,,94.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,M,,2.0,1124168.0,Reliant Energy,yzoikhwrd,4.0,557.0,CCF7543,Vfrdst,
Naperville,yljvuglvt,238216.0,WA,1-075-551-9919,5.0,United States of America,U,RELJYREDKQEKGOORBLRKOUIC,98.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,,O,4.0,2081541.0,Idearc,Gdbktega,5.0,465.0,ylj7544,Hqcswumjvwbemosmy,
Albuquerque,ZBBXAWVJAAL,113171.0,ND,1-013-611-2674,6.0,Canada,M,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,8.0,hkyochorqgtokxgozmoncalaaiw,F,O,0.0,1897076.0,Neiman Marcus,Kdcqzpvf,1.0,,ZBB7545,Ectbhkmbvwkwdbn,V
Newark,fqekemquvstw,234797.0,ID,1-656-865-7544,10.0,United States of America,W,Yewxbqpnfgh,90.0,Datdnghoiymltcayulgkgxywi,m,,5.0,235172.0,O'Reilly Automotive,Tbwgwtmgcu,,485.0,fqe7546,Bdbgqpllbnrmiirpct,
Miami,Wpwhilrlzng,225322.0,Quebec,1-879-870-7379,2.0,United States of America,M,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,34.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,,,4.0,639573.0,Cliffs Natural Resources,Mwmfs,2.0,303.0,Wpw7547,Ftszluaxcsoxdfbmdd,
London,vpzxgcwljllsq,192689.0,ID,1-366-625-9813,4.0,Canada,W,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,25.0,,,O,1.0,2667082.0,Health Management Associates,goelqgcts,2.0,846.0,vpz7548,Qrdnpjquwnixfocqhsrlkcxmelwijl,
Worcester,Yfzmtcvxc,348685.0,AL,1-359-462-7089,1.0,Canada,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,50.0,,,O,5.0,2598634.0,Chevron,ucwygjzs,4.0,621.0,Yfz7549,Kkiolpmrgzmnjanqc,
Jacksonville,douvwdwiwrxoivzaojazinrhswjv,401229.0,UT,,,United States of America,D,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,85.0,,,O,3.0,1074671.0,Exide Technologies,fjlfqftwg,4.0,331.0,dou7550,unzegilpp,
Nashua,FDJOVRSOCWEIKZ,38597.0,MS,1-153-396-8333,9.0,United States of America,M,hfuyqlsmbesrylepu,60.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,M,R,5.0,2272997.0,Convergys,Tocujgaiaq,4.0,401.0,FDJ7551,xetqkitwlh,
Newport News,ufutrfkevxnbupjcetrpltw,,AK,1-144-623-1308,0.0,United States of America,S,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,95.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,,R,2.0,702000.0,Dominion Resources,kurjmmgixxfd,2.0,644.0,ufu7552,TWRRGULRYKYUWZYBQQFMIFFKVK,
Corona,bbgzmquoeecumw,161204.0,VT,1-269-220-8046,5.0,United States of America,M,qgjnvpwvmgsqzcanzncon,8.0,NBSHKLXYVUUWXEQSGXR,m,R,4.0,1289800.0,Sentry Insurance Group,cnsavindoi,1.0,769.0,bbg7553,Yqfljvgkfucafpjpamdtcppiipc,H
Lincoln,Znkkdbkvxcxeuackyodqlkpl,202650.0,LA,1-052-524-0130,2.0,,M,HNBGLUDIOAJRCCIXGDUQOO,31.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,f,O,3.0,1007390.0,Cintas,MQBSAUVQRPYE,4.0,481.0,Znk7554,mjeasoritwctufyojamzbeeoo,v
Toronto,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,,CT,1-335-871-6660,7.0,Canada,U,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,51.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,F,O,1.0,124290.0,Medtronic,vadbnvz,2.0,732.0,CGQ7555,Udxaujgiratgthwkvdibgvwfo,T
Fayetteville,addxtssyhezwro,492433.0,UT,1-637-394-8083,2.0,United States of America,M,dnlleihfh,24.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,,O,4.0,1820002.0,Pride International,Ljurvnigr,4.0,802.0,add7556,GHFUKZPOKMXWZF,
Charlotte,Anwyusqezrjppzkaevffwljm,344858.0,IN,1-706-795-4208,5.0,Canada,M,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,78.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,,O,2.0,2200347.0,A. Schulman,BQDMQVFTNBRJ,4.0,329.0,Anw7557,ybtkiifyhbgchnuctnhnqspk,J
Tulsa,Hvtanebvipbdd,197290.0,WI,1-622-347-5699,0.0,United States of America,W,Wsjaujjdexc,56.0,nqcozjievwzk,m,R,5.0,3669569.0,Oneok,jkcul,0.0,839.0,Hvt7558,Fhkymmgjsbmpduuffgavhfcxm,
Winston-Salem,Yqjaammjlhgpw,283654.0,WA,1-042-017-9368,,United States of America,U,Ojberg,50.0,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,,,2.0,2140537.0,Danaher,Nelny,,539.0,Yqj7559,DEZDTMSMWKALBRPALCFIME,d
Thousand Oaks,Ztnstwpjxatqveppicohpzilnn,317423.0,LA,1-829-935-5979,4.0,United States of America,M,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,52.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,F,R,4.0,3258909.0,Del Monte Foods,Qsggz,5.0,561.0,Ztn7560,phoxfeiqoldgmnojmzunmargkla,
Lubbock,bnizllrrofn,399126.0,VT,1-076-726-5283,2.0,United States of America,W,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,14.0,Lfrjkyblujmbxigmylpsxieswspmei,F,O,4.0,1825422.0,American Electric Power,Drofa,5.0,814.0,bni7561,Upuabfflh,
Winnipeg,swxorhmdydwbrtdqxroghsddlpbdgi,398180.0,CT,,7.0,United States of America,M,Xwtkpxqgohxwxnv,29.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,,R,5.0,1845263.0,TJX,Ssovhtmt,0.0,305.0,swx7562,owagfolbfwjzeg,
Laredo,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,,RI,1-284-129-5920,4.0,United States of America,S,Qpvmtkxxfef,50.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,f,O,2.0,1463114.0,Philip Morris International,Tnprhljfrlj,4.0,457.0,DSA7563,Qdmppehqxloc,P
Overland Park,BXZUTWBUFSGPPXKR,485429.0,SC,1-128-308-8886,8.0,United States of America,U,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,67.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,,O,4.0,2354683.0,Cincinnati Financial,Bkxujhonjgjk,1.0,349.0,BXZ7564,jqbetxkci,
Calgary,pczqycbwefse,118018.0,British Columbia,1-145-469-5971,0.0,United States of America,M,KRYAIAJGKHBKXBLC,22.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,,O,2.0,436677.0,Stryker,mrjrjhgnwcdu,0.0,590.0,pcz7565,Wsmywgbvwspgdwhmdxsqjwqb,
Peoria,Zqaknviqngvemehvpzrcgkcvre,309693.0,CO,1-727-684-7767,0.0,United States of America,U,,20.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,m,O,5.0,2383335.0,Kansas City Southern,Yusezkfgs,4.0,533.0,Zqa7566,ocgwi,
Durham,Htltlfnvjctvvdvulpkhcbyfi,90718.0,TN,1-776-201-2472,9.0,Canada,W,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,75.0,IBQIDE,,O,4.0,2574739.0,IDT,RKXTQAO,0.0,686.0,Htl7567,Pcotdnngmurhkcd,z
Pueblo,afwafvxxdr,280645.0,CA,1-767-942-1278,10.0,United States of America,U,VBDCWYVK,60.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,F,O,2.0,1596838.0,Vornado Realty Trust,UBQSATXZO,0.0,582.0,afw7568,bvcosqzcleknjzvkygbawlc,L
Las Cruces,Wnakgzhqfhtavtvegjtdmdosnjr,231559.0,WY,1-723-062-7266,0.0,United States of America,S,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,Lrebujnrg,,O,,591965.0,Dollar General,BHRNWQLFVFA,4.0,807.0,Wna7569,ECLENELTSXGTNWOP,
Chula Vista,Mlheqxaigtvjaynkffyqkpu,36898.0,SD,,3.0,United States of America,S,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,48.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,,O,3.0,3071440.0,Safeway,Ktmzav,5.0,819.0,Mlh7570,Xdwexmrjat,
San Diego,Gorjnqxjtefmomsbmtnogaerx,396786.0,British Columbia,1-145-314-0862,5.0,United States of America,M,Gwxymofcy,91.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,,R,2.0,2683081.0,Apache,Nfpchgfj,0.0,311.0,Gor7571,xjwnvwdryqpcehelwzfhkkiuus,
Chicago,ENXOMNHFVPYQSABETPUEKRKCL,344365.0,NJ,1-735-104-7772,3.0,United States of America,U,Qynjnmfgwxpmrw,98.0,Hxutrprq,f,O,2.0,3850483.0,Lowe's,Wuywecohosfi,5.0,734.0,ENX7572,RNBABCYAFMQPBOHXNUXMXNU,
Worcester,fgrdzzudzmwlluff,1205.0,AK,,1.0,United States of America,W,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,51.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,,O,4.0,1870617.0,Lithia Motors,tibxlojrqiha,1.0,432.0,fgr7573,Eyrtrqkljywvbcice,
Honolulu,Yshzkx,276666.0,OH,1-518-116-1411,3.0,United States of America,S,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,22.0,JRHXPUUHAFHDPF,m,O,5.0,1249534.0,CH2M Hill,ogmes,0.0,394.0,Ysh7574,Opybrukftspofebjmspkjsgtobzsp,a
Albuquerque,Mosqjrkdycyygfsljqadgfqoldb,497953.0,New Brunswick,1-696-359-4829,1.0,United States of America,U,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,57.0,yvntcqjqqmbftwetvbqgclcdbxspvk,,O,0.0,3789880.0,Tellabs,JUBKXDKP,0.0,658.0,Mos7575,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,I
