AgencyID,Country,NetWorth,AddressLine2,Phone,Employer,Income,NumberCreditCards,MiddleInitial,OwnOrRentFlag,FirstName,LastName,Gender,AddressLine1,PostalCode,City
CHI16,Canada,2763009.0,,1-432-681-4853,Viacom,499493.0,4.0,,O,jenica,CHILDERHOSE,,7627 douglas road,85097,St. Paul
Din17,United States of America,2787199.0,,,Macy's,266928.0,0.0,,R,KATTIE,Dinnin,,6106 ashland east,V6j 1q8,Bellevue
De 18,United States of America,2789368.0,,1-357-207-6320,Gardner Denver,72444.0,6.0,M,O,Roselle,De witte,,1111 norden street,43207,Detroit
Mck19,United States of America,2784776.0,,1-462-774-1277,Family Dollar Stores,77290.0,8.0,,R,arlyne,Mckeegan,m,2798 1st east,V6t 1q8,Omaha
WIN20,United States of America,288747.0,,1-702-382-2898,,395066.0,,P,R,Rong-chin,WINTERS,M,11358 elle lee street,94467,Costa Mesa
BIT21,United States of America,876575.0,,1-909-554-7120,Sun Microsystems,119283.0,0.0,,O,Darlleen,BITTMAN,,21074 MALLORY LOWER,94321,Berkeley
luz22,United States of America,2041224.0,,1-752-296-7940,Costco Wholesale,330991.0,8.0,V,O,Radoslav,luzarraga,f,16124 weyland park,C2a 4w7,St. Louis
don23,United States of America,2231509.0,,1-995-554-5056,Illinois Tool Works,,5.0,S,U,Aryn,donovan,,23822 marvin crescent,35808,Colorado Springs
Gia24,United States of America,3206409.0,,1-090-303-3807,Southern Union,252031.0,1.0,T,O,Allisan,Giallo,,2203 valita boulevard,M5f 1v6,Fontana
SPR25,United States of America,3850037.0,,1-492-968-0932,Moog,101800.0,9.0,,O,Ammamaria,SPRUELL,M,11538 COLLINWOOD AVENUE,99539,St. Catharines
SKA26,United States of America,528440.0,,1-960-227-2020,Old Republic International,436977.0,7.0,,O,Mari,SKALSKI,F,7818 EAST STREET,95055,Hayward
Gar27,United States of America,597140.0,,1-431-122-8597,,495334.0,0.0,,O,Anica,Gargul,m,10013 shaw road,93686,Palmdale
Dor28,United States of America,146931.0,,1-822-836-7200,Great Plains Energy,274685.0,1.0,,O,Melba,Dore,,6802 AMES STREET,75218,Phoenix
DIO29,United States of America,353495.0,,1-530-117-0497,Broadcom,320820.0,7.0,X,,Tracee,DIOGO,,22501 SUMMIT RUE,91174,Gary
Mer30,Canada,295647.0,,1-051-257-2719,Discover Financial Services,195835.0,1.0,,O,CANADIAN,Merrick,m,291 frances rue,49515,Beaumont
Atc31,United States of America,408941.0,,1-171-989-1363,UAL,108085.0,5.0,R,O,Oue,Atchison,,16264 sanders east,16506,Nashua
Pla32,United States of America,362523.0,,1-042-705-3246,Charles Schwab,260185.0,9.0,X,O,wallie,Plamondon,m,16068 cantey way,94383,San Jose
SEL33,United States of America,2102359.0,,1-098-328-2026,Coach,258323.0,2.0,E,R,Andromache,SELCHOW,F,21170 EDLOE BOULEVARD,T6d 1b3,Nashua
sha34,United States of America,3480265.0,,1-209-754-5635,DaVita,79476.0,2.0,Z,U,THOR,shane,f,885 CROSBY LANE,25339,Fort Smith
MER35,United States of America,3648900.0,,1-498-781-3456,Marshall & Ilsley Corp.,102156.0,3.0,,U,SALAH,MERWIN,,12235 jay street,V6o 1v4,Lancaster
con36,United States of America,1161790.0,,1-615-241-0440,Cablevision Systems,221481.0,2.0,,O,HOR-LAM,conrad,,20340 LOMBARD CRESCENT,01852,Colorado Springs
ons37,United States of America,2050587.0,,1-995-449-5200,Barnes & Noble,41836.0,2.0,,R,Vania,onsiteteam,M,22074 dexter upper,78230,Washington
Sum38,Canada,3579198.0,,1-295-673-4452,EMC,72389.0,0.0,,O,Niel,Summerlin,M,1540 MURIE RUE,93770,Lowell
gro39,United States of America,889494.0,,1-914-675-2986,Fluor,66486.0,2.0,F,O,ziad,grooms,,7075 glen loch drive,m4l 1n4,Frederick
dil40,United States of America,2205682.0,Apt. 382,,Dollar General,200185.0,9.0,I,O,Claude,dilkie,,11237 balmoral way,22335,Mesa
DOL41,United States of America,1140117.0,,1-825-739-0336,Lear,289215.0,10.0,,O,AVTAR,DOLSON,,8316 GARDEN BROOK NORTH,V6C 1T4,Lakewood
Pos42,United States of America,1421319.0,,1-956-713-3802,J.P. Morgan Chase & Co.,322484.0,9.0,,O,Donny,Posthumus,,2240 clifton lower,M6t 1h3,Cleveland
Mac43,United States of America,3525204.0,,1-814-932-1579,Affinia Group Intermediate,83458.0,0.0,,O,Cocos,Machika,,20907 NOTINGHAM LOWER,95263,Grand Rapids
che44,United States of America,468976.0,,1-135-443-7282,,,8.0,,R,ruud,chenoweth,,601 carroll lower,v5b 1p5,Peoria
hol45,United States of America,1685443.0,,1-720-975-0667,Goldman Sachs Group,492407.0,2.0,,O,Belvia,holbrooks,,18267 state drive,32318,Inglewood
pfi46,United States of America,337564.0,,1-871-598-3505,E*Trade Financial,346630.0,2.0,,O,ATHAR,pfieffer,f,9270 LEAF SOUTH,93872,Akron
elk47,Canada,84777.0,,1-607-222-4809,Pfizer,9572.0,0.0,Y,O,Cherey,elkington,,18582 PERIMETER BOULEVARD,92824,Charlottetown
Lab48,United States of America,3146477.0,,1-965-046-0642,Safeway,265369.0,4.0,,O,RAZ,Labenek,F,9612 park stream upper,e4a 1r2,Bellevue
laf49,United States of America,495277.0,,1-155-441-3579,Simon Property Group,104172.0,0.0,Y,U,kishore,laferriere,,2803 clearwater north,H7G 1V4,Dover
Nor50,United States of America,746904.0,,,Trinity Industries,65550.0,0.0,I,O,Nelleke,Norment,,11103 BISSONNET WEST,85039,Fullerton
hag51,Canada,1219620.0,,1-544-132-7237,Solutia,,8.0,,R,sibby,hagar,,4652 outervale lane,v6m 1q3,Denver
Bet52,United States of America,1718910.0,,1-821-089-2089,,,4.0,,O,ericha,Betcher,m,341 dunbar west,X7j 1r1,Dallas
Van53,United States of America,,,1-135-391-9787,A.O. Smith,66244.0,8.0,,O,Janson,Van der,m,16176 vernon drive,B8b 1z5,San Jose
O'L54,United States of America,2636424.0,,1-776-182-6215,AptarGroup,426954.0,9.0,,U,Dorotea,O'LEARY,F,23131 clint way,t5d 1v4,Bellevue
and55,United States of America,1326305.0,,1-079-780-7761,Coca-Cola,126891.0,0.0,,O,Denice,anderson,m,11640 baltic upper,V6t 1r2,San Buenaventura
sta56,Canada,2241997.0,,1-504-346-4393,Kimberly-Clark,454196.0,,,O,Myron,starks,,20796 dolores drive,91177,St. Louis
CHA57,United States of America,1542891.0,Apt. 275,1-985-538-4351,Visteon,163940.0,0.0,,R,Barby,CHASSE,,14359 COMMERCE WEST,T5c 1t1,Pueblo
ASI58,Canada,797918.0,,1-254-097-9398,TECO Energy,365213.0,,,O,Ariella,ASING,R,21448 hampton boulevard,35862,Regina
ask59,United States of America,347654.0,,1-545-924-9552,Bemis,428739.0,6.0,,U,ADEY,askins,f,7637 pershing way,96820,Saskatoon
Kik60,United States of America,2456397.0,,1-984-233-8818,Wyeth,142444.0,8.0,K,O,GAYEL,Kikuta,,11529 arcana boulevard,75238,Jackson
Cha61,United States of America,1284229.0,,1-528-691-1642,United Technologies,416168.0,10.0,,O,Man,Chane,F,2700 windwood north,85769,St. Petersburg
KIL62,United States of America,618787.0,,,Clorox,291420.0,3.0,U,O,Klara,KILLEN,m,22279 gramercy road,H5i 1o9,Scottsdale
kin63,United States of America,1171606.0,,1-171-807-8213,Discovery Communications,413501.0,6.0,,O,Abdalla,kinley,f,9828 west east,90849,Charlotte
MAL64,United States of America,3983261.0,,1-056-241-7009,Williams-Sonoma,,1.0,,O,bal,MALAHER,,5935 mcafee park,43644,Waterbury
Odu65,United States of America,2328568.0,,1-389-414-0570,Manitowoc,419143.0,0.0,J,O,Romy,Odum,,12460 CLAYTON STREET,99213,Chesapeake
DI 66,United States of America,2078600.0,,1-583-542-1656,Henry Schein,155057.0,3.0,,O,KORAL,DI NINNO,,275 3rd drive,72226,Hialeah
STU67,United States of America,2986155.0,,1-269-712-0672,Trinity Industries,313859.0,3.0,K,O,YUKIHIKO,STUBBLEFIELD,,6907 FERNCLIFF CRESCENT,V6Z 1Q9,Charleston
HAM68,United States of America,1864039.0,,1-670-102-0463,Pepsi Bottling,265907.0,10.0,,O,Khanh,HAMBALI,,885 crosby lane,20082,Salem
LIB69,Canada,1293721.0,,1-699-726-3895,UGI,283481.0,9.0,,O,Darnell,LIBRARIAN,m,2344 kalani west,35827,Sacramento
ohs70,United States of America,3850114.0,,1-640-666-2876,Greif,200635.0,7.0,,R,feridoun,ohsone,M,22870 LA CIENEGA STREET,99692,Santa Clarita
HUM71,United States of America,1618743.0,APT. 143,1-540-639-1311,Equifax,434519.0,3.0,O,O,Magdy,HUMMEL,,8478 green avenue,V6c 1q5,Sherbrooke
BRA72,United States of America,3383487.0,,1-285-874-8492,,392315.0,9.0,,O,jiri,BRADD,,23639 purdue rue,80158,Colorado Springs
Boa73,United States of America,2981876.0,,1-121-904-0040,Freescale Semiconductor,493829.0,,X,O,AILA,Boarder,,19202 ansley park,t6d 1b6,Berkeley
Mcn74,United States of America,2109339.0,,1-017-842-3201,Aleris International,97489.0,7.0,,O,Vincenzo,Mcnally,,11319 devonshire rue,33120,San Buenaventura
MAR75,United States of America,791803.0,,1-215-859-3206,,,4.0,,O,Minnnie,MARKOVICH,F,23665 deerwood park,99742,New Haven
Wil76,United States of America,3523678.0,,1-764-520-7470,World Fuel Services,383046.0,7.0,,O,alfonzo,Willekes,f,4855 union north,V6N 1T1,Shreveport
Dea77,United States of America,1681902.0,,1-414-130-0162,R.R. Donnelley & Sons,1190.0,0.0,S,,Swandi,Deacetis,m,9466 SHADOWBRIAR WEST,44104,Lansing
Hou78,United States of America,3851455.0,,1-970-240-9990,Brinker International,85733.0,7.0,,O,Anya,Houk,,3504 regency avenue,14605,Pembroke Pines
Goy79,Canada,2339382.0,,1-408-684-6459,Temple-Inland,387890.0,9.0,,R,Enrika,Goyette,,7281 northland lower,80076,Palmdale
Mok80,United States of America,,,1-330-353-5908,Psychiatric Solutions,16808.0,7.0,Z,O,SONJA,Mok-fung,f,12481 hayden lower,V6I 1V6,Savannah
Run81,United States of America,2065016.0,,1-766-726-2675,Nash-Finch,304589.0,10.0,I,,Liem,Rundle,,2328 gracie avenue,97307,Amarillo
BEL82,United States of America,2454049.0,,1-938-425-7509,AMR,48506.0,9.0,,R,COLLETTE,BELLEY,o,4737 campbell street,46237,Anchorage
BAE83,United States of America,2423395.0,,1-527-308-8874,Spartan Stores,,4.0,Y,O,SIAMACK,BAER,,2401 stratmore lower,V6B 1S6,Louisville
MAU84,United States of America,1342045.0,,1-810-590-0635,Cigna,358862.0,4.0,,O,Toshihiro,MAULDIN,f,21477 JUNIPER CRESCENT,H2d 1x1,Hilo
Koo85,United States of America,861756.0,,1-274-548-2512,General Cable,477614.0,5.0,,O,Casey,Koohgoli,,19214 YAUPON BOULEVARD,95108,Sudbury
Lau86,United States of America,1215349.0,,1-649-754-4601,Dun & Bradstreet,175414.0,3.0,,O,Daryn,Lauriston,,7785 rusk boulevard,80050,Orlando
Man87,Canada,3981554.0,,1-905-932-1785,Casey's General Stores,427598.0,7.0,L,O,Adrianna,Mangum,F,18002 cantrell upper,90122,Missoula
PIE88,United States of America,3865937.0,,1-031-004-7697,Jack in the Box,368207.0,9.0,,O,Cortney,PIERCY,,23341 brookside upper,43614,Abilene
Bus89,United States of America,2804700.0,,1-994-812-4796,Assurant,449944.0,6.0,,O,Duane,Buscaglia,M,20494 ROSS WEST,61110,Saskatoon
BAB90,United States of America,3283558.0,,1-176-513-4041,Psychiatric Solutions,166247.0,4.0,,U,Tele,BABIONE,,17552 SAVANNAH NORTH,70174,Irvine
Bur91,United States of America,450524.0,APT. 373,1-072-244-6337,Danaher,391165.0,2.0,,O,Ophelia,Burkard,M,4462 pace crescent,90324,Reno
Kin92,United States of America,,,1-924-669-9328,Clorox,165854.0,3.0,,R,lorine,Kinsella,,7161 tallowood upper,s7d 1n1,Sacramento
POM93,United States of America,,,1-598-488-3541,Boyd Gaming,326181.0,8.0,,O,Viole,POMMAINVILLE,,3489 silver sage west,93829,Topeka
BOA94,United States of America,633760.0,,1-295-539-3868,Eaton,173387.0,,,O,Nani,BOATWRIGHT,M,12481 hayden lower,89116,Rancho Cucamonga
Ron95,United States of America,3634954.0,,1-554-020-0267,Dynegy,301127.0,,R,R,cherey,Ronald,,13210 3RD DRIVE,94315,Hilo
wei96,United States of America,799268.0,,1-793-621-4566,AmeriCredit,487230.0,4.0,A,R,Redgie,weihs,,8899 starling lane,T5b 1u9,Saint John
Hel97,Canada,39093.0,,1-787-267-4261,SLM,425747.0,6.0,P,R,Yousef,Helpb,M,11480 fennel south,T6b 1a5,Torrance
mog98,United States of America,2705353.0,,1-668-247-1597,NV Energy,401946.0,3.0,,O,Damaris,moghe,m,7266 cherry upper,60699,Santa Clara
boz99,United States of America,3565153.0,,1-901-346-8890,Landstar System,425422.0,4.0,,O,Ilyssa,bozicevich,,10678 ENGLEWOOD WEST,V6p 1s8,Torrance
Zah100,United States of America,2832204.0,,1-451-273-3803,Pacific Life,208890.0,5.0,R,O,Moselle,Zaharychuk,,21181 2ND RUE,v6i 1p1,Stockton
And101,United States of America,2194345.0,,1-129-499-9136,Textron,67880.0,10.0,,O,Dulsea,Andric,F,22963 hanover road,79423,Paterson
Bam102,Canada,3737140.0,,1-899-319-0772,Pfizer,133412.0,5.0,L,O,Lyndsie,Bamfo,,8268 cliffbrook boulevard,H5j 1o6,Mesa
fro103,United States of America,464753.0,,1-053-396-0441,Cigna,144829.0,8.0,,O,KESLEY,frondozo,,5118 montview court,93761,Anchorage
Car104,United States of America,596696.0,,1-239-665-9540,Ameren,,,J,U,LAUREL,Caron,,17442 tallowood upper,76150,Miami
muc105,Canada,1504753.0,,1-605-888-3403,Consolidated Edison,143682.0,2.0,V,O,Steen,muchow,f,4038 WEDGEWOOD STREET,99717,Great Falls
gat106,United States of America,3049281.0,,1-630-604-2543,Occidental Petroleum,350020.0,10.0,,O,noel,gateau,,20334 anaconda avenue,60608,Erie
Sch107,United States of America,247478.0,,1-851-862-7928,Sherwin-Williams,435103.0,10.0,M,O,Tracey,Schaefer,F,5385 young west,v6w 1u4,Hollywood
pom108,United States of America,2750301.0,,1-065-415-5724,Affiliated Computer Services,207768.0,3.0,,R,Sarajane,pomerleau,,2747 SINCLAIR LANE,T5b 1t6,Tulsa
cuc109,United States of America,721333.0,,1-408-512-1007,Valassis Communications,407512.0,1.0,K,O,Geoffrey,cucuzzella,F,8622 BROWNWAY PARK,23298,Tucson
SUG110,United States of America,669440.0,,1-083-902-4184,,403366.0,1.0,Z,O,loralyn,SUGARMAN,q,18048 GREEN NORTH,32803,Anchorage
Pep111,Canada,2473979.0,,1-568-403-7081,Smithfield Foods,384095.0,,,O,andrei,Pepe,,18994 country boulevard,64122,Sandy
Cha112,United States of America,3545170.0,SUITE 7,1-824-389-0618,,288969.0,,,,javad,Chandrashekar,f,16063 ashland road,T6b 1h2,Boston
SEI113,United States of America,1494871.0,Apt. 971,1-174-210-2058,TD Ameritrade,233665.0,6.0,U,O,Karna,SEIFERS,m,19309 mcfarlin north,22222,Vancouver
GAR114,Canada,436164.0,,1-425-503-7952,Comerica,147236.0,1.0,S,U,Jocelyn,GARTLEY,F,2454 cliffbrook west,T6a 1d2,Akron
Tou115,United States of America,1069481.0,,1-012-389-9089,Steel Dynamics,452557.0,1.0,,O,Elvera,Touchette,M,15865 strand west,v5d 1n9,Lancaster
Kur116,United States of America,,,1-909-472-6704,Coca-Cola Enterprises,179305.0,9.0,V,R,Nessy,Kurdziel,M,13776 east boulevard,23321,Concord
Her117,Canada,2957261.0,,1-622-167-5411,News Corp.,205817.0,2.0,,O,lona,Herod,,10570 WEIZMANN LOWER,90505,Chesapeake
MCV118,United States of America,228459.0,,1-164-511-9338,,262711.0,1.0,P,O,RHEA,MCVICAR,,15278 walnut hill road,19066,Flint
LAB119,Canada,67267.0,,1-804-532-9163,Stater Bros. Holdings,84810.0,6.0,,O,Josefa,LABFIVE,F,23007 WAKEFOREST WAY,v6s 1r3,Chattanooga
but120,United States of America,1087978.0,,1-197-370-0297,BorgWarner,96441.0,2.0,,O,alikee,butta,,9088 rivas way,78769,Billings
Pro121,United States of America,3885967.0,,1-337-042-5687,CB Richard Ellis Group,462762.0,2.0,,O,dolorita,Projects,m,18798 ullrich road,53769,Scottsdale
Irc122,United States of America,3271101.0,,1-056-138-5321,Zimmer Holdings,141890.0,4.0,,O,Marilyn,Irc,,18517 HULEN LOWER,H7E 1U6,Oshawa
Ziv123,Canada,,,1-776-191-2031,Mohawk Industries,156610.0,2.0,G,O,robertson,Zivkovic,,11474 dodd lane,e7o 1k1,Naperville
sim124,United States of America,1999133.0,,1-280-696-2706,Berkshire Hathaway,164752.0,1.0,H,R,Ilsa,simser,,9375 wood south,90374,Tampa
kei125,United States of America,1100786.0,,1-857-581-6346,Saks,278949.0,2.0,I,O,Pen,keifer,,20479 wise avenue,63169,Jackson
arv126,United States of America,563992.0,,,Gardner Denver,,8.0,P,O,AUBRETTE,arvin,f,19918 ROGERS NORTH,16515,Hay River
Pra127,United States of America,962397.0,,1-716-343-0884,Hasbro,463736.0,7.0,,O,Cole,Praeuner,F,9284 coffey lower,85309,Irvine
lue128,United States of America,1064169.0,,1-101-776-2496,CBS,,5.0,C,O,liva,lue,m,2929 north crescent,92158,Idaho Falls
Prz129,United States of America,2100059.0,,1-769-028-0589,Synnex,86667.0,3.0,,O,Ayaz,Przybycien,f,15404 queen street,33152,Moreno Valley
pen130,United States of America,99025.0,,1-005-833-8970,Belden,193470.0,10.0,J,O,YETTY,penn,f,1619 greenspoint road,83729,Ontario
Gua131,United States of America,3865481.0,,1-884-215-4243,Broadcom,406379.0,10.0,S,R,Mary-michelle,Guay,,21477 WARREN PARK,B8b 1z6,Concord
bre132,Canada,804544.0,,,Reynolds American,480595.0,7.0,,U,agretha,brennand,F,6503 ROBBINS STREET,53717,Phoenix
Sav133,United States of America,3143356.0,,1-725-177-7815,Wells Fargo,181718.0,7.0,X,O,LOTTY,Savanh,f,3958 GLEN LOCH BOULEVARD,t5c 1w7,Coral Springs
ABB134,United States of America,,,1-277-496-5396,Retail Ventures,468310.0,2.0,Z,O,Kassey,ABBATANTUONO,,13640 ethridge lower,37245,Oxnard
OP135,United States of America,2311953.0,,1-756-463-2201,AT&T,354987.0,2.0,N,O,Adria,OP,M,3981 imperial lower,94401,Brownsville
Mer136,Canada,3120608.0,,1-261-338-7463,Wynn Resorts,284539.0,3.0,,O,audivox,Mersinger,,13210 3rd drive,B8a 1y3,Memphis
rut137,United States of America,2058270.0,,1-811-086-4675,Eastman Kodak,213725.0,7.0,,O,SUE,rutt,F,9297 THROCKMORTON SOUTH,t6b 1k2,Flint
bem138,United States of America,1511983.0,,1-338-771-1185,Aramark,74195.0,,I,O,Lorenza,bemis,,8935 YOUNG UPPER,85306,Lafayette
Pen139,United States of America,439080.0,,1-554-231-5318,ENSCO International,169295.0,,,O,Enzo,Pennington,,3797 RUTGERS PARK,V6R 1R7,Greensboro
tor140,United States of America,921255.0,,1-733-886-5227,Auto-Owners Insurance,307832.0,5.0,Y,R,claudina,torok,M,8285 tamarind crescent,68513,Sterling Heights
law141,United States of America,3810365.0,,1-267-357-1943,Bemis,20397.0,2.0,L,O,Otha,lawlis,m,20025 routh crescent,v6n 1v9,Costa Mesa
Bee142,United States of America,2641938.0,Suite 397,1-602-756-7919,Securian Financial Group,463094.0,6.0,D,O,Rodie,Beebe,m,4144 LAKE PARK LANE,83702,Houston
sch143,United States of America,3857323.0,,1-793-864-7010,Ford Motor,331900.0,7.0,,O,DULCE,schlange,m,3375 sakowitz lane,80125,Bakersfield
Wit144,United States of America,1636212.0,,1-637-020-2921,ConAgra Foods,8421.0,0.0,,U,Win,Witchlow,,7255 berry way,M5G 1Y7,Chesapeake
MER145,United States of America,2999082.0,,1-428-797-6325,Charter Communications,35780.0,3.0,Q,,Roselin,MEREDITH,F,3131 WATHAN SOUTH,80213,Sandy
bia146,United States of America,2280820.0,,1-011-549-5618,Calpine,139897.0,4.0,,R,Malanie,bialkenius,m,18440 RYAN NORTH,60737,Lewiston
Swi147,United States of America,1050866.0,SUITE 464,1-993-255-5481,Crane,414119.0,0.0,P,O,TARYN,Swiat,m,13222 glen loch road,90510,Elizabeth
bul148,United States of America,,,1-487-749-4448,Textron,234035.0,3.0,,O,MALENA,bullinger,,7889 MURRAY WAY,92882,Sudbury
TYR149,Canada,603001.0,,1-192-352-2184,Idearc,144405.0,6.0,,O,Dorie,TYRRELL,F,7527 whale drive,98121,Austin
Fyf150,United States of America,3368239.0,,1-293-442-4224,Cabela's,55441.0,3.0,,R,Liese,Fyfe,,17788 eagle trace park,H2e 1x9,Salinas
Sic151,United States of America,1042629.0,,1-078-502-6700,EOG Resources,392869.0,10.0,,O,tele,Sicard,,7661 GRANT WAY,23503,Peoria
CAS152,United States of America,1948746.0,,1-430-909-3001,,402416.0,8.0,,O,astra,CASTEN,F,4806 crystal hills street,40208,Sydney
Cho153,United States of America,3113862.0,,1-392-455-0895,Burlington Coat Factory,89984.0,10.0,S,O,marnia,Choy,,4211 WILLS NORTH,75201,San Antonio
CHA154,United States of America,2777290.0,,1-273-921-9787,Southwest Airlines,395773.0,3.0,,O,AMY,CHACKO,,7524 linberg north,93852,Oklahoma City
bei155,United States of America,2210073.0,,1-012-993-4538,RPM International,126662.0,6.0,E,R,HAMILTON,beil,f,14266 lemming south,32312,Miami
Ele156,United States of America,1999684.0,,1-890-859-4211,Amazon.com,132008.0,7.0,J,O,Kuldip,Eleftheriou,m,1427 ADDAX LANE,90059,Yonkers
o'g157,United States of America,2119678.0,,1-080-032-3031,Neiman Marcus,417218.0,2.0,,O,krystalle,o'grady,F,1625 fernando court,77006,Columbia
Kat158,United States of America,169808.0,,1-561-620-7173,Goldman Sachs Group,360063.0,5.0,,O,Stella,Katchmar,,335 floresta north,23224,Lubbock
Lui159,United States of America,1072732.0,,1-017-439-0362,Boeing,100516.0,6.0,O,O,Marie-josee,Luin,,22806 garson east,10055,Chattanooga
Kla160,United States of America,2261442.0,,1-248-539-6621,United Refining,16814.0,7.0,,O,Nashib,Klavkalns,f,5524 vermack street,35830,Fargo
Bru161,United States of America,2234368.0,,1-611-789-5569,D.R. Horton,,1.0,Z,U,Annette,Brunsting,,18105 electra street,v6m 1s9,Omaha
Apt162,United States of America,575288.0,,1-023-151-8130,Jarden,315962.0,6.0,Q,O,LENA,Apter,,719 holman court,22304,Yonkers
sch163,United States of America,1102479.0,,1-005-574-3523,Systemax,299268.0,9.0,,R,Christian,schuette,f,23553 MEMORIAL RUE,06101,Spokane
Lan164,United States of America,2995388.0,,1-550-487-1571,Marriott International,301490.0,4.0,,O,Morrie,Lanava,,16759 park avenue,78756,Tulsa
Fus165,United States of America,1147193.0,,1-280-494-1415,Expeditors International,36052.0,8.0,,O,LYMAN,Fusca,F,12296 WILLIAMS LOWER,93003,Garden Grove
Nev166,United States of America,1136540.0,,1-803-438-4141,Great Plains Energy,437483.0,2.0,R,U,REUBEN,Nevardauskis,F,9625 ALLEN BOULEVARD,T5D 1P2,Fort Lauderdale
SHA167,Canada,1677669.0,,1-566-299-2351,Danaher,152971.0,6.0,,O,Hermon,SHACKLEFORD,f,10340 jarvis road,10108,Philadelphia
Sau168,Canada,2160706.0,,1-586-363-4189,,449495.0,8.0,P,O,Paqs,Sauck,,13143 goodwin lane,t5c 1l3,Sydney
fri169,United States of America,2525665.0,,1-505-124-9029,Watson Wyatt Worldwide,349827.0,5.0,,O,GAETAN,frischknecht,,7160 BEATTY RUE,M5B 1Z8,Waterbury
fer170,United States of America,3517622.0,,1-897-996-9812,Yahoo,9562.0,0.0,O,R,leese,fernandez,,22679 chimney rock west,V6H 1W2,Tacoma
LAN171,United States of America,,,1-922-919-5858,Convergys,24514.0,7.0,,,Amelie,LANDERS,M,6769 pasadena upper,90308,Charlottetown
Bha172,Canada,97675.0,,1-326-572-2988,Celanese,407985.0,9.0,,R,TAMRA,Bhasin,,20622 MCAFEE COURT,M5e 1y2,Independence
Jor173,United States of America,,,1-076-972-4311,Dana Holding,,,,O,bang,Jordan,M,10526 LINWOOD LANE,80029,Escondido
KNU174,United States of America,3569070.0,,1-341-595-8408,XTO Energy,257897.0,5.0,,O,HILDEGARDE,KNUDSEN,F,21088 vessey crescent,30350,Lansing
Ham175,United States of America,1507616.0,,,Alliance Data Systems,261143.0,0.0,,O,Carmody,Hamelin,F,10884 ryan avenue,97240,Anaheim
MAU176,United States of America,514151.0,,1-536-952-5040,Franklin Resources,110615.0,10.0,,R,Dareen,MAUER,,1481 gale court,R3A 1M1,Glendale
Rez177,United States of America,2903408.0,Apt. 426,1-663-917-0422,Fidelity National Financial,407799.0,8.0,,U,WEN,Rezansoff,F,18390 martins east,73172,Chula Vista
Koa178,Canada,1695814.0,,1-843-773-1791,FirstEnergy,195242.0,1.0,,O,MOT,Koa,,23208 porter crescent,V6s 1p9,Orlando
HAN179,United States of America,868465.0,,1-823-567-1252,Commercial Metals,315490.0,5.0,B,O,leese,HANNEMAN,m,17026 durand north,90140,Cleveland
