Age,MaritalStatus,NumberCreditCards,Phone,PostalCode,AgencyID,NetWorth,LastName,OwnOrRentFlag,MiddleInitial,NumberCars,Country,Gender,CreditRating,Income,City,AddressLine2,Employer,AddressLine1,NumberChildren,State,FirstName
54.0,M,4.0,1-432-681-4853,85097,CHI16,2763009.0,CHILDERHOSE,O,,5.0,Canada,,817.0,499493.0,St. Paul,,Viacom,7627 douglas road,4.0,TN,jenica
87.0,M,0.0,,V6j 1q8,Din17,2787199.0,Dinnin,R,,5.0,United States of America,,441.0,266928.0,Bellevue,,Macy's,6106 ashland east,4.0,OK,KATTIE
85.0,M,6.0,1-357-207-6320,43207,De 18,2789368.0,De witte,O,M,2.0,United States of America,,848.0,72444.0,Detroit,,Gardner Denver,1111 norden street,3.0,Ontario,Roselle
86.0,U,8.0,1-462-774-1277,V6t 1q8,Mck19,2784776.0,Mckeegan,R,,3.0,United States of America,m,843.0,77290.0,Omaha,,Family Dollar Stores,2798 1st east,3.0,KY,arlyne
59.0,U,,1-702-382-2898,94467,WIN20,288747.0,WINTERS,R,P,2.0,United States of America,M,,395066.0,Costa Mesa,,,11358 elle lee street,0.0,PA,Rong-chin
94.0,U,0.0,1-909-554-7120,94321,BIT21,876575.0,BITTMAN,O,,5.0,United States of America,,300.0,119283.0,Berkeley,,Sun Microsystems,21074 MALLORY LOWER,3.0,MD,Darlleen
,U,8.0,1-752-296-7940,C2a 4w7,luz22,2041224.0,luzarraga,O,V,1.0,United States of America,f,795.0,330991.0,St. Louis,,Costco Wholesale,16124 weyland park,1.0,TX,Radoslav
5.0,,5.0,1-995-554-5056,35808,don23,2231509.0,donovan,U,S,4.0,United States of America,,367.0,,Colorado Springs,,Illinois Tool Works,23822 marvin crescent,0.0,IN,Aryn
23.0,M,1.0,1-090-303-3807,M5f 1v6,Gia24,3206409.0,Giallo,O,T,1.0,United States of America,,507.0,252031.0,Fontana,,Southern Union,2203 valita boulevard,5.0,MD,Allisan
61.0,M,9.0,1-492-968-0932,99539,SPR25,3850037.0,SPRUELL,O,,3.0,United States of America,M,362.0,101800.0,St. Catharines,,Moog,11538 COLLINWOOD AVENUE,1.0,KY,Ammamaria
,D,7.0,1-960-227-2020,95055,SKA26,528440.0,SKALSKI,O,,0.0,United States of America,F,527.0,436977.0,Hayward,,Old Republic International,7818 EAST STREET,1.0,CA,Mari
51.0,S,0.0,1-431-122-8597,93686,Gar27,597140.0,Gargul,O,,0.0,United States of America,m,354.0,495334.0,Palmdale,,,10013 shaw road,,FL,Anica
97.0,M,1.0,1-822-836-7200,75218,Dor28,146931.0,Dore,O,,1.0,United States of America,,511.0,274685.0,Phoenix,,Great Plains Energy,6802 AMES STREET,1.0,Newfoundland,Melba
52.0,,7.0,1-530-117-0497,91174,DIO29,353495.0,DIOGO,,X,2.0,United States of America,,412.0,320820.0,Gary,,Broadcom,22501 SUMMIT RUE,2.0,TX,Tracee
98.0,S,1.0,1-051-257-2719,49515,Mer30,295647.0,Merrick,O,,4.0,Canada,m,583.0,195835.0,Beaumont,,Discover Financial Services,291 frances rue,0.0,WA,CANADIAN
47.0,U,5.0,1-171-989-1363,16506,Atc31,408941.0,Atchison,O,R,5.0,United States of America,,710.0,108085.0,Nashua,,UAL,16264 sanders east,3.0,MN,Oue
47.0,M,9.0,1-042-705-3246,94383,Pla32,362523.0,Plamondon,O,X,2.0,United States of America,m,380.0,260185.0,San Jose,,Charles Schwab,16068 cantey way,1.0,WY,wallie
9.0,M,2.0,1-098-328-2026,T6d 1b3,SEL33,2102359.0,SELCHOW,R,E,0.0,United States of America,F,796.0,258323.0,Nashua,,Coach,21170 EDLOE BOULEVARD,0.0,NY,Andromache
85.0,M,2.0,1-209-754-5635,25339,sha34,3480265.0,shane,U,Z,1.0,United States of America,f,818.0,79476.0,Fort Smith,,DaVita,885 CROSBY LANE,3.0,SC,THOR
81.0,M,3.0,1-498-781-3456,V6o 1v4,MER35,3648900.0,MERWIN,U,,5.0,United States of America,,766.0,102156.0,Lancaster,,Marshall & Ilsley Corp.,12235 jay street,3.0,MS,SALAH
0.0,M,2.0,1-615-241-0440,01852,con36,1161790.0,conrad,O,,2.0,United States of America,,359.0,221481.0,Colorado Springs,,Cablevision Systems,20340 LOMBARD CRESCENT,3.0,UT,HOR-LAM
28.0,S,2.0,1-995-449-5200,78230,ons37,2050587.0,onsiteteam,R,,1.0,United States of America,M,401.0,41836.0,Washington,,Barnes & Noble,22074 dexter upper,5.0,PA,Vania
65.0,U,0.0,1-295-673-4452,93770,Sum38,3579198.0,Summerlin,O,,1.0,Canada,M,609.0,72389.0,Lowell,,EMC,1540 MURIE RUE,1.0,OK,Niel
20.0,S,2.0,1-914-675-2986,m4l 1n4,gro39,889494.0,grooms,O,F,3.0,United States of America,,630.0,66486.0,Frederick,,Fluor,7075 glen loch drive,0.0,WY,ziad
55.0,M,9.0,,22335,dil40,2205682.0,dilkie,O,I,3.0,United States of America,,671.0,200185.0,Mesa,Apt. 382,Dollar General,11237 balmoral way,1.0,RI,Claude
76.0,U,10.0,1-825-739-0336,V6C 1T4,DOL41,1140117.0,DOLSON,O,,0.0,United States of America,,715.0,289215.0,Lakewood,,Lear,8316 GARDEN BROOK NORTH,2.0,HI,AVTAR
1.0,M,9.0,1-956-713-3802,M6t 1h3,Pos42,1421319.0,Posthumus,O,,4.0,United States of America,,707.0,322484.0,Cleveland,,J.P. Morgan Chase & Co.,2240 clifton lower,1.0,VA,Donny
3.0,M,0.0,1-814-932-1579,95263,Mac43,3525204.0,Machika,O,,4.0,United States of America,,329.0,83458.0,Grand Rapids,,Affinia Group Intermediate,20907 NOTINGHAM LOWER,2.0,OK,Cocos
100.0,D,8.0,1-135-443-7282,v5b 1p5,che44,468976.0,chenoweth,R,,0.0,United States of America,,601.0,,Peoria,,,601 carroll lower,3.0,Prince Edward Island,ruud
81.0,W,2.0,1-720-975-0667,32318,hol45,1685443.0,holbrooks,O,,5.0,United States of America,,623.0,492407.0,Inglewood,,Goldman Sachs Group,18267 state drive,1.0,SD,Belvia
76.0,S,2.0,1-871-598-3505,93872,pfi46,337564.0,pfieffer,O,,4.0,United States of America,f,376.0,346630.0,Akron,,E*Trade Financial,9270 LEAF SOUTH,4.0,OH,ATHAR
51.0,W,0.0,1-607-222-4809,92824,elk47,84777.0,elkington,O,Y,1.0,Canada,,560.0,9572.0,Charlottetown,,Pfizer,18582 PERIMETER BOULEVARD,3.0,MA,Cherey
,,4.0,1-965-046-0642,e4a 1r2,Lab48,3146477.0,Labenek,O,,1.0,United States of America,F,693.0,265369.0,Bellevue,,Safeway,9612 park stream upper,5.0,MD,RAZ
58.0,S,0.0,1-155-441-3579,H7G 1V4,laf49,495277.0,laferriere,U,Y,1.0,United States of America,,346.0,104172.0,Dover,,Simon Property Group,2803 clearwater north,2.0,Saskatchewan,kishore
52.0,M,0.0,,85039,Nor50,746904.0,Norment,O,I,0.0,United States of America,,342.0,65550.0,Fullerton,,Trinity Industries,11103 BISSONNET WEST,3.0,WA,Nelleke
91.0,M,8.0,1-544-132-7237,v6m 1q3,hag51,1219620.0,hagar,R,,2.0,Canada,,563.0,,Denver,,Solutia,4652 outervale lane,0.0,OH,sibby
17.0,M,4.0,1-821-089-2089,X7j 1r1,Bet52,1718910.0,Betcher,O,,2.0,United States of America,m,391.0,,Dallas,,,341 dunbar west,3.0,WY,ericha
6.0,S,8.0,1-135-391-9787,B8b 1z5,Van53,,Van der,O,,4.0,United States of America,m,381.0,66244.0,San Jose,,A.O. Smith,16176 vernon drive,4.0,NJ,Janson
89.0,S,9.0,1-776-182-6215,t5d 1v4,O'L54,2636424.0,O'LEARY,U,,0.0,United States of America,F,539.0,426954.0,Bellevue,,AptarGroup,23131 clint way,3.0,ND,Dorotea
99.0,M,0.0,1-079-780-7761,V6t 1r2,and55,1326305.0,anderson,O,,5.0,United States of America,m,497.0,126891.0,San Buenaventura,,Coca-Cola,11640 baltic upper,4.0,NC,Denice
77.0,M,,1-504-346-4393,91177,sta56,2241997.0,starks,O,,4.0,Canada,,661.0,454196.0,St. Louis,,Kimberly-Clark,20796 dolores drive,2.0,WV,Myron
,S,0.0,1-985-538-4351,T5c 1t1,CHA57,1542891.0,CHASSE,R,,5.0,United States of America,,558.0,163940.0,Pueblo,Apt. 275,Visteon,14359 COMMERCE WEST,3.0,GA,Barby
90.0,W,,1-254-097-9398,35862,ASI58,797918.0,ASING,O,,,Canada,R,534.0,365213.0,Regina,,TECO Energy,21448 hampton boulevard,1.0,Ontario,Ariella
82.0,M,6.0,1-545-924-9552,96820,ask59,347654.0,askins,U,,0.0,United States of America,f,373.0,428739.0,Saskatoon,,Bemis,7637 pershing way,0.0,MA,ADEY
,M,8.0,1-984-233-8818,75238,Kik60,2456397.0,Kikuta,O,K,4.0,United States of America,,382.0,142444.0,Jackson,,Wyeth,11529 arcana boulevard,0.0,CA,GAYEL
15.0,S,10.0,1-528-691-1642,85769,Cha61,1284229.0,Chane,O,,3.0,United States of America,F,475.0,416168.0,St. Petersburg,,United Technologies,2700 windwood north,3.0,SD,Man
,D,3.0,,H5i 1o9,KIL62,618787.0,KILLEN,O,U,2.0,United States of America,m,539.0,291420.0,Scottsdale,,Clorox,22279 gramercy road,0.0,Saskatchewan,Klara
96.0,M,6.0,1-171-807-8213,90849,kin63,1171606.0,kinley,O,,4.0,United States of America,f,711.0,413501.0,Charlotte,,Discovery Communications,9828 west east,5.0,RI,Abdalla
38.0,M,1.0,1-056-241-7009,43644,MAL64,3983261.0,MALAHER,O,,4.0,United States of America,,606.0,,Waterbury,,Williams-Sonoma,5935 mcafee park,,NC,bal
10.0,W,0.0,1-389-414-0570,99213,Odu65,2328568.0,Odum,O,J,3.0,United States of America,,494.0,419143.0,Chesapeake,,Manitowoc,12460 CLAYTON STREET,3.0,SD,Romy
72.0,M,3.0,1-583-542-1656,72226,DI 66,2078600.0,DI NINNO,O,,1.0,United States of America,,309.0,155057.0,Hialeah,,Henry Schein,275 3rd drive,5.0,IL,KORAL
97.0,M,3.0,1-269-712-0672,V6Z 1Q9,STU67,2986155.0,STUBBLEFIELD,O,K,2.0,United States of America,,630.0,313859.0,Charleston,,Trinity Industries,6907 FERNCLIFF CRESCENT,5.0,OR,YUKIHIKO
48.0,S,10.0,1-670-102-0463,20082,HAM68,1864039.0,HAMBALI,O,,4.0,United States of America,,330.0,265907.0,Salem,,Pepsi Bottling,885 crosby lane,1.0,Ontario,Khanh
97.0,S,9.0,1-699-726-3895,35827,LIB69,1293721.0,LIBRARIAN,O,,,Canada,m,710.0,283481.0,Sacramento,,UGI,2344 kalani west,0.0,FL,Darnell
73.0,M,7.0,1-640-666-2876,99692,ohs70,3850114.0,ohsone,R,,4.0,United States of America,M,475.0,200635.0,Santa Clarita,,Greif,22870 LA CIENEGA STREET,0.0,NM,feridoun
71.0,U,3.0,1-540-639-1311,V6c 1q5,HUM71,1618743.0,HUMMEL,O,O,0.0,United States of America,,596.0,434519.0,Sherbrooke,APT. 143,Equifax,8478 green avenue,1.0,NE,Magdy
93.0,W,9.0,1-285-874-8492,80158,BRA72,3383487.0,BRADD,O,,5.0,United States of America,,670.0,392315.0,Colorado Springs,,,23639 purdue rue,1.0,MI,jiri
53.0,U,,1-121-904-0040,t6d 1b6,Boa73,2981876.0,Boarder,O,X,5.0,United States of America,,722.0,493829.0,Berkeley,,Freescale Semiconductor,19202 ansley park,3.0,New Brunswick,AILA
32.0,U,7.0,1-017-842-3201,33120,Mcn74,2109339.0,Mcnally,O,,3.0,United States of America,,587.0,97489.0,San Buenaventura,,Aleris International,11319 devonshire rue,2.0,NJ,Vincenzo
1.0,S,4.0,1-215-859-3206,99742,MAR75,791803.0,MARKOVICH,O,,4.0,United States of America,F,609.0,,New Haven,,,23665 deerwood park,3.0,ND,Minnnie
39.0,S,7.0,1-764-520-7470,V6N 1T1,Wil76,3523678.0,Willekes,O,,0.0,United States of America,f,401.0,383046.0,Shreveport,,World Fuel Services,4855 union north,1.0,Saskatchewan,alfonzo
77.0,M,0.0,1-414-130-0162,44104,Dea77,1681902.0,Deacetis,,S,4.0,United States of America,m,335.0,1190.0,Lansing,,R.R. Donnelley & Sons,9466 SHADOWBRIAR WEST,0.0,KS,Swandi
18.0,U,7.0,1-970-240-9990,14605,Hou78,3851455.0,Houk,O,,5.0,United States of America,,569.0,85733.0,Pembroke Pines,,Brinker International,3504 regency avenue,5.0,SD,Anya
70.0,M,9.0,1-408-684-6459,80076,Goy79,2339382.0,Goyette,R,,0.0,Canada,,,387890.0,Palmdale,,Temple-Inland,7281 northland lower,2.0,FL,Enrika
26.0,S,7.0,1-330-353-5908,V6I 1V6,Mok80,,Mok-fung,O,Z,2.0,United States of America,f,679.0,16808.0,Savannah,,Psychiatric Solutions,12481 hayden lower,0.0,Saskatchewan,SONJA
,M,10.0,1-766-726-2675,97307,Run81,2065016.0,Rundle,,I,,United States of America,,356.0,304589.0,Amarillo,,Nash-Finch,2328 gracie avenue,4.0,FL,Liem
58.0,S,9.0,1-938-425-7509,46237,BEL82,2454049.0,BELLEY,R,,2.0,United States of America,o,308.0,48506.0,Anchorage,,AMR,4737 campbell street,5.0,UT,COLLETTE
43.0,M,4.0,1-527-308-8874,V6B 1S6,BAE83,2423395.0,BAER,O,Y,0.0,United States of America,,412.0,,Louisville,,Spartan Stores,2401 stratmore lower,4.0,WY,SIAMACK
65.0,D,4.0,1-810-590-0635,H2d 1x1,MAU84,1342045.0,MAULDIN,O,,2.0,United States of America,f,618.0,358862.0,Hilo,,Cigna,21477 JUNIPER CRESCENT,3.0,NH,Toshihiro
24.0,S,5.0,1-274-548-2512,95108,Koo85,861756.0,Koohgoli,O,,5.0,United States of America,,429.0,477614.0,Sudbury,,General Cable,19214 YAUPON BOULEVARD,3.0,AR,Casey
79.0,S,3.0,1-649-754-4601,80050,Lau86,1215349.0,Lauriston,O,,3.0,United States of America,,819.0,175414.0,Orlando,,Dun & Bradstreet,7785 rusk boulevard,1.0,CT,Daryn
48.0,M,7.0,1-905-932-1785,90122,Man87,3981554.0,Mangum,O,L,0.0,Canada,F,552.0,427598.0,Missoula,,Casey's General Stores,18002 cantrell upper,1.0,VT,Adrianna
69.0,S,9.0,1-031-004-7697,43614,PIE88,3865937.0,PIERCY,O,,0.0,United States of America,,587.0,368207.0,Abilene,,Jack in the Box,23341 brookside upper,4.0,Manitoba,Cortney
91.0,S,6.0,1-994-812-4796,61110,Bus89,2804700.0,Buscaglia,O,,3.0,United States of America,M,304.0,449944.0,Saskatoon,,Assurant,20494 ROSS WEST,1.0,NJ,Duane
75.0,,4.0,1-176-513-4041,70174,BAB90,3283558.0,BABIONE,U,,5.0,United States of America,,795.0,166247.0,Irvine,,Psychiatric Solutions,17552 SAVANNAH NORTH,5.0,KY,Tele
85.0,S,2.0,1-072-244-6337,90324,Bur91,450524.0,Burkard,O,,1.0,United States of America,M,830.0,391165.0,Reno,APT. 373,Danaher,4462 pace crescent,3.0,GA,Ophelia
76.0,M,3.0,1-924-669-9328,s7d 1n1,Kin92,,Kinsella,R,,5.0,United States of America,,709.0,165854.0,Sacramento,,Clorox,7161 tallowood upper,3.0,NJ,lorine
68.0,S,8.0,1-598-488-3541,93829,POM93,,POMMAINVILLE,O,,2.0,United States of America,,493.0,326181.0,Topeka,,Boyd Gaming,3489 silver sage west,1.0,SC,Viole
95.0,M,,1-295-539-3868,89116,BOA94,633760.0,BOATWRIGHT,O,,3.0,United States of America,M,680.0,173387.0,Rancho Cucamonga,,Eaton,12481 hayden lower,,TN,Nani
15.0,M,,1-554-020-0267,94315,Ron95,3634954.0,Ronald,R,R,1.0,United States of America,,800.0,301127.0,Hilo,,Dynegy,13210 3RD DRIVE,5.0,WY,cherey
17.0,M,4.0,1-793-621-4566,T5b 1u9,wei96,799268.0,weihs,R,A,1.0,United States of America,,614.0,487230.0,Saint John,,AmeriCredit,8899 starling lane,5.0,Ontario,Redgie
94.0,,6.0,1-787-267-4261,T6b 1a5,Hel97,39093.0,Helpb,R,P,4.0,Canada,M,763.0,425747.0,Torrance,,SLM,11480 fennel south,0.0,DC,Yousef
70.0,S,3.0,1-668-247-1597,60699,mog98,2705353.0,moghe,O,,4.0,United States of America,m,561.0,401946.0,Santa Clara,,NV Energy,7266 cherry upper,4.0,Alberta,Damaris
29.0,S,4.0,1-901-346-8890,V6p 1s8,boz99,3565153.0,bozicevich,O,,1.0,United States of America,,569.0,425422.0,Torrance,,Landstar System,10678 ENGLEWOOD WEST,2.0,ME,Ilyssa
52.0,M,5.0,1-451-273-3803,v6i 1p1,Zah100,2832204.0,Zaharychuk,O,R,4.0,United States of America,,634.0,208890.0,Stockton,,Pacific Life,21181 2ND RUE,1.0,MA,Moselle
51.0,U,10.0,1-129-499-9136,79423,And101,2194345.0,Andric,O,,5.0,United States of America,F,488.0,67880.0,Paterson,,Textron,22963 hanover road,3.0,NV,Dulsea
24.0,W,5.0,1-899-319-0772,H5j 1o6,Bam102,3737140.0,Bamfo,O,L,2.0,Canada,,788.0,133412.0,Mesa,,Pfizer,8268 cliffbrook boulevard,3.0,WA,Lyndsie
98.0,D,8.0,1-053-396-0441,93761,fro103,464753.0,frondozo,O,,3.0,United States of America,,333.0,144829.0,Anchorage,,Cigna,5118 montview court,4.0,WY,KESLEY
59.0,M,,1-239-665-9540,76150,Car104,596696.0,Caron,U,J,1.0,United States of America,,601.0,,Miami,,Ameren,17442 tallowood upper,1.0,NJ,LAUREL
49.0,U,2.0,1-605-888-3403,99717,muc105,1504753.0,muchow,O,V,3.0,Canada,f,595.0,143682.0,Great Falls,,Consolidated Edison,4038 WEDGEWOOD STREET,4.0,LA,Steen
1.0,U,10.0,1-630-604-2543,60608,gat106,3049281.0,gateau,O,,0.0,United States of America,,433.0,350020.0,Erie,,Occidental Petroleum,20334 anaconda avenue,1.0,TX,noel
79.0,U,10.0,1-851-862-7928,v6w 1u4,Sch107,247478.0,Schaefer,O,M,0.0,United States of America,F,403.0,435103.0,Hollywood,,Sherwin-Williams,5385 young west,,SC,Tracey
6.0,,3.0,1-065-415-5724,T5b 1t6,pom108,2750301.0,pomerleau,R,,1.0,United States of America,,615.0,207768.0,Tulsa,,Affiliated Computer Services,2747 SINCLAIR LANE,5.0,TX,Sarajane
70.0,M,1.0,1-408-512-1007,23298,cuc109,721333.0,cucuzzella,O,K,0.0,United States of America,F,735.0,407512.0,Tucson,,Valassis Communications,8622 BROWNWAY PARK,4.0,MN,Geoffrey
23.0,S,1.0,1-083-902-4184,32803,SUG110,669440.0,SUGARMAN,O,Z,3.0,United States of America,q,668.0,403366.0,Anchorage,,,18048 GREEN NORTH,0.0,ID,loralyn
78.0,M,,1-568-403-7081,64122,Pep111,2473979.0,Pepe,O,,3.0,Canada,,349.0,384095.0,Sandy,,Smithfield Foods,18994 country boulevard,5.0,MI,andrei
79.0,S,,1-824-389-0618,T6b 1h2,Cha112,3545170.0,Chandrashekar,,,4.0,United States of America,f,654.0,288969.0,Boston,SUITE 7,,16063 ashland road,,OK,javad
72.0,U,6.0,1-174-210-2058,22222,SEI113,1494871.0,SEIFERS,O,U,2.0,United States of America,m,361.0,233665.0,Vancouver,Apt. 971,TD Ameritrade,19309 mcfarlin north,3.0,UT,Karna
31.0,S,1.0,1-425-503-7952,T6a 1d2,GAR114,436164.0,GARTLEY,U,S,4.0,Canada,F,427.0,147236.0,Akron,,Comerica,2454 cliffbrook west,0.0,PA,Jocelyn
86.0,W,1.0,1-012-389-9089,v5d 1n9,Tou115,1069481.0,Touchette,O,,0.0,United States of America,M,322.0,452557.0,Lancaster,,Steel Dynamics,15865 strand west,3.0,New Brunswick,Elvera
,S,9.0,1-909-472-6704,23321,Kur116,,Kurdziel,R,V,2.0,United States of America,M,792.0,179305.0,Concord,,Coca-Cola Enterprises,13776 east boulevard,0.0,UT,Nessy
87.0,U,2.0,1-622-167-5411,90505,Her117,2957261.0,Herod,O,,3.0,Canada,,478.0,205817.0,Chesapeake,,News Corp.,10570 WEIZMANN LOWER,0.0,VA,lona
92.0,M,1.0,1-164-511-9338,19066,MCV118,228459.0,MCVICAR,O,P,,United States of America,,477.0,262711.0,Flint,,,15278 walnut hill road,5.0,NH,RHEA
4.0,M,6.0,1-804-532-9163,v6s 1r3,LAB119,67267.0,LABFIVE,O,,1.0,Canada,F,449.0,84810.0,Chattanooga,,Stater Bros. Holdings,23007 WAKEFOREST WAY,5.0,VT,Josefa
8.0,U,2.0,1-197-370-0297,78769,but120,1087978.0,butta,O,,2.0,United States of America,,466.0,96441.0,Billings,,BorgWarner,9088 rivas way,4.0,FL,alikee
97.0,M,2.0,1-337-042-5687,53769,Pro121,3885967.0,Projects,O,,0.0,United States of America,m,483.0,462762.0,Scottsdale,,CB Richard Ellis Group,18798 ullrich road,5.0,NC,dolorita
,D,4.0,1-056-138-5321,H7E 1U6,Irc122,3271101.0,Irc,O,,5.0,United States of America,,588.0,141890.0,Oshawa,,Zimmer Holdings,18517 HULEN LOWER,4.0,VA,Marilyn
40.0,,2.0,1-776-191-2031,e7o 1k1,Ziv123,,Zivkovic,O,G,5.0,Canada,,313.0,156610.0,Naperville,,Mohawk Industries,11474 dodd lane,5.0,DC,robertson
95.0,U,1.0,1-280-696-2706,90374,sim124,1999133.0,simser,R,H,1.0,United States of America,,647.0,164752.0,Tampa,,Berkshire Hathaway,9375 wood south,4.0,NC,Ilsa
92.0,S,2.0,1-857-581-6346,63169,kei125,1100786.0,keifer,O,I,1.0,United States of America,,430.0,278949.0,Jackson,,Saks,20479 wise avenue,5.0,MS,Pen
67.0,W,8.0,,16515,arv126,563992.0,arvin,O,P,0.0,United States of America,f,467.0,,Hay River,,Gardner Denver,19918 ROGERS NORTH,5.0,SC,AUBRETTE
24.0,M,7.0,1-716-343-0884,85309,Pra127,962397.0,Praeuner,O,,3.0,United States of America,F,399.0,463736.0,Irvine,,Hasbro,9284 coffey lower,2.0,KS,Cole
26.0,M,5.0,1-101-776-2496,92158,lue128,1064169.0,lue,O,C,2.0,United States of America,m,654.0,,Idaho Falls,,CBS,2929 north crescent,3.0,VT,liva
62.0,S,3.0,1-769-028-0589,33152,Prz129,2100059.0,Przybycien,O,,2.0,United States of America,f,378.0,86667.0,Moreno Valley,,Synnex,15404 queen street,0.0,IL,Ayaz
37.0,W,10.0,1-005-833-8970,83729,pen130,99025.0,penn,O,J,5.0,United States of America,f,338.0,193470.0,Ontario,,Belden,1619 greenspoint road,1.0,FL,YETTY
71.0,S,10.0,1-884-215-4243,B8b 1z6,Gua131,3865481.0,Guay,R,S,5.0,United States of America,,695.0,406379.0,Concord,,Broadcom,21477 WARREN PARK,0.0,MI,Mary-michelle
29.0,M,7.0,,53717,bre132,804544.0,brennand,U,,1.0,Canada,F,614.0,480595.0,Phoenix,,Reynolds American,6503 ROBBINS STREET,3.0,Newfoundland,agretha
89.0,S,7.0,1-725-177-7815,t5c 1w7,Sav133,3143356.0,Savanh,O,X,4.0,United States of America,f,307.0,181718.0,Coral Springs,,Wells Fargo,3958 GLEN LOCH BOULEVARD,5.0,ME,LOTTY
11.0,M,2.0,1-277-496-5396,37245,ABB134,,ABBATANTUONO,O,Z,0.0,United States of America,,331.0,468310.0,Oxnard,,Retail Ventures,13640 ethridge lower,3.0,AL,Kassey
20.0,S,2.0,1-756-463-2201,94401,OP135,2311953.0,OP,O,N,2.0,United States of America,M,638.0,354987.0,Brownsville,,AT&T,3981 imperial lower,0.0,IN,Adria
75.0,W,3.0,1-261-338-7463,B8a 1y3,Mer136,3120608.0,Mersinger,O,,3.0,Canada,,703.0,284539.0,Memphis,,Wynn Resorts,13210 3rd drive,5.0,NH,audivox
95.0,S,7.0,1-811-086-4675,t6b 1k2,rut137,2058270.0,rutt,O,,0.0,United States of America,F,302.0,213725.0,Flint,,Eastman Kodak,9297 THROCKMORTON SOUTH,5.0,DC,SUE
0.0,U,,1-338-771-1185,85306,bem138,1511983.0,bemis,O,I,2.0,United States of America,,522.0,74195.0,Lafayette,,Aramark,8935 YOUNG UPPER,3.0,DC,Lorenza
73.0,M,,1-554-231-5318,V6R 1R7,Pen139,439080.0,Pennington,O,,5.0,United States of America,,,169295.0,Greensboro,,ENSCO International,3797 RUTGERS PARK,1.0,MD,Enzo
39.0,W,5.0,1-733-886-5227,68513,tor140,921255.0,torok,R,Y,1.0,United States of America,M,833.0,307832.0,Sterling Heights,,Auto-Owners Insurance,8285 tamarind crescent,0.0,Prince Edward Island,claudina
