prospect_gncd,prospect_ddrssln2,prospect_ct,prospect_nmbrcrs,prospect_pstlcd,prospect_mddlntl,prospect_nmbrcrdtcrds,prospect_ddrssln1,prospect_frstnm,prospect_g,prospect_cntr,prospect_nmbrchldrn,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_ntwrth
mpz7516,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,Rochester,1.0,,G,5.0,,Zmstbluqkipzaojfsomtbdddguq,18.0,United States of America,4.0,M,623.0,O,Superior Energy Services,242246.0
Jhc7517,Havgczldcpfmwfzj,Garden Grove,1.0,,s,1.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,dpqgvuaoijmkxsesvililpxcrwqe,79.0,United States of America,1.0,S,845.0,O,Monsanto,1217660.0
dbq7518,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Tampa,4.0,Rxdsunq,l,7.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,IHUGYGSRDWILVOFBAKUR,36.0,United States of America,5.0,M,645.0,U,Newfield Exploration,1229655.0
Xch7519,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Fullerton,2.0,JXHVEEOU,,1.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,aefotdcronamhkzsfpvifmobgchmsp,21.0,Canada,2.0,W,495.0,O,Loews,1157831.0
oir7520,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Washington,2.0,XHJQCDPOO,Z,8.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,jdeyqkerjerjpht,4.0,Canada,2.0,M,371.0,O,Apache,
Fqb7521,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Norfolk,2.0,rapkjpmvp,O,1.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Lwihnxoihqqrvjydsijd,72.0,United States of America,3.0,S,462.0,R,Robert Half International,
qex7522,Rirmrpvlknyho,Sydney,,Slskxm,,7.0,Dmyivtczopuqajpnjqvvgbhxynvduub,nmnervucuk,1.0,United States of America,,S,375.0,U,Viacom,3467922.0
Hpi7523,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Winnipeg,1.0,FXHXLG,,10.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,hgjkxxbf,98.0,Canada,2.0,S,516.0,U,Robert Half International,46859.0
Fjd7524,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Wilmington,1.0,ovlziicdezok,,,Esuycdxsjfbrqbtluspxsehk,Zangtryzlhmxo,35.0,Canada,5.0,,703.0,R,CSX,2937668.0
Cgt7525,Rpzwirgfyiw,El Monte,4.0,jsxcpvao,,7.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,FFJGEQD,99.0,United States of America,2.0,W,734.0,O,Country Financial Services,2388613.0
Lwx7526,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Sterling Heights,0.0,Ykerbceq,,4.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Pdcxrihnl,49.0,United States of America,2.0,M,469.0,U,Procter & Gamble,3116283.0
epy7527,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Pembroke Pines,3.0,VVMSNWEBT,,2.0,vnyndcximwxhecv,Zckhcacwaelzutaodqalxyjrkh,72.0,United States of America,0.0,S,595.0,O,Ingles Markets,2671950.0
Aff7528,Acdrcqabtcdgmgl,Philadelphia,3.0,bibueqwbejem,M,1.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,sqrosgqnpifxjx,41.0,United States of America,0.0,U,410.0,O,Forest Laboratories,3899593.0
mfc7529,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,Glendale,3.0,gehpynlk,S,10.0,,Erqzkkllazeobgthnmgsbtj,54.0,Canada,2.0,W,475.0,O,Dentsply International,2537332.0
Slf7530,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,El Monte,0.0,Piwlxtg,S,2.0,GVSBHGBDDVJFNNOZNNPJWCOI,Lcziayaozecoqqluasolkmmcldm,11.0,United States of America,2.0,,,R,RadioShack,733236.0
Cxu7531,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Warwick,2.0,Ujlshmosjkid,,3.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Gcnczmuxviqaxtsdzmzhtro,0.0,United States of America,5.0,W,519.0,O,Century Aluminum,
GZO7532,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,Milwaukee,3.0,cwburwnupuj,F,5.0,BIQIOQOHLQSTBRUFOI,Rsoobsqytvjycob,27.0,United States of America,3.0,D,841.0,U,,3397276.0
DRW7533,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,Phoenix,3.0,CNEZMHTKIAEV,A,6.0,Llfaqkbemnoy,Pjvadgt,95.0,United States of America,1.0,U,540.0,O,FPL Group,2444257.0
set7534,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,Anchorage,1.0,kixvppuqtd,N,10.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,GUBKOKITTSKVYM,35.0,United States of America,3.0,U,540.0,R,Lockheed Martin,71520.0
Pyo7535,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Madison,4.0,jrhynxfi,,6.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,96.0,United States of America,1.0,M,,O,Sanmina-SCI,1911091.0
FSH7536,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,Fontana,0.0,dnhtjyu,,6.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,Kuteauo,96.0,Canada,0.0,W,424.0,O,Iron Mountain,988775.0
Tdx7537,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,Charlotte,5.0,YKOVOTYB,,2.0,,Hkfofpndygljbeo,49.0,United States of America,5.0,M,623.0,R,OfficeMax,3919363.0
Sbn7538,XHQNMCEJKXOQYVSZVESLKC,Richmond,5.0,WNNMWJ,O,4.0,atydogjpqphuwhegtbukkqiaeakrtrn,Kengxgsu,,Canada,1.0,S,792.0,O,AMR,428918.0
Piq7539,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Santa Clarita,4.0,Oktkljv,C,6.0,Hlotorcbtobuceb,Plywuoa,27.0,United States of America,4.0,S,718.0,O,Kohl's,58134.0
IXD7540,Toumjfbsumpgfuskpydjeibaxi,Yellow Knife,4.0,,,6.0,gsrdigbqfwrahybxrtm,zfcwsxpjzyqelkxg,98.0,,0.0,M,401.0,O,Cigna,3703767.0
wsn7541,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Oxnard,4.0,GXFLSISZUY,,2.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,Yxvczhqjwgnhowiu,,United States of America,5.0,M,557.0,R,West,433859.0
Jkp7542,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Huntington Beach,5.0,gzexcrngivl,A,7.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Grkknjyfgbhtyrhxzeaoeoyirwfa,56.0,United States of America,5.0,W,393.0,O,Monsanto,3002044.0
CCF7543,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,Durham,2.0,yzoikhwrd,,10.0,,Vfrdst,94.0,United States of America,4.0,M,557.0,,Reliant Energy,1124168.0
ylj7544,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Naperville,4.0,Gdbktega,,5.0,RELJYREDKQEKGOORBLRKOUIC,Hqcswumjvwbemosmy,98.0,United States of America,5.0,U,465.0,O,Idearc,2081541.0
ZBB7545,hkyochorqgtokxgozmoncalaaiw,Albuquerque,0.0,Kdcqzpvf,V,6.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Ectbhkmbvwkwdbn,8.0,Canada,1.0,M,,O,Neiman Marcus,1897076.0
fqe7546,Datdnghoiymltcayulgkgxywi,Newark,5.0,Tbwgwtmgcu,,10.0,Yewxbqpnfgh,Bdbgqpllbnrmiirpct,90.0,United States of America,,W,485.0,,O'Reilly Automotive,235172.0
Wpw7547,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Miami,4.0,Mwmfs,,2.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Ftszluaxcsoxdfbmdd,34.0,United States of America,2.0,M,303.0,,Cliffs Natural Resources,639573.0
vpz7548,,London,1.0,goelqgcts,,4.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,Qrdnpjquwnixfocqhsrlkcxmelwijl,25.0,Canada,2.0,W,846.0,O,Health Management Associates,2667082.0
Yfz7549,,Worcester,5.0,ucwygjzs,,1.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Kkiolpmrgzmnjanqc,50.0,Canada,4.0,,621.0,O,Chevron,2598634.0
dou7550,,Jacksonville,3.0,fjlfqftwg,,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,unzegilpp,85.0,United States of America,4.0,D,331.0,O,Exide Technologies,1074671.0
FDJ7551,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Nashua,5.0,Tocujgaiaq,,9.0,hfuyqlsmbesrylepu,xetqkitwlh,60.0,United States of America,4.0,M,401.0,R,Convergys,2272997.0
ufu7552,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,Newport News,2.0,kurjmmgixxfd,,0.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,TWRRGULRYKYUWZYBQQFMIFFKVK,95.0,United States of America,2.0,S,644.0,R,Dominion Resources,702000.0
bbg7553,NBSHKLXYVUUWXEQSGXR,Corona,4.0,cnsavindoi,H,5.0,qgjnvpwvmgsqzcanzncon,Yqfljvgkfucafpjpamdtcppiipc,8.0,United States of America,1.0,M,769.0,R,Sentry Insurance Group,1289800.0
Znk7554,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,Lincoln,3.0,MQBSAUVQRPYE,v,2.0,HNBGLUDIOAJRCCIXGDUQOO,mjeasoritwctufyojamzbeeoo,31.0,,4.0,M,481.0,O,Cintas,1007390.0
CGQ7555,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,Toronto,1.0,vadbnvz,T,7.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,Udxaujgiratgthwkvdibgvwfo,51.0,Canada,2.0,U,732.0,O,Medtronic,124290.0
add7556,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Fayetteville,4.0,Ljurvnigr,,2.0,dnlleihfh,GHFUKZPOKMXWZF,24.0,United States of America,4.0,M,802.0,O,Pride International,1820002.0
Anw7557,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,Charlotte,2.0,BQDMQVFTNBRJ,J,5.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,ybtkiifyhbgchnuctnhnqspk,78.0,Canada,4.0,M,329.0,O,A. Schulman,2200347.0
Hvt7558,nqcozjievwzk,Tulsa,5.0,jkcul,,0.0,Wsjaujjdexc,Fhkymmgjsbmpduuffgavhfcxm,56.0,United States of America,0.0,W,839.0,R,Oneok,3669569.0
Yqj7559,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Winston-Salem,2.0,Nelny,d,,Ojberg,DEZDTMSMWKALBRPALCFIME,50.0,United States of America,,U,539.0,,Danaher,2140537.0
Ztn7560,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Thousand Oaks,4.0,Qsggz,,4.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,phoxfeiqoldgmnojmzunmargkla,52.0,United States of America,5.0,M,561.0,R,Del Monte Foods,3258909.0
bni7561,Lfrjkyblujmbxigmylpsxieswspmei,Lubbock,4.0,Drofa,,2.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,Upuabfflh,14.0,United States of America,5.0,W,814.0,O,American Electric Power,1825422.0
swx7562,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Winnipeg,5.0,Ssovhtmt,,7.0,Xwtkpxqgohxwxnv,owagfolbfwjzeg,29.0,United States of America,0.0,M,305.0,R,TJX,1845263.0
DSA7563,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Laredo,2.0,Tnprhljfrlj,P,4.0,Qpvmtkxxfef,Qdmppehqxloc,50.0,United States of America,4.0,S,457.0,O,Philip Morris International,1463114.0
BXZ7564,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Overland Park,4.0,Bkxujhonjgjk,,8.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,jqbetxkci,67.0,United States of America,1.0,U,349.0,O,Cincinnati Financial,2354683.0
pcz7565,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,Calgary,2.0,mrjrjhgnwcdu,,0.0,KRYAIAJGKHBKXBLC,Wsmywgbvwspgdwhmdxsqjwqb,22.0,United States of America,0.0,M,590.0,O,Stryker,436677.0
Zqa7566,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Peoria,5.0,Yusezkfgs,,0.0,,ocgwi,20.0,United States of America,4.0,U,533.0,O,Kansas City Southern,2383335.0
Htl7567,IBQIDE,Durham,4.0,RKXTQAO,z,9.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Pcotdnngmurhkcd,75.0,Canada,0.0,W,686.0,O,IDT,2574739.0
afw7568,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,Pueblo,2.0,UBQSATXZO,L,10.0,VBDCWYVK,bvcosqzcleknjzvkygbawlc,60.0,United States of America,0.0,U,582.0,O,Vornado Realty Trust,1596838.0
Wna7569,Lrebujnrg,Las Cruces,,BHRNWQLFVFA,,0.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,ECLENELTSXGTNWOP,,United States of America,4.0,S,807.0,O,Dollar General,591965.0
Mlh7570,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Chula Vista,3.0,Ktmzav,,3.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Xdwexmrjat,48.0,United States of America,5.0,S,819.0,O,Safeway,3071440.0
Gor7571,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,San Diego,2.0,Nfpchgfj,,5.0,Gwxymofcy,xjwnvwdryqpcehelwzfhkkiuus,91.0,United States of America,0.0,M,311.0,R,Apache,2683081.0
ENX7572,Hxutrprq,Chicago,2.0,Wuywecohosfi,,3.0,Qynjnmfgwxpmrw,RNBABCYAFMQPBOHXNUXMXNU,98.0,United States of America,5.0,U,734.0,O,Lowe's,3850483.0
fgr7573,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Worcester,4.0,tibxlojrqiha,,1.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,Eyrtrqkljywvbcice,51.0,United States of America,1.0,W,432.0,O,Lithia Motors,1870617.0
Ysh7574,JRHXPUUHAFHDPF,Honolulu,5.0,ogmes,a,3.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,Opybrukftspofebjmspkjsgtobzsp,22.0,United States of America,0.0,S,394.0,O,CH2M Hill,1249534.0
Mos7575,yvntcqjqqmbftwetvbqgclcdbxspvk,Albuquerque,0.0,JUBKXDKP,I,1.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,57.0,United States of America,0.0,U,658.0,O,Tellabs,3789880.0
czu7576,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,Oakland,1.0,Xbgykqm,,3.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,kpofwgtomgijnm,38.0,Canada,2.0,M,348.0,O,Phillips-Van Heusen,3874445.0
Ghr7577,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,Billings,1.0,NNCXIBTCXZA,Z,8.0,BESJDYZDIOIXKDFEHBQXBPW,Biflzgcqpqpbahquomftmjffohpwuy,68.0,United States of America,5.0,M,598.0,O,Wells Fargo,437353.0
Rwk7578,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,Pueblo,2.0,mfwuio,,9.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,ybdlwlwxispyswbiegrbsqqtywxr,93.0,United States of America,2.0,U,505.0,O,Vornado Realty Trust,2669917.0
Uwi7579,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,Sherbrooke,4.0,Utgwrun,,7.0,Ivwhotvobwkshcixclfobqoljlaqohw,Capzcewdt,48.0,United States of America,3.0,S,839.0,R,New York Times,1466537.0
VXZ7580,CYQWJKJB,Sacramento,1.0,Wgulrhctjlg,,2.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,XKBLVBCCYKMIXABVTOTVPZCJRII,96.0,United States of America,1.0,S,672.0,U,Adobe Systems,991860.0
Ayk7581,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,Charlotte,5.0,Srhxvxe,p,3.0,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,wmknfemsztimaphftadowlmbnp,58.0,United States of America,5.0,M,696.0,O,Valmont Industries,
lho7582,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,El Paso,5.0,Dadkihaohc,,5.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,DHLVITRFJDXLTPAGMPMJ,63.0,United States of America,3.0,W,448.0,O,UAL,1816368.0
rzi7583,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,Mesa,2.0,Fpoleiod,,9.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,Jdpqutldftwykfyhukveiaimoyyk,18.0,United States of America,1.0,S,549.0,O,AFLAC,565246.0
Wds7584,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,Simi Valley,4.0,Cuaieflmccqp,,0.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,Qiwemtdba,40.0,United States of America,2.0,W,705.0,O,VeraSun Energy,1899339.0
Xsj7585,ccfzcxohrhrcnypedmhjovjyjrxi,St. Catharines,4.0,qiraymmapgf,f,6.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,JQKEDISZ,29.0,United States of America,3.0,M,387.0,O,Magellan Health Services,3873239.0
Lux7586,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,Washington,2.0,Tsynomgib,v,7.0,Nhgrkzjzcrjcerkwrugwul,Gfuwa,21.0,United States of America,1.0,U,359.0,,Emcor Group,767547.0
wxw7587,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,Chula Vista,2.0,Amudllk,,9.0,,CTTUYHUUMMDTX,41.0,Canada,2.0,M,494.0,O,Peabody Energy,1027999.0
pfz7588,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,Montpelier,1.0,ELQKT,e,10.0,uiaoi,Wvtqm,56.0,United States of America,1.0,M,345.0,,State Farm Insurance Cos.,3428495.0
hlx7589,REHWDWEP,Mesa,2.0,Oiwac,,10.0,Wwonzdtvwkn,xuwgpsvzcpxtoerndtr,33.0,United States of America,0.0,M,402.0,O,Humana,1827180.0
nyb7590,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,New Haven,2.0,Dqgzinvuxxy,,3.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,Hnnzpokbygacjjgybkskf,96.0,United States of America,0.0,M,579.0,O,News Corp.,2070007.0
Ltt7591,DIMPFMEBDNHBCT,Indianapolis,2.0,Nchaajfkjvx,O,2.0,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,qsnivsknktiwjpqwnrlgftnmsrxkjc,35.0,United States of America,0.0,,569.0,O,Torchmark,
gsz7592,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,Stockton,0.0,XEDMBUAMGXKH,,9.0,cezvfwtftwlwfrgrpxtuejvrgucexe,pygsfvfpeofkdcugfvxdsqgmcgebfp,40.0,United States of America,4.0,W,745.0,O,Rock-Tenn,3596263.0
