nmbrchldrn,ddrssln1,mrtlstts,gndr,ncm,g,lstnm,wnrrntflg,ntwrth,nmbrcrdtcrds,ddrssln2,mddlntl,crdtrtng,pstlcd,ct,nmbrcrs,phn,cntr,gncd,stt,mplr,frstnm
1.0,qgjnvpwvmgsqzcanzncon,M,m,161204.0,8.0,bbgzmquoeecumw,R,1289800.0,5.0,NBSHKLXYVUUWXEQSGXR,H,769.0,cnsavindoi,Corona,4.0,1-269-220-8046,United States of America,bbg7553,VT,Sentry Insurance Group,Yqfljvgkfucafpjpamdtcppiipc
4.0,HNBGLUDIOAJRCCIXGDUQOO,M,f,202650.0,31.0,Znkkdbkvxcxeuackyodqlkpl,O,1007390.0,2.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,v,481.0,MQBSAUVQRPYE,Lincoln,3.0,1-052-524-0130,,Znk7554,LA,Cintas,mjeasoritwctufyojamzbeeoo
2.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,U,F,,51.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,O,124290.0,7.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,T,732.0,vadbnvz,Toronto,1.0,1-335-871-6660,Canada,CGQ7555,CT,Medtronic,Udxaujgiratgthwkvdibgvwfo
4.0,dnlleihfh,M,,492433.0,24.0,addxtssyhezwro,O,1820002.0,2.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,,802.0,Ljurvnigr,Fayetteville,4.0,1-637-394-8083,United States of America,add7556,UT,Pride International,GHFUKZPOKMXWZF
4.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,M,,344858.0,78.0,Anwyusqezrjppzkaevffwljm,O,2200347.0,5.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,J,329.0,BQDMQVFTNBRJ,Charlotte,2.0,1-706-795-4208,Canada,Anw7557,IN,A. Schulman,ybtkiifyhbgchnuctnhnqspk
0.0,Wsjaujjdexc,W,m,197290.0,56.0,Hvtanebvipbdd,R,3669569.0,0.0,nqcozjievwzk,,839.0,jkcul,Tulsa,5.0,1-622-347-5699,United States of America,Hvt7558,WI,Oneok,Fhkymmgjsbmpduuffgavhfcxm
,Ojberg,U,,283654.0,50.0,Yqjaammjlhgpw,,2140537.0,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,d,539.0,Nelny,Winston-Salem,2.0,1-042-017-9368,United States of America,Yqj7559,WA,Danaher,DEZDTMSMWKALBRPALCFIME
5.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,M,F,317423.0,52.0,Ztnstwpjxatqveppicohpzilnn,R,3258909.0,4.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,,561.0,Qsggz,Thousand Oaks,4.0,1-829-935-5979,United States of America,Ztn7560,LA,Del Monte Foods,phoxfeiqoldgmnojmzunmargkla
5.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,W,F,399126.0,14.0,bnizllrrofn,O,1825422.0,2.0,Lfrjkyblujmbxigmylpsxieswspmei,,814.0,Drofa,Lubbock,4.0,1-076-726-5283,United States of America,bni7561,VT,American Electric Power,Upuabfflh
0.0,Xwtkpxqgohxwxnv,M,,398180.0,29.0,swxorhmdydwbrtdqxroghsddlpbdgi,R,1845263.0,7.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,,305.0,Ssovhtmt,Winnipeg,5.0,,United States of America,swx7562,CT,TJX,owagfolbfwjzeg
4.0,Qpvmtkxxfef,S,f,,50.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,O,1463114.0,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,P,457.0,Tnprhljfrlj,Laredo,2.0,1-284-129-5920,United States of America,DSA7563,RI,Philip Morris International,Qdmppehqxloc
1.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,U,,485429.0,67.0,BXZUTWBUFSGPPXKR,O,2354683.0,8.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,,349.0,Bkxujhonjgjk,Overland Park,4.0,1-128-308-8886,United States of America,BXZ7564,SC,Cincinnati Financial,jqbetxkci
0.0,KRYAIAJGKHBKXBLC,M,,118018.0,22.0,pczqycbwefse,O,436677.0,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,,590.0,mrjrjhgnwcdu,Calgary,2.0,1-145-469-5971,United States of America,pcz7565,British Columbia,Stryker,Wsmywgbvwspgdwhmdxsqjwqb
4.0,,U,m,309693.0,20.0,Zqaknviqngvemehvpzrcgkcvre,O,2383335.0,0.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,,533.0,Yusezkfgs,Peoria,5.0,1-727-684-7767,United States of America,Zqa7566,CO,Kansas City Southern,ocgwi
0.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,W,,90718.0,75.0,Htltlfnvjctvvdvulpkhcbyfi,O,2574739.0,9.0,IBQIDE,z,686.0,RKXTQAO,Durham,4.0,1-776-201-2472,Canada,Htl7567,TN,IDT,Pcotdnngmurhkcd
0.0,VBDCWYVK,U,F,280645.0,60.0,afwafvxxdr,O,1596838.0,10.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,L,582.0,UBQSATXZO,Pueblo,2.0,1-767-942-1278,United States of America,afw7568,CA,Vornado Realty Trust,bvcosqzcleknjzvkygbawlc
4.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,S,,231559.0,,Wnakgzhqfhtavtvegjtdmdosnjr,O,591965.0,0.0,Lrebujnrg,,807.0,BHRNWQLFVFA,Las Cruces,,1-723-062-7266,United States of America,Wna7569,WY,Dollar General,ECLENELTSXGTNWOP
5.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,S,,36898.0,48.0,Mlheqxaigtvjaynkffyqkpu,O,3071440.0,3.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,,819.0,Ktmzav,Chula Vista,3.0,,United States of America,Mlh7570,SD,Safeway,Xdwexmrjat
0.0,Gwxymofcy,M,,396786.0,91.0,Gorjnqxjtefmomsbmtnogaerx,R,2683081.0,5.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,,311.0,Nfpchgfj,San Diego,2.0,1-145-314-0862,United States of America,Gor7571,British Columbia,Apache,xjwnvwdryqpcehelwzfhkkiuus
5.0,Qynjnmfgwxpmrw,U,f,344365.0,98.0,ENXOMNHFVPYQSABETPUEKRKCL,O,3850483.0,3.0,Hxutrprq,,734.0,Wuywecohosfi,Chicago,2.0,1-735-104-7772,United States of America,ENX7572,NJ,Lowe's,RNBABCYAFMQPBOHXNUXMXNU
1.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,W,,1205.0,51.0,fgrdzzudzmwlluff,O,1870617.0,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,,432.0,tibxlojrqiha,Worcester,4.0,,United States of America,fgr7573,AK,Lithia Motors,Eyrtrqkljywvbcice
0.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,S,m,276666.0,22.0,Yshzkx,O,1249534.0,3.0,JRHXPUUHAFHDPF,a,394.0,ogmes,Honolulu,5.0,1-518-116-1411,United States of America,Ysh7574,OH,CH2M Hill,Opybrukftspofebjmspkjsgtobzsp
0.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,U,,497953.0,57.0,Mosqjrkdycyygfsljqadgfqoldb,O,3789880.0,1.0,yvntcqjqqmbftwetvbqgclcdbxspvk,I,658.0,JUBKXDKP,Albuquerque,0.0,1-696-359-4829,United States of America,Mos7575,New Brunswick,Tellabs,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW
