St,NumCreCa,LaNa,AgID,Co,Ge,NWo,MaSta,Ag,CreRa,Ci,Em,MiIn,NumCh,FirN,PoCo,AddrLi1,Inc,AddLi2,NuCa,OORFl,Pho
Saskatchewan,3.0,dgcnbxfhc,dgc7511,United States of America,m,490443.0,M,72.0,,Greensboro,Interstate Bakeries,,1.0,Zaijioc,NCEVKLQEEWTA,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,210038.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,5.0,O,
NE,9.0,lqlslgqsvyfxqnzuwbfg,lql7512,Canada,,3348923.0,M,40.0,318.0,Concord,eBay,,5.0,Mdwdjpdfmbqjaygkfqzqx,DODDIDDHXS,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,307402.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,4.0,O,1-268-630-3843
AR,4.0,Wskjvrujdwku,Wsk7513,United States of America,m,331799.0,D,8.0,613.0,Colorado Springs,Boise,,1.0,Ccbccgvldfvoqtzestvkwunn,Oqnzttrldq,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,,ucxdpiwilpxxhv,4.0,R,1-915-548-9541
IL,4.0,Ffshsiomkzjonhxjhunfsao,Ffs7514,,,1167013.0,U,10.0,786.0,Mobile,MDU Resources Group,v,1.0,nyakrhdyxravdnhgbtol,Lwbawk,,432425.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,4.0,R,1-536-880-0961
VA,10.0,Kvvverfkpazpzzkrqniixrhnw,Kvv7515,United States of America,,3960216.0,U,24.0,,Thousand Oaks,Freescale Semiconductor,F,3.0,NDNBTVCLKSC,Ppsrzjdtg,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,122041.0,,0.0,O,1-494-335-6022
ID,5.0,mpzqnwnrmaozfsstcqtrc,mpz7516,United States of America,f,242246.0,M,18.0,623.0,Rochester,Superior Energy Services,G,4.0,Zmstbluqkipzaojfsomtbdddguq,,,302205.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,1.0,O,1-814-158-3550
TX,1.0,Jhcbaxyzijphmmvpampdgvgisnab,Jhc7517,United States of America,F,1217660.0,S,79.0,845.0,Garden Grove,Monsanto,s,1.0,dpqgvuaoijmkxsesvililpxcrwqe,,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,367555.0,Havgczldcpfmwfzj,1.0,O,1-420-580-0795
New Brunswick,7.0,dbqcukoddoiwg,dbq7518,United States of America,M,1229655.0,M,36.0,645.0,Tampa,Newfield Exploration,l,5.0,IHUGYGSRDWILVOFBAKUR,Rxdsunq,rpikmvtgwsrsoehxgmxwypaueiaheabrf,106025.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,4.0,U,1-924-305-1666
Alberta,1.0,Xchoxlbkffuvox,Xch7519,Canada,m,1157831.0,W,21.0,495.0,Fullerton,Loews,,2.0,aefotdcronamhkzsfpvifmobgchmsp,JXHVEEOU,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,106690.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,2.0,O,1-450-082-2122
PA,8.0,oirfujtvl,oir7520,Canada,m,,M,4.0,371.0,Washington,Apache,Z,2.0,jdeyqkerjerjpht,XHJQCDPOO,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,29373.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,2.0,O,1-573-009-1404
Nova Scotia,1.0,Fqbovz,Fqb7521,United States of America,M,,S,72.0,462.0,Norfolk,Robert Half International,O,3.0,Lwihnxoihqqrvjydsijd,rapkjpmvp,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,168189.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,2.0,R,1-603-897-9894
RI,7.0,qextfjyytqwbmdrlykbfnhvqrmota,qex7522,United States of America,,3467922.0,S,1.0,375.0,Sydney,Viacom,,,nmnervucuk,Slskxm,Dmyivtczopuqajpnjqvvgbhxynvduub,264756.0,Rirmrpvlknyho,,U,1-947-161-6502
OR,10.0,Hpiedhvkedqqdxsoedt,Hpi7523,Canada,,46859.0,S,98.0,516.0,Winnipeg,Robert Half International,,2.0,hgjkxxbf,FXHXLG,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,44480.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,1.0,U,1-586-826-9847
CA,,Fjdafgbcrml,Fjd7524,Canada,,2937668.0,,35.0,703.0,Wilmington,CSX,,5.0,Zangtryzlhmxo,ovlziicdezok,Esuycdxsjfbrqbtluspxsehk,87207.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,1.0,R,1-217-243-2668
MO,7.0,Cgtcmbl,Cgt7525,United States of America,,2388613.0,W,99.0,734.0,El Monte,Country Financial Services,,2.0,FFJGEQD,jsxcpvao,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,238434.0,Rpzwirgfyiw,4.0,O,1-857-211-5728
Prince Edward Island,4.0,Lwxudfgcqawccntqaucdaeym,Lwx7526,United States of America,M,3116283.0,M,49.0,469.0,Sterling Heights,Procter & Gamble,,2.0,Pdcxrihnl,Ykerbceq,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,0.0,U,1-089-966-6281
Quebec,2.0,epyxtfsrijhddstgaxkbgmlayjtk,epy7527,United States of America,,2671950.0,S,72.0,595.0,Pembroke Pines,Ingles Markets,,0.0,Zckhcacwaelzutaodqalxyjrkh,VVMSNWEBT,vnyndcximwxhecv,391354.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,3.0,O,
KS,1.0,Affcha,Aff7528,United States of America,m,3899593.0,U,41.0,410.0,Philadelphia,Forest Laboratories,M,0.0,sqrosgqnpifxjx,bibueqwbejem,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,419165.0,Acdrcqabtcdgmgl,3.0,O,1-231-342-6874
NV,10.0,mfcestd,mfc7529,Canada,,2537332.0,W,54.0,475.0,Glendale,Dentsply International,S,2.0,Erqzkkllazeobgthnmgsbtj,gehpynlk,,396509.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,3.0,O,
TN,2.0,Slfbmvc,Slf7530,United States of America,,733236.0,,11.0,,El Monte,RadioShack,S,2.0,Lcziayaozecoqqluasolkmmcldm,Piwlxtg,GVSBHGBDDVJFNNOZNNPJWCOI,145161.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,0.0,R,1-602-637-1838
WY,3.0,Cxuousxqyrfgjvpvuopyfguqva,Cxu7531,United States of America,,,W,0.0,519.0,Warwick,Century Aluminum,,5.0,Gcnczmuxviqaxtsdzmzhtro,Ujlshmosjkid,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,263206.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,2.0,O,1-003-982-8627
British Columbia,5.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,GZO7532,United States of America,,3397276.0,D,27.0,841.0,Milwaukee,,F,3.0,Rsoobsqytvjycob,cwburwnupuj,BIQIOQOHLQSTBRUFOI,190371.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,3.0,U,1-136-358-6852
LA,6.0,DRWTVTDSG,DRW7533,United States of America,,2444257.0,U,95.0,540.0,Phoenix,FPL Group,A,1.0,Pjvadgt,CNEZMHTKIAEV,Llfaqkbemnoy,203968.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,3.0,O,1-123-528-2965
HI,10.0,setksinlvlrjwnfu,set7534,United States of America,f,71520.0,U,35.0,540.0,Anchorage,Lockheed Martin,N,3.0,GUBKOKITTSKVYM,kixvppuqtd,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,428323.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,1.0,R,1-136-565-2501
NY,6.0,Pyoixliri,Pyo7535,United States of America,,1911091.0,M,96.0,,Madison,Sanmina-SCI,,1.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,jrhynxfi,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,159980.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,4.0,O,1-317-986-1984
TX,6.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,FSH7536,Canada,M,988775.0,W,96.0,424.0,Fontana,Iron Mountain,,0.0,Kuteauo,dnhtjyu,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,266852.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,0.0,O,1-265-603-1262
AZ,2.0,Tdxyljuxporjhdumcvfmv,Tdx7537,United States of America,,3919363.0,M,49.0,623.0,Charlotte,OfficeMax,,5.0,Hkfofpndygljbeo,YKOVOTYB,,206973.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,5.0,R,
ME,4.0,Sbnxcsrozzcufdoyvckpplofysx,Sbn7538,Canada,,428918.0,S,,792.0,Richmond,AMR,O,1.0,Kengxgsu,WNNMWJ,atydogjpqphuwhegtbukkqiaeakrtrn,258221.0,XHQNMCEJKXOQYVSZVESLKC,5.0,O,1-156-668-6882
NH,6.0,Piqizouhxiw,Piq7539,United States of America,f,58134.0,S,27.0,718.0,Santa Clarita,Kohl's,C,4.0,Plywuoa,Oktkljv,Hlotorcbtobuceb,428508.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,4.0,O,1-164-648-3203
KY,6.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,IXD7540,,M,3703767.0,M,98.0,401.0,Yellow Knife,Cigna,,0.0,zfcwsxpjzyqelkxg,,gsrdigbqfwrahybxrtm,,Toumjfbsumpgfuskpydjeibaxi,4.0,O,1-839-795-1027
Prince Edward Island,2.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,wsn7541,United States of America,,433859.0,M,,557.0,Oxnard,West,,5.0,Yxvczhqjwgnhowiu,GXFLSISZUY,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,58953.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,4.0,R,1-958-412-4252
British Columbia,7.0,Jkpmtcj,Jkp7542,United States of America,M,3002044.0,W,56.0,393.0,Huntington Beach,Monsanto,A,5.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,gzexcrngivl,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,409682.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,5.0,O,1-392-335-1020
CT,10.0,CCFFVCOHCLUUXZIQTCFCUHEYN,CCF7543,United States of America,M,1124168.0,M,94.0,557.0,Durham,Reliant Energy,,4.0,Vfrdst,yzoikhwrd,,340191.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,2.0,,1-912-050-7605
WA,5.0,yljvuglvt,ylj7544,United States of America,,2081541.0,U,98.0,465.0,Naperville,Idearc,,5.0,Hqcswumjvwbemosmy,Gdbktega,RELJYREDKQEKGOORBLRKOUIC,238216.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,4.0,O,1-075-551-9919
ND,6.0,ZBBXAWVJAAL,ZBB7545,Canada,F,1897076.0,M,8.0,,Albuquerque,Neiman Marcus,V,1.0,Ectbhkmbvwkwdbn,Kdcqzpvf,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,113171.0,hkyochorqgtokxgozmoncalaaiw,0.0,O,1-013-611-2674
ID,10.0,fqekemquvstw,fqe7546,United States of America,m,235172.0,W,90.0,485.0,Newark,O'Reilly Automotive,,,Bdbgqpllbnrmiirpct,Tbwgwtmgcu,Yewxbqpnfgh,234797.0,Datdnghoiymltcayulgkgxywi,5.0,,1-656-865-7544
Quebec,2.0,Wpwhilrlzng,Wpw7547,United States of America,,639573.0,M,34.0,303.0,Miami,Cliffs Natural Resources,,2.0,Ftszluaxcsoxdfbmdd,Mwmfs,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,225322.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,4.0,,1-879-870-7379
ID,4.0,vpzxgcwljllsq,vpz7548,Canada,,2667082.0,W,25.0,846.0,London,Health Management Associates,,2.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,goelqgcts,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,192689.0,,1.0,O,1-366-625-9813
AL,1.0,Yfzmtcvxc,Yfz7549,Canada,,2598634.0,,50.0,621.0,Worcester,Chevron,,4.0,Kkiolpmrgzmnjanqc,ucwygjzs,VDBAVRMWFYBDZUILPKFXIVIYGFUU,348685.0,,5.0,O,1-359-462-7089
UT,,douvwdwiwrxoivzaojazinrhswjv,dou7550,United States of America,,1074671.0,D,85.0,331.0,Jacksonville,Exide Technologies,,4.0,unzegilpp,fjlfqftwg,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,401229.0,,3.0,O,
MS,9.0,FDJOVRSOCWEIKZ,FDJ7551,United States of America,M,2272997.0,M,60.0,401.0,Nashua,Convergys,,4.0,xetqkitwlh,Tocujgaiaq,hfuyqlsmbesrylepu,38597.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,5.0,R,1-153-396-8333
AK,0.0,ufutrfkevxnbupjcetrpltw,ufu7552,United States of America,,702000.0,S,95.0,644.0,Newport News,Dominion Resources,,2.0,TWRRGULRYKYUWZYBQQFMIFFKVK,kurjmmgixxfd,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,2.0,R,1-144-623-1308
VT,5.0,bbgzmquoeecumw,bbg7553,United States of America,m,1289800.0,M,8.0,769.0,Corona,Sentry Insurance Group,H,1.0,Yqfljvgkfucafpjpamdtcppiipc,cnsavindoi,qgjnvpwvmgsqzcanzncon,161204.0,NBSHKLXYVUUWXEQSGXR,4.0,R,1-269-220-8046
LA,2.0,Znkkdbkvxcxeuackyodqlkpl,Znk7554,,f,1007390.0,M,31.0,481.0,Lincoln,Cintas,v,4.0,mjeasoritwctufyojamzbeeoo,MQBSAUVQRPYE,HNBGLUDIOAJRCCIXGDUQOO,202650.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,3.0,O,1-052-524-0130
CT,7.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,CGQ7555,Canada,F,124290.0,U,51.0,732.0,Toronto,Medtronic,T,2.0,Udxaujgiratgthwkvdibgvwfo,vadbnvz,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,1.0,O,1-335-871-6660
UT,2.0,addxtssyhezwro,add7556,United States of America,,1820002.0,M,24.0,802.0,Fayetteville,Pride International,,4.0,GHFUKZPOKMXWZF,Ljurvnigr,dnlleihfh,492433.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,4.0,O,1-637-394-8083
IN,5.0,Anwyusqezrjppzkaevffwljm,Anw7557,Canada,,2200347.0,M,78.0,329.0,Charlotte,A. Schulman,J,4.0,ybtkiifyhbgchnuctnhnqspk,BQDMQVFTNBRJ,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,344858.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,2.0,O,1-706-795-4208
WI,0.0,Hvtanebvipbdd,Hvt7558,United States of America,m,3669569.0,W,56.0,839.0,Tulsa,Oneok,,0.0,Fhkymmgjsbmpduuffgavhfcxm,jkcul,Wsjaujjdexc,197290.0,nqcozjievwzk,5.0,R,1-622-347-5699
WA,,Yqjaammjlhgpw,Yqj7559,United States of America,,2140537.0,U,50.0,539.0,Winston-Salem,Danaher,d,,DEZDTMSMWKALBRPALCFIME,Nelny,Ojberg,283654.0,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,2.0,,1-042-017-9368
LA,4.0,Ztnstwpjxatqveppicohpzilnn,Ztn7560,United States of America,F,3258909.0,M,52.0,561.0,Thousand Oaks,Del Monte Foods,,5.0,phoxfeiqoldgmnojmzunmargkla,Qsggz,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,317423.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,4.0,R,1-829-935-5979
VT,2.0,bnizllrrofn,bni7561,United States of America,F,1825422.0,W,14.0,814.0,Lubbock,American Electric Power,,5.0,Upuabfflh,Drofa,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,399126.0,Lfrjkyblujmbxigmylpsxieswspmei,4.0,O,1-076-726-5283
CT,7.0,swxorhmdydwbrtdqxroghsddlpbdgi,swx7562,United States of America,,1845263.0,M,29.0,305.0,Winnipeg,TJX,,0.0,owagfolbfwjzeg,Ssovhtmt,Xwtkpxqgohxwxnv,398180.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,5.0,R,
RI,4.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,DSA7563,United States of America,f,1463114.0,S,50.0,457.0,Laredo,Philip Morris International,P,4.0,Qdmppehqxloc,Tnprhljfrlj,Qpvmtkxxfef,,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,2.0,O,1-284-129-5920
SC,8.0,BXZUTWBUFSGPPXKR,BXZ7564,United States of America,,2354683.0,U,67.0,349.0,Overland Park,Cincinnati Financial,,1.0,jqbetxkci,Bkxujhonjgjk,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,485429.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,4.0,O,1-128-308-8886
British Columbia,0.0,pczqycbwefse,pcz7565,United States of America,,436677.0,M,22.0,590.0,Calgary,Stryker,,0.0,Wsmywgbvwspgdwhmdxsqjwqb,mrjrjhgnwcdu,KRYAIAJGKHBKXBLC,118018.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,2.0,O,1-145-469-5971
CO,0.0,Zqaknviqngvemehvpzrcgkcvre,Zqa7566,United States of America,m,2383335.0,U,20.0,533.0,Peoria,Kansas City Southern,,4.0,ocgwi,Yusezkfgs,,309693.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,5.0,O,1-727-684-7767
TN,9.0,Htltlfnvjctvvdvulpkhcbyfi,Htl7567,Canada,,2574739.0,W,75.0,686.0,Durham,IDT,z,0.0,Pcotdnngmurhkcd,RKXTQAO,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,90718.0,IBQIDE,4.0,O,1-776-201-2472
CA,10.0,afwafvxxdr,afw7568,United States of America,F,1596838.0,U,60.0,582.0,Pueblo,Vornado Realty Trust,L,0.0,bvcosqzcleknjzvkygbawlc,UBQSATXZO,VBDCWYVK,280645.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,2.0,O,1-767-942-1278
WY,0.0,Wnakgzhqfhtavtvegjtdmdosnjr,Wna7569,United States of America,,591965.0,S,,807.0,Las Cruces,Dollar General,,4.0,ECLENELTSXGTNWOP,BHRNWQLFVFA,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,231559.0,Lrebujnrg,,O,1-723-062-7266
SD,3.0,Mlheqxaigtvjaynkffyqkpu,Mlh7570,United States of America,,3071440.0,S,48.0,819.0,Chula Vista,Safeway,,5.0,Xdwexmrjat,Ktmzav,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,36898.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,3.0,O,
British Columbia,5.0,Gorjnqxjtefmomsbmtnogaerx,Gor7571,United States of America,,2683081.0,M,91.0,311.0,San Diego,Apache,,0.0,xjwnvwdryqpcehelwzfhkkiuus,Nfpchgfj,Gwxymofcy,396786.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,2.0,R,1-145-314-0862
NJ,3.0,ENXOMNHFVPYQSABETPUEKRKCL,ENX7572,United States of America,f,3850483.0,U,98.0,734.0,Chicago,Lowe's,,5.0,RNBABCYAFMQPBOHXNUXMXNU,Wuywecohosfi,Qynjnmfgwxpmrw,344365.0,Hxutrprq,2.0,O,1-735-104-7772
AK,1.0,fgrdzzudzmwlluff,fgr7573,United States of America,,1870617.0,W,51.0,432.0,Worcester,Lithia Motors,,1.0,Eyrtrqkljywvbcice,tibxlojrqiha,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1205.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,4.0,O,
OH,3.0,Yshzkx,Ysh7574,United States of America,m,1249534.0,S,22.0,394.0,Honolulu,CH2M Hill,a,0.0,Opybrukftspofebjmspkjsgtobzsp,ogmes,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,276666.0,JRHXPUUHAFHDPF,5.0,O,1-518-116-1411
New Brunswick,1.0,Mosqjrkdycyygfsljqadgfqoldb,Mos7575,United States of America,,3789880.0,U,57.0,658.0,Albuquerque,Tellabs,I,0.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,JUBKXDKP,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,497953.0,yvntcqjqqmbftwetvbqgclcdbxspvk,0.0,O,1-696-359-4829
IL,3.0,czuvw,czu7576,Canada,,3874445.0,M,38.0,348.0,Oakland,Phillips-Van Heusen,,2.0,kpofwgtomgijnm,Xbgykqm,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,156048.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,1.0,O,1-352-678-5471
