OwnOrRentFlag,State,MaritalStatus,MiddleInitial,Age,Employer,NumberCreditCards,Country,Phone,NumberCars,AddressLine1,AddressLine2,City,Income,LastName,NumberChildren,AgencyID,CreditRating,NetWorth,Gender,FirstName,PostalCode
O,RI,M,,96.0,Discovery Communications,6.0,United States of America,1-171-807-8213,4.0,9828 west east,,Charlotte,413501.0,kinley,5.0,kin63,711.0,1171606.0,f,Abdalla,90849
O,NC,M,,38.0,Williams-Sonoma,1.0,United States of America,1-056-241-7009,4.0,5935 mcafee park,,Waterbury,,MALAHER,,MAL64,606.0,3983261.0,,bal,43644
O,SD,W,J,10.0,Manitowoc,0.0,United States of America,1-389-414-0570,3.0,12460 CLAYTON STREET,,Chesapeake,419143.0,Odum,3.0,Odu65,494.0,2328568.0,,Romy,99213
O,IL,M,,72.0,Henry Schein,3.0,United States of America,1-583-542-1656,1.0,275 3rd drive,,Hialeah,155057.0,DI NINNO,5.0,DI 66,309.0,2078600.0,,KORAL,72226
O,OR,M,K,97.0,Trinity Industries,3.0,United States of America,1-269-712-0672,2.0,6907 FERNCLIFF CRESCENT,,Charleston,313859.0,STUBBLEFIELD,5.0,STU67,630.0,2986155.0,,YUKIHIKO,V6Z 1Q9
O,Ontario,S,,48.0,Pepsi Bottling,10.0,United States of America,1-670-102-0463,4.0,885 crosby lane,,Salem,265907.0,HAMBALI,1.0,HAM68,330.0,1864039.0,,Khanh,20082
O,FL,S,,97.0,UGI,9.0,Canada,1-699-726-3895,,2344 kalani west,,Sacramento,283481.0,LIBRARIAN,0.0,LIB69,710.0,1293721.0,m,Darnell,35827
R,NM,M,,73.0,Greif,7.0,United States of America,1-640-666-2876,4.0,22870 LA CIENEGA STREET,,Santa Clarita,200635.0,ohsone,0.0,ohs70,475.0,3850114.0,M,feridoun,99692
O,NE,U,O,71.0,Equifax,3.0,United States of America,1-540-639-1311,0.0,8478 green avenue,APT. 143,Sherbrooke,434519.0,HUMMEL,1.0,HUM71,596.0,1618743.0,,Magdy,V6c 1q5
O,MI,W,,93.0,,9.0,United States of America,1-285-874-8492,5.0,23639 purdue rue,,Colorado Springs,392315.0,BRADD,1.0,BRA72,670.0,3383487.0,,jiri,80158
O,New Brunswick,U,X,53.0,Freescale Semiconductor,,United States of America,1-121-904-0040,5.0,19202 ansley park,,Berkeley,493829.0,Boarder,3.0,Boa73,722.0,2981876.0,,AILA,t6d 1b6
O,NJ,U,,32.0,Aleris International,7.0,United States of America,1-017-842-3201,3.0,11319 devonshire rue,,San Buenaventura,97489.0,Mcnally,2.0,Mcn74,587.0,2109339.0,,Vincenzo,33120
O,ND,S,,1.0,,4.0,United States of America,1-215-859-3206,4.0,23665 deerwood park,,New Haven,,MARKOVICH,3.0,MAR75,609.0,791803.0,F,Minnnie,99742
O,Saskatchewan,S,,39.0,World Fuel Services,7.0,United States of America,1-764-520-7470,0.0,4855 union north,,Shreveport,383046.0,Willekes,1.0,Wil76,401.0,3523678.0,f,alfonzo,V6N 1T1
,KS,M,S,77.0,R.R. Donnelley & Sons,0.0,United States of America,1-414-130-0162,4.0,9466 SHADOWBRIAR WEST,,Lansing,1190.0,Deacetis,0.0,Dea77,335.0,1681902.0,m,Swandi,44104
O,SD,U,,18.0,Brinker International,7.0,United States of America,1-970-240-9990,5.0,3504 regency avenue,,Pembroke Pines,85733.0,Houk,5.0,Hou78,569.0,3851455.0,,Anya,14605
R,FL,M,,70.0,Temple-Inland,9.0,Canada,1-408-684-6459,0.0,7281 northland lower,,Palmdale,387890.0,Goyette,2.0,Goy79,,2339382.0,,Enrika,80076
O,Saskatchewan,S,Z,26.0,Psychiatric Solutions,7.0,United States of America,1-330-353-5908,2.0,12481 hayden lower,,Savannah,16808.0,Mok-fung,0.0,Mok80,679.0,,f,SONJA,V6I 1V6
,FL,M,I,,Nash-Finch,10.0,United States of America,1-766-726-2675,,2328 gracie avenue,,Amarillo,304589.0,Rundle,4.0,Run81,356.0,2065016.0,,Liem,97307
R,UT,S,,58.0,AMR,9.0,United States of America,1-938-425-7509,2.0,4737 campbell street,,Anchorage,48506.0,BELLEY,5.0,BEL82,308.0,2454049.0,o,COLLETTE,46237
O,WY,M,Y,43.0,Spartan Stores,4.0,United States of America,1-527-308-8874,0.0,2401 stratmore lower,,Louisville,,BAER,4.0,BAE83,412.0,2423395.0,,SIAMACK,V6B 1S6
O,NH,D,,65.0,Cigna,4.0,United States of America,1-810-590-0635,2.0,21477 JUNIPER CRESCENT,,Hilo,358862.0,MAULDIN,3.0,MAU84,618.0,1342045.0,f,Toshihiro,H2d 1x1
O,AR,S,,24.0,General Cable,5.0,United States of America,1-274-548-2512,5.0,19214 YAUPON BOULEVARD,,Sudbury,477614.0,Koohgoli,3.0,Koo85,429.0,861756.0,,Casey,95108
O,CT,S,,79.0,Dun & Bradstreet,3.0,United States of America,1-649-754-4601,3.0,7785 rusk boulevard,,Orlando,175414.0,Lauriston,1.0,Lau86,819.0,1215349.0,,Daryn,80050
O,VT,M,L,48.0,Casey's General Stores,7.0,Canada,1-905-932-1785,0.0,18002 cantrell upper,,Missoula,427598.0,Mangum,1.0,Man87,552.0,3981554.0,F,Adrianna,90122
O,Manitoba,S,,69.0,Jack in the Box,9.0,United States of America,1-031-004-7697,0.0,23341 brookside upper,,Abilene,368207.0,PIERCY,4.0,PIE88,587.0,3865937.0,,Cortney,43614
O,NJ,S,,91.0,Assurant,6.0,United States of America,1-994-812-4796,3.0,20494 ROSS WEST,,Saskatoon,449944.0,Buscaglia,1.0,Bus89,304.0,2804700.0,M,Duane,61110
U,KY,,,75.0,Psychiatric Solutions,4.0,United States of America,1-176-513-4041,5.0,17552 SAVANNAH NORTH,,Irvine,166247.0,BABIONE,5.0,BAB90,795.0,3283558.0,,Tele,70174
O,GA,S,,85.0,Danaher,2.0,United States of America,1-072-244-6337,1.0,4462 pace crescent,APT. 373,Reno,391165.0,Burkard,3.0,Bur91,830.0,450524.0,M,Ophelia,90324
R,NJ,M,,76.0,Clorox,3.0,United States of America,1-924-669-9328,5.0,7161 tallowood upper,,Sacramento,165854.0,Kinsella,3.0,Kin92,709.0,,,lorine,s7d 1n1
O,SC,S,,68.0,Boyd Gaming,8.0,United States of America,1-598-488-3541,2.0,3489 silver sage west,,Topeka,326181.0,POMMAINVILLE,1.0,POM93,493.0,,,Viole,93829
O,TN,M,,95.0,Eaton,,United States of America,1-295-539-3868,3.0,12481 hayden lower,,Rancho Cucamonga,173387.0,BOATWRIGHT,,BOA94,680.0,633760.0,M,Nani,89116
R,WY,M,R,15.0,Dynegy,,United States of America,1-554-020-0267,1.0,13210 3RD DRIVE,,Hilo,301127.0,Ronald,5.0,Ron95,800.0,3634954.0,,cherey,94315
R,Ontario,M,A,17.0,AmeriCredit,4.0,United States of America,1-793-621-4566,1.0,8899 starling lane,,Saint John,487230.0,weihs,5.0,wei96,614.0,799268.0,,Redgie,T5b 1u9
R,DC,,P,94.0,SLM,6.0,Canada,1-787-267-4261,4.0,11480 fennel south,,Torrance,425747.0,Helpb,0.0,Hel97,763.0,39093.0,M,Yousef,T6b 1a5
O,Alberta,S,,70.0,NV Energy,3.0,United States of America,1-668-247-1597,4.0,7266 cherry upper,,Santa Clara,401946.0,moghe,4.0,mog98,561.0,2705353.0,m,Damaris,60699
O,ME,S,,29.0,Landstar System,4.0,United States of America,1-901-346-8890,1.0,10678 ENGLEWOOD WEST,,Torrance,425422.0,bozicevich,2.0,boz99,569.0,3565153.0,,Ilyssa,V6p 1s8
O,MA,M,R,52.0,Pacific Life,5.0,United States of America,1-451-273-3803,4.0,21181 2ND RUE,,Stockton,208890.0,Zaharychuk,1.0,Zah100,634.0,2832204.0,,Moselle,v6i 1p1
O,NV,U,,51.0,Textron,10.0,United States of America,1-129-499-9136,5.0,22963 hanover road,,Paterson,67880.0,Andric,3.0,And101,488.0,2194345.0,F,Dulsea,79423
O,WA,W,L,24.0,Pfizer,5.0,Canada,1-899-319-0772,2.0,8268 cliffbrook boulevard,,Mesa,133412.0,Bamfo,3.0,Bam102,788.0,3737140.0,,Lyndsie,H5j 1o6
O,WY,D,,98.0,Cigna,8.0,United States of America,1-053-396-0441,3.0,5118 montview court,,Anchorage,144829.0,frondozo,4.0,fro103,333.0,464753.0,,KESLEY,93761
U,NJ,M,J,59.0,Ameren,,United States of America,1-239-665-9540,1.0,17442 tallowood upper,,Miami,,Caron,1.0,Car104,601.0,596696.0,,LAUREL,76150
O,LA,U,V,49.0,Consolidated Edison,2.0,Canada,1-605-888-3403,3.0,4038 WEDGEWOOD STREET,,Great Falls,143682.0,muchow,4.0,muc105,595.0,1504753.0,f,Steen,99717
O,TX,U,,1.0,Occidental Petroleum,10.0,United States of America,1-630-604-2543,0.0,20334 anaconda avenue,,Erie,350020.0,gateau,1.0,gat106,433.0,3049281.0,,noel,60608
O,SC,U,M,79.0,Sherwin-Williams,10.0,United States of America,1-851-862-7928,0.0,5385 young west,,Hollywood,435103.0,Schaefer,,Sch107,403.0,247478.0,F,Tracey,v6w 1u4
R,TX,,,6.0,Affiliated Computer Services,3.0,United States of America,1-065-415-5724,1.0,2747 SINCLAIR LANE,,Tulsa,207768.0,pomerleau,5.0,pom108,615.0,2750301.0,,Sarajane,T5b 1t6
O,MN,M,K,70.0,Valassis Communications,1.0,United States of America,1-408-512-1007,0.0,8622 BROWNWAY PARK,,Tucson,407512.0,cucuzzella,4.0,cuc109,735.0,721333.0,F,Geoffrey,23298
O,ID,S,Z,23.0,,1.0,United States of America,1-083-902-4184,3.0,18048 GREEN NORTH,,Anchorage,403366.0,SUGARMAN,0.0,SUG110,668.0,669440.0,q,loralyn,32803
O,MI,M,,78.0,Smithfield Foods,,Canada,1-568-403-7081,3.0,18994 country boulevard,,Sandy,384095.0,Pepe,5.0,Pep111,349.0,2473979.0,,andrei,64122
,OK,S,,79.0,,,United States of America,1-824-389-0618,4.0,16063 ashland road,SUITE 7,Boston,288969.0,Chandrashekar,,Cha112,654.0,3545170.0,f,javad,T6b 1h2
O,UT,U,U,72.0,TD Ameritrade,6.0,United States of America,1-174-210-2058,2.0,19309 mcfarlin north,Apt. 971,Vancouver,233665.0,SEIFERS,3.0,SEI113,361.0,1494871.0,m,Karna,22222
U,PA,S,S,31.0,Comerica,1.0,Canada,1-425-503-7952,4.0,2454 cliffbrook west,,Akron,147236.0,GARTLEY,0.0,GAR114,427.0,436164.0,F,Jocelyn,T6a 1d2
O,New Brunswick,W,,86.0,Steel Dynamics,1.0,United States of America,1-012-389-9089,0.0,15865 strand west,,Lancaster,452557.0,Touchette,3.0,Tou115,322.0,1069481.0,M,Elvera,v5d 1n9
R,UT,S,V,,Coca-Cola Enterprises,9.0,United States of America,1-909-472-6704,2.0,13776 east boulevard,,Concord,179305.0,Kurdziel,0.0,Kur116,792.0,,M,Nessy,23321
O,VA,U,,87.0,News Corp.,2.0,Canada,1-622-167-5411,3.0,10570 WEIZMANN LOWER,,Chesapeake,205817.0,Herod,0.0,Her117,478.0,2957261.0,,lona,90505
O,NH,M,P,92.0,,1.0,United States of America,1-164-511-9338,,15278 walnut hill road,,Flint,262711.0,MCVICAR,5.0,MCV118,477.0,228459.0,,RHEA,19066
O,VT,M,,4.0,Stater Bros. Holdings,6.0,Canada,1-804-532-9163,1.0,23007 WAKEFOREST WAY,,Chattanooga,84810.0,LABFIVE,5.0,LAB119,449.0,67267.0,F,Josefa,v6s 1r3
O,FL,U,,8.0,BorgWarner,2.0,United States of America,1-197-370-0297,2.0,9088 rivas way,,Billings,96441.0,butta,4.0,but120,466.0,1087978.0,,alikee,78769
O,NC,M,,97.0,CB Richard Ellis Group,2.0,United States of America,1-337-042-5687,0.0,18798 ullrich road,,Scottsdale,462762.0,Projects,5.0,Pro121,483.0,3885967.0,m,dolorita,53769
O,VA,D,,,Zimmer Holdings,4.0,United States of America,1-056-138-5321,5.0,18517 HULEN LOWER,,Oshawa,141890.0,Irc,4.0,Irc122,588.0,3271101.0,,Marilyn,H7E 1U6
O,DC,,G,40.0,Mohawk Industries,2.0,Canada,1-776-191-2031,5.0,11474 dodd lane,,Naperville,156610.0,Zivkovic,5.0,Ziv123,313.0,,,robertson,e7o 1k1
R,NC,U,H,95.0,Berkshire Hathaway,1.0,United States of America,1-280-696-2706,1.0,9375 wood south,,Tampa,164752.0,simser,4.0,sim124,647.0,1999133.0,,Ilsa,90374
O,MS,S,I,92.0,Saks,2.0,United States of America,1-857-581-6346,1.0,20479 wise avenue,,Jackson,278949.0,keifer,5.0,kei125,430.0,1100786.0,,Pen,63169
O,SC,W,P,67.0,Gardner Denver,8.0,United States of America,,0.0,19918 ROGERS NORTH,,Hay River,,arvin,5.0,arv126,467.0,563992.0,f,AUBRETTE,16515
O,KS,M,,24.0,Hasbro,7.0,United States of America,1-716-343-0884,3.0,9284 coffey lower,,Irvine,463736.0,Praeuner,2.0,Pra127,399.0,962397.0,F,Cole,85309
O,VT,M,C,26.0,CBS,5.0,United States of America,1-101-776-2496,2.0,2929 north crescent,,Idaho Falls,,lue,3.0,lue128,654.0,1064169.0,m,liva,92158
O,IL,S,,62.0,Synnex,3.0,United States of America,1-769-028-0589,2.0,15404 queen street,,Moreno Valley,86667.0,Przybycien,0.0,Prz129,378.0,2100059.0,f,Ayaz,33152
O,FL,W,J,37.0,Belden,10.0,United States of America,1-005-833-8970,5.0,1619 greenspoint road,,Ontario,193470.0,penn,1.0,pen130,338.0,99025.0,f,YETTY,83729
R,MI,S,S,71.0,Broadcom,10.0,United States of America,1-884-215-4243,5.0,21477 WARREN PARK,,Concord,406379.0,Guay,0.0,Gua131,695.0,3865481.0,,Mary-michelle,B8b 1z6
U,Newfoundland,M,,29.0,Reynolds American,7.0,Canada,,1.0,6503 ROBBINS STREET,,Phoenix,480595.0,brennand,3.0,bre132,614.0,804544.0,F,agretha,53717
O,ME,S,X,89.0,Wells Fargo,7.0,United States of America,1-725-177-7815,4.0,3958 GLEN LOCH BOULEVARD,,Coral Springs,181718.0,Savanh,5.0,Sav133,307.0,3143356.0,f,LOTTY,t5c 1w7
O,AL,M,Z,11.0,Retail Ventures,2.0,United States of America,1-277-496-5396,0.0,13640 ethridge lower,,Oxnard,468310.0,ABBATANTUONO,3.0,ABB134,331.0,,,Kassey,37245
O,IN,S,N,20.0,AT&T,2.0,United States of America,1-756-463-2201,2.0,3981 imperial lower,,Brownsville,354987.0,OP,0.0,OP135,638.0,2311953.0,M,Adria,94401
O,NH,W,,75.0,Wynn Resorts,3.0,Canada,1-261-338-7463,3.0,13210 3rd drive,,Memphis,284539.0,Mersinger,5.0,Mer136,703.0,3120608.0,,audivox,B8a 1y3
O,DC,S,,95.0,Eastman Kodak,7.0,United States of America,1-811-086-4675,0.0,9297 THROCKMORTON SOUTH,,Flint,213725.0,rutt,5.0,rut137,302.0,2058270.0,F,SUE,t6b 1k2
O,DC,U,I,0.0,Aramark,,United States of America,1-338-771-1185,2.0,8935 YOUNG UPPER,,Lafayette,74195.0,bemis,3.0,bem138,522.0,1511983.0,,Lorenza,85306
O,MD,M,,73.0,ENSCO International,,United States of America,1-554-231-5318,5.0,3797 RUTGERS PARK,,Greensboro,169295.0,Pennington,1.0,Pen139,,439080.0,,Enzo,V6R 1R7
R,Prince Edward Island,W,Y,39.0,Auto-Owners Insurance,5.0,United States of America,1-733-886-5227,1.0,8285 tamarind crescent,,Sterling Heights,307832.0,torok,0.0,tor140,833.0,921255.0,M,claudina,68513
