AgencyID,Age,NumberChildren,PostalCode,Country,MaritalStatus,LastName,FirstName,MiddleInitial,Gender,AddressLine1,AddressLine2,City,State
WIN20,59.0,0.0,94467,United States of America,U,WINTERS,Rong-chin,P,M,11358 elle lee street,,Costa Mesa,PA
BIT21,94.0,3.0,94321,United States of America,U,BITTMAN,Darlleen,,,21074 MALLORY LOWER,,Berkeley,MD
luz22,,1.0,C2a 4w7,United States of America,U,luzarraga,Radoslav,V,f,16124 weyland park,,St. Louis,TX
don23,5.0,0.0,35808,United States of America,,donovan,Aryn,S,,23822 marvin crescent,,Colorado Springs,IN
Gia24,23.0,5.0,M5f 1v6,United States of America,M,Giallo,Allisan,T,,2203 valita boulevard,,Fontana,MD
SPR25,61.0,1.0,99539,United States of America,M,SPRUELL,Ammamaria,,M,11538 COLLINWOOD AVENUE,,St. Catharines,KY
SKA26,,1.0,95055,United States of America,D,SKALSKI,Mari,,F,7818 EAST STREET,,Hayward,CA
Gar27,51.0,,93686,United States of America,S,Gargul,Anica,,m,10013 shaw road,,Palmdale,FL
Dor28,97.0,1.0,75218,United States of America,M,Dore,Melba,,,6802 AMES STREET,,Phoenix,Newfoundland
DIO29,52.0,2.0,91174,United States of America,,DIOGO,Tracee,X,,22501 SUMMIT RUE,,Gary,TX
Mer30,98.0,0.0,49515,Canada,S,Merrick,CANADIAN,,m,291 frances rue,,Beaumont,WA
Atc31,47.0,3.0,16506,United States of America,U,Atchison,Oue,R,,16264 sanders east,,Nashua,MN
Pla32,47.0,1.0,94383,United States of America,M,Plamondon,wallie,X,m,16068 cantey way,,San Jose,WY
SEL33,9.0,0.0,T6d 1b3,United States of America,M,SELCHOW,Andromache,E,F,21170 EDLOE BOULEVARD,,Nashua,NY
sha34,85.0,3.0,25339,United States of America,M,shane,THOR,Z,f,885 CROSBY LANE,,Fort Smith,SC
MER35,81.0,3.0,V6o 1v4,United States of America,M,MERWIN,SALAH,,,12235 jay street,,Lancaster,MS
con36,0.0,3.0,01852,United States of America,M,conrad,HOR-LAM,,,20340 LOMBARD CRESCENT,,Colorado Springs,UT
ons37,28.0,5.0,78230,United States of America,S,onsiteteam,Vania,,M,22074 dexter upper,,Washington,PA
Sum38,65.0,1.0,93770,Canada,U,Summerlin,Niel,,M,1540 MURIE RUE,,Lowell,OK
gro39,20.0,0.0,m4l 1n4,United States of America,S,grooms,ziad,F,,7075 glen loch drive,,Frederick,WY
dil40,55.0,1.0,22335,United States of America,M,dilkie,Claude,I,,11237 balmoral way,Apt. 382,Mesa,RI
DOL41,76.0,2.0,V6C 1T4,United States of America,U,DOLSON,AVTAR,,,8316 GARDEN BROOK NORTH,,Lakewood,HI
Pos42,1.0,1.0,M6t 1h3,United States of America,M,Posthumus,Donny,,,2240 clifton lower,,Cleveland,VA
Mac43,3.0,2.0,95263,United States of America,M,Machika,Cocos,,,20907 NOTINGHAM LOWER,,Grand Rapids,OK
che44,100.0,3.0,v5b 1p5,United States of America,D,chenoweth,ruud,,,601 carroll lower,,Peoria,Prince Edward Island
hol45,81.0,1.0,32318,United States of America,W,holbrooks,Belvia,,,18267 state drive,,Inglewood,SD
pfi46,76.0,4.0,93872,United States of America,S,pfieffer,ATHAR,,f,9270 LEAF SOUTH,,Akron,OH
elk47,51.0,3.0,92824,Canada,W,elkington,Cherey,Y,,18582 PERIMETER BOULEVARD,,Charlottetown,MA
Lab48,,5.0,e4a 1r2,United States of America,,Labenek,RAZ,,F,9612 park stream upper,,Bellevue,MD
laf49,58.0,2.0,H7G 1V4,United States of America,S,laferriere,kishore,Y,,2803 clearwater north,,Dover,Saskatchewan
Nor50,52.0,3.0,85039,United States of America,M,Norment,Nelleke,I,,11103 BISSONNET WEST,,Fullerton,WA
hag51,91.0,0.0,v6m 1q3,Canada,M,hagar,sibby,,,4652 outervale lane,,Denver,OH
Bet52,17.0,3.0,X7j 1r1,United States of America,M,Betcher,ericha,,m,341 dunbar west,,Dallas,WY
Van53,6.0,4.0,B8b 1z5,United States of America,S,Van der,Janson,,m,16176 vernon drive,,San Jose,NJ
O'L54,89.0,3.0,t5d 1v4,United States of America,S,O'LEARY,Dorotea,,F,23131 clint way,,Bellevue,ND
and55,99.0,4.0,V6t 1r2,United States of America,M,anderson,Denice,,m,11640 baltic upper,,San Buenaventura,NC
sta56,77.0,2.0,91177,Canada,M,starks,Myron,,,20796 dolores drive,,St. Louis,WV
CHA57,,3.0,T5c 1t1,United States of America,S,CHASSE,Barby,,,14359 COMMERCE WEST,Apt. 275,Pueblo,GA
ASI58,90.0,1.0,35862,Canada,W,ASING,Ariella,,R,21448 hampton boulevard,,Regina,Ontario
ask59,82.0,0.0,96820,United States of America,M,askins,ADEY,,f,7637 pershing way,,Saskatoon,MA
Kik60,,0.0,75238,United States of America,M,Kikuta,GAYEL,K,,11529 arcana boulevard,,Jackson,CA
Cha61,15.0,3.0,85769,United States of America,S,Chane,Man,,F,2700 windwood north,,St. Petersburg,SD
KIL62,,0.0,H5i 1o9,United States of America,D,KILLEN,Klara,U,m,22279 gramercy road,,Scottsdale,Saskatchewan
kin63,96.0,5.0,90849,United States of America,M,kinley,Abdalla,,f,9828 west east,,Charlotte,RI
MAL64,38.0,,43644,United States of America,M,MALAHER,bal,,,5935 mcafee park,,Waterbury,NC
Odu65,10.0,3.0,99213,United States of America,W,Odum,Romy,J,,12460 CLAYTON STREET,,Chesapeake,SD
DI 66,72.0,5.0,72226,United States of America,M,DI NINNO,KORAL,,,275 3rd drive,,Hialeah,IL
STU67,97.0,5.0,V6Z 1Q9,United States of America,M,STUBBLEFIELD,YUKIHIKO,K,,6907 FERNCLIFF CRESCENT,,Charleston,OR
HAM68,48.0,1.0,20082,United States of America,S,HAMBALI,Khanh,,,885 crosby lane,,Salem,Ontario
LIB69,97.0,0.0,35827,Canada,S,LIBRARIAN,Darnell,,m,2344 kalani west,,Sacramento,FL
ohs70,73.0,0.0,99692,United States of America,M,ohsone,feridoun,,M,22870 LA CIENEGA STREET,,Santa Clarita,NM
HUM71,71.0,1.0,V6c 1q5,United States of America,U,HUMMEL,Magdy,O,,8478 green avenue,APT. 143,Sherbrooke,NE
BRA72,93.0,1.0,80158,United States of America,W,BRADD,jiri,,,23639 purdue rue,,Colorado Springs,MI
Boa73,53.0,3.0,t6d 1b6,United States of America,U,Boarder,AILA,X,,19202 ansley park,,Berkeley,New Brunswick
Mcn74,32.0,2.0,33120,United States of America,U,Mcnally,Vincenzo,,,11319 devonshire rue,,San Buenaventura,NJ
MAR75,1.0,3.0,99742,United States of America,S,MARKOVICH,Minnnie,,F,23665 deerwood park,,New Haven,ND
Wil76,39.0,1.0,V6N 1T1,United States of America,S,Willekes,alfonzo,,f,4855 union north,,Shreveport,Saskatchewan
Dea77,77.0,0.0,44104,United States of America,M,Deacetis,Swandi,S,m,9466 SHADOWBRIAR WEST,,Lansing,KS
Hou78,18.0,5.0,14605,United States of America,U,Houk,Anya,,,3504 regency avenue,,Pembroke Pines,SD
Goy79,70.0,2.0,80076,Canada,M,Goyette,Enrika,,,7281 northland lower,,Palmdale,FL
Mok80,26.0,0.0,V6I 1V6,United States of America,S,Mok-fung,SONJA,Z,f,12481 hayden lower,,Savannah,Saskatchewan
Run81,,4.0,97307,United States of America,M,Rundle,Liem,I,,2328 gracie avenue,,Amarillo,FL
BEL82,58.0,5.0,46237,United States of America,S,BELLEY,COLLETTE,,o,4737 campbell street,,Anchorage,UT
BAE83,43.0,4.0,V6B 1S6,United States of America,M,BAER,SIAMACK,Y,,2401 stratmore lower,,Louisville,WY
MAU84,65.0,3.0,H2d 1x1,United States of America,D,MAULDIN,Toshihiro,,f,21477 JUNIPER CRESCENT,,Hilo,NH
Koo85,24.0,3.0,95108,United States of America,S,Koohgoli,Casey,,,19214 YAUPON BOULEVARD,,Sudbury,AR
Lau86,79.0,1.0,80050,United States of America,S,Lauriston,Daryn,,,7785 rusk boulevard,,Orlando,CT
Man87,48.0,1.0,90122,Canada,M,Mangum,Adrianna,L,F,18002 cantrell upper,,Missoula,VT
PIE88,69.0,4.0,43614,United States of America,S,PIERCY,Cortney,,,23341 brookside upper,,Abilene,Manitoba
Bus89,91.0,1.0,61110,United States of America,S,Buscaglia,Duane,,M,20494 ROSS WEST,,Saskatoon,NJ
BAB90,75.0,5.0,70174,United States of America,,BABIONE,Tele,,,17552 SAVANNAH NORTH,,Irvine,KY
Bur91,85.0,3.0,90324,United States of America,S,Burkard,Ophelia,,M,4462 pace crescent,APT. 373,Reno,GA
Kin92,76.0,3.0,s7d 1n1,United States of America,M,Kinsella,lorine,,,7161 tallowood upper,,Sacramento,NJ
POM93,68.0,1.0,93829,United States of America,S,POMMAINVILLE,Viole,,,3489 silver sage west,,Topeka,SC
BOA94,95.0,,89116,United States of America,M,BOATWRIGHT,Nani,,M,12481 hayden lower,,Rancho Cucamonga,TN
Ron95,15.0,5.0,94315,United States of America,M,Ronald,cherey,R,,13210 3RD DRIVE,,Hilo,WY
wei96,17.0,5.0,T5b 1u9,United States of America,M,weihs,Redgie,A,,8899 starling lane,,Saint John,Ontario
Hel97,94.0,0.0,T6b 1a5,Canada,,Helpb,Yousef,P,M,11480 fennel south,,Torrance,DC
mog98,70.0,4.0,60699,United States of America,S,moghe,Damaris,,m,7266 cherry upper,,Santa Clara,Alberta
boz99,29.0,2.0,V6p 1s8,United States of America,S,bozicevich,Ilyssa,,,10678 ENGLEWOOD WEST,,Torrance,ME
Zah100,52.0,1.0,v6i 1p1,United States of America,M,Zaharychuk,Moselle,R,,21181 2ND RUE,,Stockton,MA
And101,51.0,3.0,79423,United States of America,U,Andric,Dulsea,,F,22963 hanover road,,Paterson,NV
Bam102,24.0,3.0,H5j 1o6,Canada,W,Bamfo,Lyndsie,L,,8268 cliffbrook boulevard,,Mesa,WA
fro103,98.0,4.0,93761,United States of America,D,frondozo,KESLEY,,,5118 montview court,,Anchorage,WY
Car104,59.0,1.0,76150,United States of America,M,Caron,LAUREL,J,,17442 tallowood upper,,Miami,NJ
muc105,49.0,4.0,99717,Canada,U,muchow,Steen,V,f,4038 WEDGEWOOD STREET,,Great Falls,LA
gat106,1.0,1.0,60608,United States of America,U,gateau,noel,,,20334 anaconda avenue,,Erie,TX
Sch107,79.0,,v6w 1u4,United States of America,U,Schaefer,Tracey,M,F,5385 young west,,Hollywood,SC
pom108,6.0,5.0,T5b 1t6,United States of America,,pomerleau,Sarajane,,,2747 SINCLAIR LANE,,Tulsa,TX
cuc109,70.0,4.0,23298,United States of America,M,cucuzzella,Geoffrey,K,F,8622 BROWNWAY PARK,,Tucson,MN
SUG110,23.0,0.0,32803,United States of America,S,SUGARMAN,loralyn,Z,q,18048 GREEN NORTH,,Anchorage,ID
Pep111,78.0,5.0,64122,Canada,M,Pepe,andrei,,,18994 country boulevard,,Sandy,MI
Cha112,79.0,,T6b 1h2,United States of America,S,Chandrashekar,javad,,f,16063 ashland road,SUITE 7,Boston,OK
SEI113,72.0,3.0,22222,United States of America,U,SEIFERS,Karna,U,m,19309 mcfarlin north,Apt. 971,Vancouver,UT
GAR114,31.0,0.0,T6a 1d2,Canada,S,GARTLEY,Jocelyn,S,F,2454 cliffbrook west,,Akron,PA
Tou115,86.0,3.0,v5d 1n9,United States of America,W,Touchette,Elvera,,M,15865 strand west,,Lancaster,New Brunswick
Kur116,,0.0,23321,United States of America,S,Kurdziel,Nessy,V,M,13776 east boulevard,,Concord,UT
Her117,87.0,0.0,90505,Canada,U,Herod,lona,,,10570 WEIZMANN LOWER,,Chesapeake,VA
MCV118,92.0,5.0,19066,United States of America,M,MCVICAR,RHEA,P,,15278 walnut hill road,,Flint,NH
LAB119,4.0,5.0,v6s 1r3,Canada,M,LABFIVE,Josefa,,F,23007 WAKEFOREST WAY,,Chattanooga,VT
but120,8.0,4.0,78769,United States of America,U,butta,alikee,,,9088 rivas way,,Billings,FL
Pro121,97.0,5.0,53769,United States of America,M,Projects,dolorita,,m,18798 ullrich road,,Scottsdale,NC
Irc122,,4.0,H7E 1U6,United States of America,D,Irc,Marilyn,,,18517 HULEN LOWER,,Oshawa,VA
Ziv123,40.0,5.0,e7o 1k1,Canada,,Zivkovic,robertson,G,,11474 dodd lane,,Naperville,DC
sim124,95.0,4.0,90374,United States of America,U,simser,Ilsa,H,,9375 wood south,,Tampa,NC
kei125,92.0,5.0,63169,United States of America,S,keifer,Pen,I,,20479 wise avenue,,Jackson,MS
arv126,67.0,5.0,16515,United States of America,W,arvin,AUBRETTE,P,f,19918 ROGERS NORTH,,Hay River,SC
Pra127,24.0,2.0,85309,United States of America,M,Praeuner,Cole,,F,9284 coffey lower,,Irvine,KS
lue128,26.0,3.0,92158,United States of America,M,lue,liva,C,m,2929 north crescent,,Idaho Falls,VT
Prz129,62.0,0.0,33152,United States of America,S,Przybycien,Ayaz,,f,15404 queen street,,Moreno Valley,IL
pen130,37.0,1.0,83729,United States of America,W,penn,YETTY,J,f,1619 greenspoint road,,Ontario,FL
Gua131,71.0,0.0,B8b 1z6,United States of America,S,Guay,Mary-michelle,S,,21477 WARREN PARK,,Concord,MI
bre132,29.0,3.0,53717,Canada,M,brennand,agretha,,F,6503 ROBBINS STREET,,Phoenix,Newfoundland
Sav133,89.0,5.0,t5c 1w7,United States of America,S,Savanh,LOTTY,X,f,3958 GLEN LOCH BOULEVARD,,Coral Springs,ME
ABB134,11.0,3.0,37245,United States of America,M,ABBATANTUONO,Kassey,Z,,13640 ethridge lower,,Oxnard,AL
OP135,20.0,0.0,94401,United States of America,S,OP,Adria,N,M,3981 imperial lower,,Brownsville,IN
Mer136,75.0,5.0,B8a 1y3,Canada,W,Mersinger,audivox,,,13210 3rd drive,,Memphis,NH
rut137,95.0,5.0,t6b 1k2,United States of America,S,rutt,SUE,,F,9297 THROCKMORTON SOUTH,,Flint,DC
bem138,0.0,3.0,85306,United States of America,U,bemis,Lorenza,I,,8935 YOUNG UPPER,,Lafayette,DC
Pen139,73.0,1.0,V6R 1R7,United States of America,M,Pennington,Enzo,,,3797 RUTGERS PARK,,Greensboro,MD
tor140,39.0,0.0,68513,United States of America,W,torok,claudina,Y,M,8285 tamarind crescent,,Sterling Heights,Prince Edward Island
law141,76.0,1.0,v6n 1v9,United States of America,U,lawlis,Otha,L,m,20025 routh crescent,,Costa Mesa,MD
Bee142,5.0,2.0,83702,United States of America,U,Beebe,Rodie,D,m,4144 LAKE PARK LANE,Suite 397,Houston,New Brunswick
sch143,65.0,1.0,80125,United States of America,U,schlange,DULCE,,m,3375 sakowitz lane,,Bakersfield,HI
Wit144,94.0,0.0,M5G 1Y7,United States of America,S,Witchlow,Win,,,7255 berry way,,Chesapeake,ND
MER145,95.0,4.0,80213,United States of America,M,MEREDITH,Roselin,Q,F,3131 WATHAN SOUTH,,Sandy,Nova Scotia
bia146,28.0,0.0,60737,United States of America,M,bialkenius,Malanie,,m,18440 RYAN NORTH,,Lewiston,ME
Swi147,76.0,1.0,90510,United States of America,D,Swiat,TARYN,P,m,13222 glen loch road,SUITE 464,Elizabeth,Alberta
bul148,81.0,4.0,92882,United States of America,D,bullinger,MALENA,,,7889 MURRAY WAY,,Sudbury,VT
TYR149,38.0,5.0,98121,Canada,W,TYRRELL,Dorie,,F,7527 whale drive,,Austin,DE
Fyf150,25.0,3.0,H2e 1x9,United States of America,W,Fyfe,Liese,,,17788 eagle trace park,,Salinas,MA
Sic151,0.0,2.0,23503,United States of America,D,Sicard,tele,,,7661 GRANT WAY,,Peoria,CA
CAS152,61.0,4.0,40208,United States of America,U,CASTEN,astra,,F,4806 crystal hills street,,Sydney,Manitoba
Cho153,3.0,2.0,75201,United States of America,U,Choy,marnia,S,,4211 WILLS NORTH,,San Antonio,TN
CHA154,77.0,3.0,93852,United States of America,W,CHACKO,AMY,,,7524 linberg north,,Oklahoma City,FL
bei155,8.0,0.0,32312,United States of America,U,beil,HAMILTON,E,f,14266 lemming south,,Miami,CA
Ele156,34.0,1.0,90059,United States of America,U,Eleftheriou,Kuldip,J,m,1427 ADDAX LANE,,Yonkers,CO
o'g157,15.0,5.0,77006,United States of America,M,o'grady,krystalle,,F,1625 fernando court,,Columbia,Saskatchewan
Kat158,66.0,0.0,23224,United States of America,S,Katchmar,Stella,,,335 floresta north,,Lubbock,UT
Lui159,55.0,4.0,10055,United States of America,U,Luin,Marie-josee,O,,22806 garson east,,Chattanooga,ME
Kla160,8.0,1.0,35830,United States of America,S,Klavkalns,Nashib,,f,5524 vermack street,,Fargo,NH
Bru161,7.0,3.0,v6m 1s9,United States of America,M,Brunsting,Annette,Z,,18105 electra street,,Omaha,VA
Apt162,97.0,1.0,22304,United States of America,M,Apter,LENA,Q,,719 holman court,,Yonkers,TX
sch163,95.0,1.0,06101,United States of America,M,schuette,Christian,,f,23553 MEMORIAL RUE,,Spokane,Saskatchewan
Lan164,92.0,3.0,78756,United States of America,U,Lanava,Morrie,,,16759 park avenue,,Tulsa,NH
Fus165,17.0,2.0,93003,United States of America,M,Fusca,LYMAN,,F,12296 WILLIAMS LOWER,,Garden Grove,VA
Nev166,81.0,4.0,T5D 1P2,United States of America,U,Nevardauskis,REUBEN,R,F,9625 ALLEN BOULEVARD,,Fort Lauderdale,IA
SHA167,13.0,,10108,Canada,M,SHACKLEFORD,Hermon,,f,10340 jarvis road,,Philadelphia,NC
Sau168,78.0,2.0,t5c 1l3,Canada,M,Sauck,Paqs,P,,13143 goodwin lane,,Sydney,NH
fri169,78.0,1.0,M5B 1Z8,United States of America,M,frischknecht,GAETAN,,,7160 BEATTY RUE,,Waterbury,AL
fer170,85.0,1.0,V6H 1W2,United States of America,M,fernandez,leese,O,,22679 chimney rock west,,Tacoma,British Columbia
LAN171,68.0,2.0,90308,United States of America,U,LANDERS,Amelie,,M,6769 pasadena upper,,Charlottetown,MD
Bha172,1.0,0.0,M5e 1y2,Canada,M,Bhasin,TAMRA,,,20622 MCAFEE COURT,,Independence,IA
Jor173,83.0,5.0,80029,United States of America,M,Jordan,bang,,M,10526 LINWOOD LANE,,Escondido,ND
KNU174,78.0,4.0,30350,United States of America,M,KNUDSEN,HILDEGARDE,,F,21088 vessey crescent,,Lansing,NY
Ham175,,5.0,97240,United States of America,M,Hamelin,Carmody,,F,10884 ryan avenue,,Anaheim,OR
MAU176,5.0,5.0,R3A 1M1,United States of America,U,MAUER,Dareen,,,1481 gale court,,Glendale,MO
Rez177,43.0,0.0,73172,United States of America,U,Rezansoff,WEN,,F,18390 martins east,Apt. 426,Chula Vista,CT
Koa178,53.0,4.0,V6s 1p9,Canada,U,Koa,MOT,,,23208 porter crescent,,Orlando,MO
HAN179,13.0,0.0,90140,United States of America,U,HANNEMAN,leese,B,m,17026 durand north,,Cleveland,MN
jak180,7.0,4.0,94639,United States of America,U,jakim,nettie,I,,16533 devonshire park,,Huntington,NC
ump181,17.0,5.0,22307,United States of America,M,umphres,AILEE,C,,8965 griffin east,,Fayetteville,TN
Wic182,67.0,2.0,55116,Canada,M,Wickham,chan,G,,22451 larner court,,Riverside,NV
Gat183,54.0,4.0,M6s 1i5,Canada,M,Gates,RAY,,F,3681 HOLLY KNOLL CRESCENT,Apt. 540,Dayton,AL
bot184,5.0,4.0,92708,United States of America,S,bott,Robinette,,,5678 dayton street,,Corona,NE
DAV185,28.0,1.0,V6r 1q6,United States of America,D,DAVID-YERUMO,Rocke,T,,15591 holgate lane,,Oklahoma City,KS
HIL186,5.0,1.0,63178,United States of America,M,HILLARD,Suzette,,F,23477 havenridge rue,,Dallas,NY
war187,,2.0,x7j 1r5,United States of America,M,warburton,Myla,,,18267 cape lane,,Durham,NY
MAC188,72.0,3.0,M5e 1y7,United States of America,S,MACHNICKI-HYNES,dacia,,m,2928 POTOMAC UPPER,apt. 48,Tacoma,Saskatchewan
lev189,12.0,2.0,23257,United States of America,S,levitin,CHELSIE,A,F,14656 pasadena park,,Alexandria,Prince Edward Island
Goo190,71.0,4.0,V6I 1U7,United States of America,M,Gooderham,abbas,,,16983 flagler drive,apt. 968,Hialeah,Alberta
Koh191,90.0,4.0,94539,United States of America,W,Kohalmi-hill,Rec,E,,17212 LANDER SOUTH,,Denver,Ontario
AYL192,20.0,4.0,H7h 1v4,United States of America,U,AYLWIN,Elaine,,M,23764 sabine west,,Fort Lauderdale,TN
CHO193,58.0,2.0,15201,United States of America,W,CHOUHAN,Katharine,E,F,16271 vista south,,Mesa,VA
DIT194,57.0,4.0,t5a 1n6,United States of America,M,DITKO,LILIAN,G,,1080 LAVENDER LANE,,Cleveland,TX
EMI195,43.0,1.0,78784,United States of America,W,EMIG,CATI,,,10856 summer street,,Lewiston,MT
Ryd196,39.0,2.0,H6d 1w8,United States of America,W,Ryder,Luong,,m,17021 edwards crescent,APT. 392,Tallahassee,IL
mei197,87.0,3.0,06705,United States of America,S,meisner,JUOZAS,S,,7726 TALLOWOOD UPPER,,El Monte,WY
Ceg198,57.0,1.0,M5c 1v9,United States of America,S,Cegelski,Lysy,,,19097 foxfire north,,Sioux Falls,NC
hai199,58.0,5.0,90759,United States of America,U,haigh,ULA,Z,,8161 PINTO ROAD,,Columbia,ND
cle200,28.0,4.0,22301,United States of America,,clendening,Francesca,J,,9659 sakowitz west,,San Francisco,GA
Cie201,95.0,1.0,19165,United States of America,U,Ciesielski,emili,W,,15306 pike park,,Santa Clara,VA
Par202,98.0,2.0,75007,United States of America,S,Parypa,yogesh,,f,21891 dewey street,,Greensboro,Prince Edward Island
LOZ203,55.0,2.0,90302,United States of America,M,LOZINSKI,Xantippe,K,f,8155 storeywood road,,Waco,OR
Pas204,14.0,3.0,84092,Canada,,Pascal,TINO,,,20871 dewdrop street,APT. 630,Rochester,WI
Aul205,30.0,1.0,v6d 1u1,United States of America,M,Aula,AGGIE,,,1121 GREENE PARK,,Tampa,ID
bar206,90.0,1.0,99503,United States of America,M,barnes,Alane,N,F,23849 westerley south,,Paterson,MT
ELL207,69.0,0.0,80960,United States of America,S,ELLIOTT,ABBYE,,,1540 murie rue,,Fullerton,MD
for208,67.0,0.0,53743,United States of America,U,forslund,aleen,P,m,16633 raymond road,suite 344,London,NY
Bur209,41.0,1.0,t6d 1k1,Canada,W,Burbidge,collen,U,,18676 turman drive,,Newark,HI
FOL210,2.0,5.0,91350,United States of America,M,FOLLMER,NEALA,,F,1808 HARDY STREET,,Buffalo,DE
Led211,89.0,0.0,37916,United States of America,M,Leder,CELISSE,,m,11115 midland avenue,,El Paso,PA
kop212,88.0,1.0,22329,United States of America,,kopke,MEHMET,N,,24950 sheppard lane,,Toledo,IN
pay213,90.0,1.0,M1i 1r8,Canada,M,paylor,Carlis,,,6450 LEMMING RUE,,Sterling Heights,MT
PAL214,54.0,3.0,h5i 1p1,United States of America,M,PALACEK,marshal,,,19342 wycliffe park,,New Haven,WY
fel215,53.0,2.0,M1I 1R5,United States of America,S,felton,Fabien,,,7582 woodway south,,Dallas,FL
ATW216,89.0,3.0,53739,United States of America,U,ATWELL-BYRNE,basia,,,22526 QUEENSBURY LOWER,,Milwaukee,RI
Mcb217,31.0,1.0,06603,United States of America,W,Mcbeth,FARID,S,M,18833 3rd park,,Anaheim,CO
Jal218,1.0,0.0,28247,United States of America,M,Jalaie,jyoti,B,M,19394 canoas west,apt. 3,Huntington Beach,SD
vem219,57.0,0.0,h7g 1u9,Canada,S,vempati,Jandy,,,9941 ROYALTON DRIVE,,Naperville,TX
BAR220,10.0,0.0,90831,United States of America,U,BARNICKEL,VO,D,,10177 pecos crescent,,Iqaluit,VT
PES221,74.0,4.0,M4j 1o7,United States of America,M,PESOLD,Kien,U,M,20823 WEST CHAPEL AVENUE,,Winnipeg,IN
Sha222,28.0,0.0,77288,United States of America,M,Shaughnessy,Tybi,,F,13483 ROCKDALE DRIVE,,St. Petersburg,UT
Sch223,96.0,0.0,77117,United States of America,S,Schmeing,Nhien,J,M,9645 HAYDEN BOULEVARD,,Waterbury,NV
Mat224,42.0,3.0,45263,United States of America,M,Materna,Florance,L,,6066 fillmore lower,,Lubbock,TX
JAI225,64.0,4.0,v6g 1p4,United States of America,D,JAIN,Ros,,,293 conier avenue,,London,OR
KAR226,,4.0,72247,United States of America,M,KARNAZES,Genevieve,,,7000 ansley lane,,Des Moines,Ontario
gus227,49.0,4.0,E7n 1j9,Canada,M,gustafson,EMILIO,,,13635 jarvis south,APT. 587,Madison,Saskatchewan
Ann228,81.0,5.0,45272,United States of America,,Annas,JANEEN,K,,17362 COFFEY UPPER,,Scottsdale,MO
lab229,57.0,2.0,x7j 1q2,Canada,,labenek,cathrin,R,,12279 trafalgar crescent,,Mount Pearl,UT
fli230,42.0,0.0,80952,United States of America,S,flindall,kirstin,M,f,24717 MIDLAND LANE,,Iqaluit,IL
sat231,30.0,4.0,38157,United States of America,U,satkunaseelan,giles,,,11493 worley park,,Moreno Valley,NM
tho232,56.0,4.0,06703,United States of America,M,thornley,Ted,I,,6492 HAMMOND AVENUE,,Naperville,NC
CRI233,3.0,3.0,v6u 1r8,United States of America,S,CRIPPS,hayden,L,m,8954 bagby north,,Norfolk,AZ
Gas234,53.0,0.0,28231,United States of America,M,Gascon,Gail,V,M,11622 josey south,,Louisville,CT
Cha235,67.0,2.0,63107,United States of America,W,Chavers,las,,f,11538 collinwood avenue,,Akron,VA
Net236,94.0,0.0,H2g 1w7,United States of America,,Nettles,Noelyn,,,20913 vickers boulevard,,Whitehorse,NV
