MiddleInitial,Employer,NetWorth,Phone,State,City,LastName,MaritalStatus,FirstName,Gender,AgencyID,CreditRating,AddressLine1,NumberCars,OwnOrRentFlag,NumberChildren,NumberCreditCards,Age,AddressLine2,Country,Income,PostalCode
Y,Pfizer,84777.0,1-607-222-4809,MA,Charlottetown,elkington,W,Cherey,,elk47,560.0,18582 PERIMETER BOULEVARD,1.0,O,3.0,0.0,51.0,,Canada,9572.0,92824
,Safeway,3146477.0,1-965-046-0642,MD,Bellevue,Labenek,,RAZ,F,Lab48,693.0,9612 park stream upper,1.0,O,5.0,4.0,,,United States of America,265369.0,e4a 1r2
Y,Simon Property Group,495277.0,1-155-441-3579,Saskatchewan,Dover,laferriere,S,kishore,,laf49,346.0,2803 clearwater north,1.0,U,2.0,0.0,58.0,,United States of America,104172.0,H7G 1V4
I,Trinity Industries,746904.0,,WA,Fullerton,Norment,M,Nelleke,,Nor50,342.0,11103 BISSONNET WEST,0.0,O,3.0,0.0,52.0,,United States of America,65550.0,85039
,Solutia,1219620.0,1-544-132-7237,OH,Denver,hagar,M,sibby,,hag51,563.0,4652 outervale lane,2.0,R,0.0,8.0,91.0,,Canada,,v6m 1q3
,,1718910.0,1-821-089-2089,WY,Dallas,Betcher,M,ericha,m,Bet52,391.0,341 dunbar west,2.0,O,3.0,4.0,17.0,,United States of America,,X7j 1r1
,A.O. Smith,,1-135-391-9787,NJ,San Jose,Van der,S,Janson,m,Van53,381.0,16176 vernon drive,4.0,O,4.0,8.0,6.0,,United States of America,66244.0,B8b 1z5
,AptarGroup,2636424.0,1-776-182-6215,ND,Bellevue,O'LEARY,S,Dorotea,F,O'L54,539.0,23131 clint way,0.0,U,3.0,9.0,89.0,,United States of America,426954.0,t5d 1v4
,Coca-Cola,1326305.0,1-079-780-7761,NC,San Buenaventura,anderson,M,Denice,m,and55,497.0,11640 baltic upper,5.0,O,4.0,0.0,99.0,,United States of America,126891.0,V6t 1r2
,Kimberly-Clark,2241997.0,1-504-346-4393,WV,St. Louis,starks,M,Myron,,sta56,661.0,20796 dolores drive,4.0,O,2.0,,77.0,,Canada,454196.0,91177
,Visteon,1542891.0,1-985-538-4351,GA,Pueblo,CHASSE,S,Barby,,CHA57,558.0,14359 COMMERCE WEST,5.0,R,3.0,0.0,,Apt. 275,United States of America,163940.0,T5c 1t1
,TECO Energy,797918.0,1-254-097-9398,Ontario,Regina,ASING,W,Ariella,R,ASI58,534.0,21448 hampton boulevard,,O,1.0,,90.0,,Canada,365213.0,35862
,Bemis,347654.0,1-545-924-9552,MA,Saskatoon,askins,M,ADEY,f,ask59,373.0,7637 pershing way,0.0,U,0.0,6.0,82.0,,United States of America,428739.0,96820
K,Wyeth,2456397.0,1-984-233-8818,CA,Jackson,Kikuta,M,GAYEL,,Kik60,382.0,11529 arcana boulevard,4.0,O,0.0,8.0,,,United States of America,142444.0,75238
,United Technologies,1284229.0,1-528-691-1642,SD,St. Petersburg,Chane,S,Man,F,Cha61,475.0,2700 windwood north,3.0,O,3.0,10.0,15.0,,United States of America,416168.0,85769
U,Clorox,618787.0,,Saskatchewan,Scottsdale,KILLEN,D,Klara,m,KIL62,539.0,22279 gramercy road,2.0,O,0.0,3.0,,,United States of America,291420.0,H5i 1o9
,Discovery Communications,1171606.0,1-171-807-8213,RI,Charlotte,kinley,M,Abdalla,f,kin63,711.0,9828 west east,4.0,O,5.0,6.0,96.0,,United States of America,413501.0,90849
,Williams-Sonoma,3983261.0,1-056-241-7009,NC,Waterbury,MALAHER,M,bal,,MAL64,606.0,5935 mcafee park,4.0,O,,1.0,38.0,,United States of America,,43644
J,Manitowoc,2328568.0,1-389-414-0570,SD,Chesapeake,Odum,W,Romy,,Odu65,494.0,12460 CLAYTON STREET,3.0,O,3.0,0.0,10.0,,United States of America,419143.0,99213
,Henry Schein,2078600.0,1-583-542-1656,IL,Hialeah,DI NINNO,M,KORAL,,DI 66,309.0,275 3rd drive,1.0,O,5.0,3.0,72.0,,United States of America,155057.0,72226
K,Trinity Industries,2986155.0,1-269-712-0672,OR,Charleston,STUBBLEFIELD,M,YUKIHIKO,,STU67,630.0,6907 FERNCLIFF CRESCENT,2.0,O,5.0,3.0,97.0,,United States of America,313859.0,V6Z 1Q9
,Pepsi Bottling,1864039.0,1-670-102-0463,Ontario,Salem,HAMBALI,S,Khanh,,HAM68,330.0,885 crosby lane,4.0,O,1.0,10.0,48.0,,United States of America,265907.0,20082
,UGI,1293721.0,1-699-726-3895,FL,Sacramento,LIBRARIAN,S,Darnell,m,LIB69,710.0,2344 kalani west,,O,0.0,9.0,97.0,,Canada,283481.0,35827
,Greif,3850114.0,1-640-666-2876,NM,Santa Clarita,ohsone,M,feridoun,M,ohs70,475.0,22870 LA CIENEGA STREET,4.0,R,0.0,7.0,73.0,,United States of America,200635.0,99692
O,Equifax,1618743.0,1-540-639-1311,NE,Sherbrooke,HUMMEL,U,Magdy,,HUM71,596.0,8478 green avenue,0.0,O,1.0,3.0,71.0,APT. 143,United States of America,434519.0,V6c 1q5
,,3383487.0,1-285-874-8492,MI,Colorado Springs,BRADD,W,jiri,,BRA72,670.0,23639 purdue rue,5.0,O,1.0,9.0,93.0,,United States of America,392315.0,80158
X,Freescale Semiconductor,2981876.0,1-121-904-0040,New Brunswick,Berkeley,Boarder,U,AILA,,Boa73,722.0,19202 ansley park,5.0,O,3.0,,53.0,,United States of America,493829.0,t6d 1b6
,Aleris International,2109339.0,1-017-842-3201,NJ,San Buenaventura,Mcnally,U,Vincenzo,,Mcn74,587.0,11319 devonshire rue,3.0,O,2.0,7.0,32.0,,United States of America,97489.0,33120
,,791803.0,1-215-859-3206,ND,New Haven,MARKOVICH,S,Minnnie,F,MAR75,609.0,23665 deerwood park,4.0,O,3.0,4.0,1.0,,United States of America,,99742
,World Fuel Services,3523678.0,1-764-520-7470,Saskatchewan,Shreveport,Willekes,S,alfonzo,f,Wil76,401.0,4855 union north,0.0,O,1.0,7.0,39.0,,United States of America,383046.0,V6N 1T1
S,R.R. Donnelley & Sons,1681902.0,1-414-130-0162,KS,Lansing,Deacetis,M,Swandi,m,Dea77,335.0,9466 SHADOWBRIAR WEST,4.0,,0.0,0.0,77.0,,United States of America,1190.0,44104
,Brinker International,3851455.0,1-970-240-9990,SD,Pembroke Pines,Houk,U,Anya,,Hou78,569.0,3504 regency avenue,5.0,O,5.0,7.0,18.0,,United States of America,85733.0,14605
,Temple-Inland,2339382.0,1-408-684-6459,FL,Palmdale,Goyette,M,Enrika,,Goy79,,7281 northland lower,0.0,R,2.0,9.0,70.0,,Canada,387890.0,80076
Z,Psychiatric Solutions,,1-330-353-5908,Saskatchewan,Savannah,Mok-fung,S,SONJA,f,Mok80,679.0,12481 hayden lower,2.0,O,0.0,7.0,26.0,,United States of America,16808.0,V6I 1V6
I,Nash-Finch,2065016.0,1-766-726-2675,FL,Amarillo,Rundle,M,Liem,,Run81,356.0,2328 gracie avenue,,,4.0,10.0,,,United States of America,304589.0,97307
,AMR,2454049.0,1-938-425-7509,UT,Anchorage,BELLEY,S,COLLETTE,o,BEL82,308.0,4737 campbell street,2.0,R,5.0,9.0,58.0,,United States of America,48506.0,46237
Y,Spartan Stores,2423395.0,1-527-308-8874,WY,Louisville,BAER,M,SIAMACK,,BAE83,412.0,2401 stratmore lower,0.0,O,4.0,4.0,43.0,,United States of America,,V6B 1S6
,Cigna,1342045.0,1-810-590-0635,NH,Hilo,MAULDIN,D,Toshihiro,f,MAU84,618.0,21477 JUNIPER CRESCENT,2.0,O,3.0,4.0,65.0,,United States of America,358862.0,H2d 1x1
,General Cable,861756.0,1-274-548-2512,AR,Sudbury,Koohgoli,S,Casey,,Koo85,429.0,19214 YAUPON BOULEVARD,5.0,O,3.0,5.0,24.0,,United States of America,477614.0,95108
,Dun & Bradstreet,1215349.0,1-649-754-4601,CT,Orlando,Lauriston,S,Daryn,,Lau86,819.0,7785 rusk boulevard,3.0,O,1.0,3.0,79.0,,United States of America,175414.0,80050
L,Casey's General Stores,3981554.0,1-905-932-1785,VT,Missoula,Mangum,M,Adrianna,F,Man87,552.0,18002 cantrell upper,0.0,O,1.0,7.0,48.0,,Canada,427598.0,90122
,Jack in the Box,3865937.0,1-031-004-7697,Manitoba,Abilene,PIERCY,S,Cortney,,PIE88,587.0,23341 brookside upper,0.0,O,4.0,9.0,69.0,,United States of America,368207.0,43614
,Assurant,2804700.0,1-994-812-4796,NJ,Saskatoon,Buscaglia,S,Duane,M,Bus89,304.0,20494 ROSS WEST,3.0,O,1.0,6.0,91.0,,United States of America,449944.0,61110
,Psychiatric Solutions,3283558.0,1-176-513-4041,KY,Irvine,BABIONE,,Tele,,BAB90,795.0,17552 SAVANNAH NORTH,5.0,U,5.0,4.0,75.0,,United States of America,166247.0,70174
,Danaher,450524.0,1-072-244-6337,GA,Reno,Burkard,S,Ophelia,M,Bur91,830.0,4462 pace crescent,1.0,O,3.0,2.0,85.0,APT. 373,United States of America,391165.0,90324
,Clorox,,1-924-669-9328,NJ,Sacramento,Kinsella,M,lorine,,Kin92,709.0,7161 tallowood upper,5.0,R,3.0,3.0,76.0,,United States of America,165854.0,s7d 1n1
,Boyd Gaming,,1-598-488-3541,SC,Topeka,POMMAINVILLE,S,Viole,,POM93,493.0,3489 silver sage west,2.0,O,1.0,8.0,68.0,,United States of America,326181.0,93829
,Eaton,633760.0,1-295-539-3868,TN,Rancho Cucamonga,BOATWRIGHT,M,Nani,M,BOA94,680.0,12481 hayden lower,3.0,O,,,95.0,,United States of America,173387.0,89116
R,Dynegy,3634954.0,1-554-020-0267,WY,Hilo,Ronald,M,cherey,,Ron95,800.0,13210 3RD DRIVE,1.0,R,5.0,,15.0,,United States of America,301127.0,94315
A,AmeriCredit,799268.0,1-793-621-4566,Ontario,Saint John,weihs,M,Redgie,,wei96,614.0,8899 starling lane,1.0,R,5.0,4.0,17.0,,United States of America,487230.0,T5b 1u9
P,SLM,39093.0,1-787-267-4261,DC,Torrance,Helpb,,Yousef,M,Hel97,763.0,11480 fennel south,4.0,R,0.0,6.0,94.0,,Canada,425747.0,T6b 1a5
,NV Energy,2705353.0,1-668-247-1597,Alberta,Santa Clara,moghe,S,Damaris,m,mog98,561.0,7266 cherry upper,4.0,O,4.0,3.0,70.0,,United States of America,401946.0,60699
,Landstar System,3565153.0,1-901-346-8890,ME,Torrance,bozicevich,S,Ilyssa,,boz99,569.0,10678 ENGLEWOOD WEST,1.0,O,2.0,4.0,29.0,,United States of America,425422.0,V6p 1s8
R,Pacific Life,2832204.0,1-451-273-3803,MA,Stockton,Zaharychuk,M,Moselle,,Zah100,634.0,21181 2ND RUE,4.0,O,1.0,5.0,52.0,,United States of America,208890.0,v6i 1p1
,Textron,2194345.0,1-129-499-9136,NV,Paterson,Andric,U,Dulsea,F,And101,488.0,22963 hanover road,5.0,O,3.0,10.0,51.0,,United States of America,67880.0,79423
L,Pfizer,3737140.0,1-899-319-0772,WA,Mesa,Bamfo,W,Lyndsie,,Bam102,788.0,8268 cliffbrook boulevard,2.0,O,3.0,5.0,24.0,,Canada,133412.0,H5j 1o6
,Cigna,464753.0,1-053-396-0441,WY,Anchorage,frondozo,D,KESLEY,,fro103,333.0,5118 montview court,3.0,O,4.0,8.0,98.0,,United States of America,144829.0,93761
J,Ameren,596696.0,1-239-665-9540,NJ,Miami,Caron,M,LAUREL,,Car104,601.0,17442 tallowood upper,1.0,U,1.0,,59.0,,United States of America,,76150
V,Consolidated Edison,1504753.0,1-605-888-3403,LA,Great Falls,muchow,U,Steen,f,muc105,595.0,4038 WEDGEWOOD STREET,3.0,O,4.0,2.0,49.0,,Canada,143682.0,99717
,Occidental Petroleum,3049281.0,1-630-604-2543,TX,Erie,gateau,U,noel,,gat106,433.0,20334 anaconda avenue,0.0,O,1.0,10.0,1.0,,United States of America,350020.0,60608
M,Sherwin-Williams,247478.0,1-851-862-7928,SC,Hollywood,Schaefer,U,Tracey,F,Sch107,403.0,5385 young west,0.0,O,,10.0,79.0,,United States of America,435103.0,v6w 1u4
,Affiliated Computer Services,2750301.0,1-065-415-5724,TX,Tulsa,pomerleau,,Sarajane,,pom108,615.0,2747 SINCLAIR LANE,1.0,R,5.0,3.0,6.0,,United States of America,207768.0,T5b 1t6
K,Valassis Communications,721333.0,1-408-512-1007,MN,Tucson,cucuzzella,M,Geoffrey,F,cuc109,735.0,8622 BROWNWAY PARK,0.0,O,4.0,1.0,70.0,,United States of America,407512.0,23298
Z,,669440.0,1-083-902-4184,ID,Anchorage,SUGARMAN,S,loralyn,q,SUG110,668.0,18048 GREEN NORTH,3.0,O,0.0,1.0,23.0,,United States of America,403366.0,32803
,Smithfield Foods,2473979.0,1-568-403-7081,MI,Sandy,Pepe,M,andrei,,Pep111,349.0,18994 country boulevard,3.0,O,5.0,,78.0,,Canada,384095.0,64122
,,3545170.0,1-824-389-0618,OK,Boston,Chandrashekar,S,javad,f,Cha112,654.0,16063 ashland road,4.0,,,,79.0,SUITE 7,United States of America,288969.0,T6b 1h2
U,TD Ameritrade,1494871.0,1-174-210-2058,UT,Vancouver,SEIFERS,U,Karna,m,SEI113,361.0,19309 mcfarlin north,2.0,O,3.0,6.0,72.0,Apt. 971,United States of America,233665.0,22222
S,Comerica,436164.0,1-425-503-7952,PA,Akron,GARTLEY,S,Jocelyn,F,GAR114,427.0,2454 cliffbrook west,4.0,U,0.0,1.0,31.0,,Canada,147236.0,T6a 1d2
,Steel Dynamics,1069481.0,1-012-389-9089,New Brunswick,Lancaster,Touchette,W,Elvera,M,Tou115,322.0,15865 strand west,0.0,O,3.0,1.0,86.0,,United States of America,452557.0,v5d 1n9
V,Coca-Cola Enterprises,,1-909-472-6704,UT,Concord,Kurdziel,S,Nessy,M,Kur116,792.0,13776 east boulevard,2.0,R,0.0,9.0,,,United States of America,179305.0,23321
,News Corp.,2957261.0,1-622-167-5411,VA,Chesapeake,Herod,U,lona,,Her117,478.0,10570 WEIZMANN LOWER,3.0,O,0.0,2.0,87.0,,Canada,205817.0,90505
P,,228459.0,1-164-511-9338,NH,Flint,MCVICAR,M,RHEA,,MCV118,477.0,15278 walnut hill road,,O,5.0,1.0,92.0,,United States of America,262711.0,19066
,Stater Bros. Holdings,67267.0,1-804-532-9163,VT,Chattanooga,LABFIVE,M,Josefa,F,LAB119,449.0,23007 WAKEFOREST WAY,1.0,O,5.0,6.0,4.0,,Canada,84810.0,v6s 1r3
,BorgWarner,1087978.0,1-197-370-0297,FL,Billings,butta,U,alikee,,but120,466.0,9088 rivas way,2.0,O,4.0,2.0,8.0,,United States of America,96441.0,78769
,CB Richard Ellis Group,3885967.0,1-337-042-5687,NC,Scottsdale,Projects,M,dolorita,m,Pro121,483.0,18798 ullrich road,0.0,O,5.0,2.0,97.0,,United States of America,462762.0,53769
,Zimmer Holdings,3271101.0,1-056-138-5321,VA,Oshawa,Irc,D,Marilyn,,Irc122,588.0,18517 HULEN LOWER,5.0,O,4.0,4.0,,,United States of America,141890.0,H7E 1U6
G,Mohawk Industries,,1-776-191-2031,DC,Naperville,Zivkovic,,robertson,,Ziv123,313.0,11474 dodd lane,5.0,O,5.0,2.0,40.0,,Canada,156610.0,e7o 1k1
H,Berkshire Hathaway,1999133.0,1-280-696-2706,NC,Tampa,simser,U,Ilsa,,sim124,647.0,9375 wood south,1.0,R,4.0,1.0,95.0,,United States of America,164752.0,90374
I,Saks,1100786.0,1-857-581-6346,MS,Jackson,keifer,S,Pen,,kei125,430.0,20479 wise avenue,1.0,O,5.0,2.0,92.0,,United States of America,278949.0,63169
P,Gardner Denver,563992.0,,SC,Hay River,arvin,W,AUBRETTE,f,arv126,467.0,19918 ROGERS NORTH,0.0,O,5.0,8.0,67.0,,United States of America,,16515
,Hasbro,962397.0,1-716-343-0884,KS,Irvine,Praeuner,M,Cole,F,Pra127,399.0,9284 coffey lower,3.0,O,2.0,7.0,24.0,,United States of America,463736.0,85309
C,CBS,1064169.0,1-101-776-2496,VT,Idaho Falls,lue,M,liva,m,lue128,654.0,2929 north crescent,2.0,O,3.0,5.0,26.0,,United States of America,,92158
,Synnex,2100059.0,1-769-028-0589,IL,Moreno Valley,Przybycien,S,Ayaz,f,Prz129,378.0,15404 queen street,2.0,O,0.0,3.0,62.0,,United States of America,86667.0,33152
J,Belden,99025.0,1-005-833-8970,FL,Ontario,penn,W,YETTY,f,pen130,338.0,1619 greenspoint road,5.0,O,1.0,10.0,37.0,,United States of America,193470.0,83729
S,Broadcom,3865481.0,1-884-215-4243,MI,Concord,Guay,S,Mary-michelle,,Gua131,695.0,21477 WARREN PARK,5.0,R,0.0,10.0,71.0,,United States of America,406379.0,B8b 1z6
,Reynolds American,804544.0,,Newfoundland,Phoenix,brennand,M,agretha,F,bre132,614.0,6503 ROBBINS STREET,1.0,U,3.0,7.0,29.0,,Canada,480595.0,53717
X,Wells Fargo,3143356.0,1-725-177-7815,ME,Coral Springs,Savanh,S,LOTTY,f,Sav133,307.0,3958 GLEN LOCH BOULEVARD,4.0,O,5.0,7.0,89.0,,United States of America,181718.0,t5c 1w7
Z,Retail Ventures,,1-277-496-5396,AL,Oxnard,ABBATANTUONO,M,Kassey,,ABB134,331.0,13640 ethridge lower,0.0,O,3.0,2.0,11.0,,United States of America,468310.0,37245
N,AT&T,2311953.0,1-756-463-2201,IN,Brownsville,OP,S,Adria,M,OP135,638.0,3981 imperial lower,2.0,O,0.0,2.0,20.0,,United States of America,354987.0,94401
,Wynn Resorts,3120608.0,1-261-338-7463,NH,Memphis,Mersinger,W,audivox,,Mer136,703.0,13210 3rd drive,3.0,O,5.0,3.0,75.0,,Canada,284539.0,B8a 1y3
,Eastman Kodak,2058270.0,1-811-086-4675,DC,Flint,rutt,S,SUE,F,rut137,302.0,9297 THROCKMORTON SOUTH,0.0,O,5.0,7.0,95.0,,United States of America,213725.0,t6b 1k2
I,Aramark,1511983.0,1-338-771-1185,DC,Lafayette,bemis,U,Lorenza,,bem138,522.0,8935 YOUNG UPPER,2.0,O,3.0,,0.0,,United States of America,74195.0,85306
,ENSCO International,439080.0,1-554-231-5318,MD,Greensboro,Pennington,M,Enzo,,Pen139,,3797 RUTGERS PARK,5.0,O,1.0,,73.0,,United States of America,169295.0,V6R 1R7
Y,Auto-Owners Insurance,921255.0,1-733-886-5227,Prince Edward Island,Sterling Heights,torok,W,claudina,M,tor140,833.0,8285 tamarind crescent,1.0,R,0.0,5.0,39.0,,United States of America,307832.0,68513
